expense_id,project_id,expense_category,expense_date,expense_amount,approved_by,expense_status
EXP00028,PROJ01432,Marketing,2025-04-08,231406,EMP0228,Rejected
EXP00029,PROJ03104,Labor,2024-09-05,72315,EMP0124,Rejected
EXP00030,PROJ04185,Equipment,2024-09-30,159404,EMP0002,Pending
EXP00031,PROJ01561,Materials,2025-07-17,247595,EMP0240,Pending
EXP00032,PROJ04839,Utilities,2024-12-08,82619,EMP0223,approved
EXP00033,PROJ01579,Materials,2024-07-14,173918,EMP0104,Pending
EXP00034,PROJ01971,Materials,2024-06-20,210295,EMP0173,Rejected
EXP00035,PROJ02052,Labor,2024-12-16,13234,EMP0199,Approved
EXP00036,PROJ00621,Marketing,2025-05-14,180430,EMP0130,approved
EXP00037,PROJ01241,Utilities,2024-12-12,278931,EMP0203,Rejected
EXP00038,PROJ04675,Materials,2024-11-20,53139,EMP0296,Approved
EXP00039,PROJ04730,Marketing,2025-05-18,224640,EMP0025,Rejected
EXP00040,PROJ01434,Equipment,2025-08-07,40844,,Approved
EXP00041,PROJ00196,Transport,2024-08-13,36235,EMP0243,approved
EXP00042,PROJ01386,Equipment,2024-12-24,279709,EMP0296,Approved
EXP00043,PROJ00209,Equipment,2024-09-15,70665,EMP0222,Rejected
EXP00044,PROJ01094,Labor,2025-08-11,38467,EMP0300,Rejected
EXP00045,PROJ02591,Transport,2024-10-06,264556,EMP0268,Rejected
EXP00046,PROJ04690,Marketing,2024-10-04,79875,EMP0210,approved
EXP00047,PROJ01574,Transport,2024-11-26,55896,EMP0283,approved
EXP00048,PROJ02608,Utilities,2024-11-07,194245,EMP0007,Approved
EXP00049,PROJ03312,Marketing,2024-04-09,217927,EMP0277,Pending
EXP00050,PROJ04039,Equipment,2024-05-18,201077,EMP0227,Pending
EXP00051,PROJ03188,Equipment,2024-12-16,31496,EMP0068,Pending
EXP00052,PROJ04523,Marketing,2024-09-10,166367,EMP0083,Approved
EXP00053,PROJ02366,Utilities,2025-02-10,218273,EMP0253,approved
EXP00054,PROJ03517,Labor,2025-02-16,126419,EMP0264,Approved
EXP00055,PROJ04221,Labor,2024-11-12,36726,EMP0005,Approved
EXP00056,PROJ02834,Labor,2025-02-26,183460,EMP0123,Pending
EXP00057,PROJ00707,Transport,2024-03-10,90004,EMP0234,approved
EXP00058,PROJ03081,Utilities,2024-08-30,207032,EMP0245,approved
EXP00059,PROJ00598,Transport,2024-11-25,30293,EMP0075,Approved
EXP00060,PROJ00373,Materials,2025-08-02,251760,EMP0259,approved
EXP00061,PROJ01994,Transport,2025-08-19,197465,EMP0057,Pending
EXP00062,PROJ01822,Utilities,2025-05-09,88137,EMP0200,Approved
EXP00063,PROJ01607,Marketing,2024-12-25,203439,EMP0041,Approved
EXP00064,PROJ03480,Equipment,2024-05-22,117879,EMP0192,Rejected
EXP00065,PROJ00981,Marketing,2025-03-21,160545,EMP0269,Approved
EXP00066,PROJ04487,Labor,2025-02-03,27841,EMP0087,Approved
EXP00067,PROJ02165,Materials,2025-03-02,116253,EMP0233,Approved
EXP00068,PROJ04580,Materials,2024-11-20,122914,EMP0147,approved
EXP00069,PROJ03431,Transport,2024-12-06,69311,EMP0158,approved
EXP00070,PROJ00376,Labor,2025-10-16,255807,EMP0005,Approved
EXP00071,PROJ01503,Equipment,2024-06-11,283303,EMP0276,Approved
EXP00072,PROJ01943,Equipment,2024-11-25,211850,EMP0080,Approved
EXP00073,PROJ03100,Transport,2024-11-21,295153,EMP0207,Rejected
EXP00074,PROJ03261,Equipment,2024-12-09,262195,EMP0192,Pending
EXP00075,PROJ04741,Materials,2024-12-24,279919,EMP0018,Approved
EXP00076,PROJ00473,Materials,2024-06-04,189257,EMP0210,Rejected
EXP00077,PROJ01502,Marketing,2024-12-07,117026,EMP0108,Approved
EXP00078,PROJ04221,Transport,2025-03-16,213136,EMP0018,Pending
EXP00079,PROJ03630,Labor,2024-05-11,34487,EMP0013,approved
EXP00080,PROJ03581,Equipment,2024-10-30,23303,,Pending
EXP00081,PROJ04375,Transport,2024-08-08,194311,EMP0071,Approved
EXP00082,PROJ00926,Labor,2025-09-04,194245,EMP0187,approved
EXP00083,PROJ03175,Equipment,2024-11-18,239922,EMP0124,approved
EXP00084,PROJ01304,Materials,2024-01-18,43434,EMP0136,Pending
EXP00085,PROJ00524,Labor,2025-09-14,278597,EMP0258,Approved
EXP00086,PROJ01104,Equipment,2025-01-06,113298,EMP0102,approved
EXP00087,PROJ04722,Transport,2024-02-09,143307,EMP0138,Pending
EXP00088,PROJ02580,Materials,2024-02-06,221162,EMP0060,Approved
EXP00089,PROJ00087,Marketing,2025-02-21,5653,EMP0270,Rejected
EXP00090,PROJ03709,Equipment,2024-10-22,89069,EMP0084,Rejected
EXP00091,PROJ03207,Materials,2024-11-20,50304,EMP0060,Pending
EXP00092,PROJ04998,Materials,2025-05-21,297414,EMP0079,approved
EXP00093,PROJ02918,Transport,2025-04-23,71713,EMP0129,Rejected
EXP00094,PROJ01604,Materials,2024-12-11,34544,EMP0083,Pending
EXP00095,PROJ03159,Equipment,2024-10-23,185989,EMP0197,approved
EXP00096,PROJ04207,Utilities,2025-07-10,236663,EMP0262,Rejected
EXP00097,PROJ04372,Transport,2024-12-12,255995,EMP0140,approved
EXP00098,PROJ03154,Materials,2025-06-04,242699,EMP0142,Rejected
EXP00099,PROJ02657,Utilities,2024-10-31,269440,EMP0005,Approved
EXP00100,PROJ00045,Labor,2024-12-20,271681,EMP0007,Approved
EXP00101,PROJ02823,Equipment,2025-01-15,69855,EMP0016,approved
EXP00102,PROJ01204,Labor,2024-12-20,53746,EMP0166,approved
EXP00103,PROJ01230,Transport,2024-11-25,30138,EMP0219,Rejected
EXP00104,PROJ01620,Utilities,2024-12-31,128209,EMP0124,Approved
EXP00105,PROJ00527,Equipment,2025-01-07,239128,EMP0036,Approved
EXP00106,PROJ03390,Labor,2024-04-23,27701,EMP0101,Approved
EXP00107,PROJ03051,Equipment,2024-08-11,172676,EMP0023,Approved
EXP00108,PROJ01005,Labor,2024-05-15,108003,EMP0170,Rejected
EXP00109,PROJ00871,Marketing,2025-02-22,87675,EMP0073,approved
EXP00110,PROJ01085,Labor,2024-08-02,199425,EMP0237,approved
EXP00111,PROJ02331,Materials,2024-07-01,177688,EMP0092,approved
EXP00112,PROJ04931,Equipment,2025-03-18,262370,EMP0096,Rejected
EXP00113,PROJ02628,Transport,2024-12-28,41594,EMP0098,Approved
EXP00114,PROJ03143,Utilities,2025-01-28,92342,EMP0076,Approved
EXP00115,PROJ01957,Equipment,2025-03-30,88560,EMP0188,approved
EXP00116,PROJ00612,Labor,2024-10-10,181536,EMP0042,Approved
EXP00117,PROJ00498,Transport,2025-01-20,18727,EMP0243,Approved
EXP00118,PROJ04602,Materials,2025-02-24,106370,EMP0126,Rejected
EXP00119,PROJ01894,Transport,2025-01-11,236351,EMP0094,Pending
EXP00120,PROJ01579,Transport,2024-09-21,138086,,Pending
EXP00121,PROJ02486,Transport,2025-05-11,205356,EMP0122,Pending
EXP00122,PROJ03348,Materials,2024-11-04,223239,EMP0180,Rejected
EXP00123,PROJ04846,Transport,2025-02-18,85020,EMP0270,Pending
EXP00124,PROJ03763,Materials,2024-10-03,92906,EMP0109,Rejected
EXP00125,PROJ02149,Labor,2024-12-29,213764,EMP0080,Rejected
EXP00126,PROJ02793,Transport,2025-02-20,120132,EMP0092,approved
EXP00127,PROJ04616,Transport,2025-01-25,13110,EMP0001,Approved
EXP00128,PROJ00104,Equipment,2024-10-11,254905,EMP0047,Approved
EXP00129,PROJ00502,Marketing,2025-01-16,195413,EMP0144,Approved
EXP00130,PROJ03670,Utilities,2025-05-11,252505,EMP0253,Rejected
EXP00131,PROJ02722,Equipment,2025-08-03,189514,EMP0073,approved
EXP00132,PROJ00073,Marketing,2024-10-30,144969,EMP0200,Pending
EXP00133,PROJ03300,Materials,2025-03-17,4408,EMP0083,Pending
EXP00134,PROJ00037,Marketing,2024-07-14,36653,EMP0054,approved
EXP00135,PROJ01135,Equipment,2025-05-24,152333,EMP0267,approved
EXP00136,PROJ01772,Marketing,2024-08-08,22057,EMP0285,approved
EXP00137,PROJ03880,Labor,2025-04-30,143392,EMP0166,Approved
EXP00138,PROJ00040,Utilities,2024-12-14,29576,EMP0080,Pending
EXP00139,PROJ01478,Equipment,2024-05-17,86621,EMP0129,approved
EXP00140,PROJ02642,Transport,2024-12-30,247221,EMP0216,Rejected
EXP00141,PROJ01461,Equipment,2024-03-22,143018,EMP0041,Pending
EXP00142,PROJ03048,Utilities,2024-07-29,66904,EMP0114,Rejected
EXP00143,PROJ02648,Utilities,2025-03-11,1177,EMP0239,Rejected
EXP00144,PROJ04741,Equipment,2025-01-05,149859,EMP0062,Rejected
EXP00145,PROJ01615,Transport,2025-02-16,241366,EMP0268,Rejected
EXP00146,PROJ01055,Materials,2024-09-14,11270,EMP0240,Approved
EXP00147,PROJ02895,Marketing,2025-01-19,118263,EMP0003,Approved
EXP00148,PROJ01469,Marketing,2025-02-28,120579,EMP0100,Rejected
EXP00149,PROJ02857,Utilities,2025-05-26,148950,EMP0121,Approved
EXP00150,PROJ00389,Labor,2024-08-12,13458,EMP0031,Pending
EXP00151,PROJ00347,Utilities,2025-01-06,95610,EMP0062,Approved
EXP00152,PROJ02054,Materials,2024-12-23,178918,EMP0196,Pending
EXP00153,PROJ00019,Labor,2024-10-21,279796,EMP0135,Approved
EXP00154,PROJ02037,Materials,2024-08-17,145952,EMP0296,Pending
EXP00155,PROJ02195,Transport,2025-03-04,96440,EMP0055,Approved
EXP00156,PROJ01772,Labor,2024-07-23,217557,EMP0268,Pending
EXP00157,PROJ02004,Marketing,2025-01-16,179360,EMP0124,approved
EXP00158,PROJ02849,Marketing,2024-06-09,196021,EMP0052,Approved
EXP00159,PROJ04266,Labor,2025-05-24,144833,EMP0274,approved
EXP00160,PROJ01901,Equipment,2024-11-07,282166,,Rejected
EXP00161,PROJ04457,Labor,2025-06-09,77497,EMP0165,approved
EXP00162,PROJ03258,Utilities,2025-10-24,84874,EMP0298,approved
EXP00163,PROJ00919,Labor,2024-12-08,87567,EMP0250,Approved
EXP00164,PROJ03501,Transport,2024-11-02,297600,EMP0270,approved
EXP00165,PROJ01460,Labor,2025-01-04,35028,EMP0186,approved
EXP00166,PROJ04411,Transport,2025-02-10,238058,EMP0176,approved
EXP00167,PROJ02437,Transport,2024-11-06,199211,EMP0183,Approved
EXP00168,PROJ02134,Materials,2024-12-13,135762,EMP0208,Pending
EXP00169,PROJ00648,Labor,2025-02-24,56318,EMP0222,approved
EXP00170,PROJ02726,Materials,2025-03-25,146734,EMP0034,Rejected
EXP00171,PROJ04513,Labor,2024-12-12,219609,EMP0248,approved
EXP00172,PROJ03467,Transport,2024-06-26,139684,EMP0266,approved
EXP00173,PROJ02125,Labor,2024-07-06,173868,EMP0223,Approved
EXP00174,PROJ01268,Equipment,2025-03-21,74594,EMP0199,approved
EXP00175,PROJ02051,Transport,2024-08-17,222274,EMP0148,Pending
EXP00176,PROJ03010,Utilities,2024-10-20,16993,EMP0244,Rejected
EXP00177,PROJ03778,Labor,2024-04-27,35538,EMP0008,approved
EXP00178,PROJ03481,Transport,2024-11-22,208527,EMP0043,Rejected
EXP00179,PROJ01749,Utilities,2025-04-13,7976,EMP0136,Pending
EXP00180,PROJ03951,Equipment,2024-10-19,202916,EMP0174,Rejected
EXP00181,PROJ02064,Materials,2024-04-27,290787,EMP0267,Rejected
EXP00182,PROJ04775,Equipment,2025-01-20,168113,EMP0183,Approved
EXP00183,PROJ04625,Labor,2025-05-16,55634,EMP0007,Approved
EXP00184,PROJ01535,Labor,2024-05-14,284183,EMP0161,Pending
EXP00185,PROJ01548,Materials,2024-11-14,155707,EMP0077,Rejected
EXP00186,PROJ04345,Materials,2024-05-23,284622,EMP0062,Rejected
EXP00187,PROJ03828,Marketing,2025-03-02,154102,EMP0255,approved
EXP00188,PROJ02749,Labor,2025-06-09,28323,EMP0249,approved
EXP00189,PROJ03775,Materials,2024-11-17,226650,EMP0254,Pending
EXP00190,PROJ00606,Equipment,2024-12-12,13249,EMP0027,approved
EXP00191,PROJ03441,Transport,2024-05-26,12528,EMP0066,Rejected
EXP00192,PROJ04646,Labor,2024-08-23,24433,EMP0143,Rejected
EXP00193,PROJ00732,Utilities,2024-11-01,183909,EMP0252,Rejected
EXP00194,PROJ03634,Equipment,2024-10-01,146530,EMP0165,Approved
EXP00195,PROJ04905,Utilities,2024-12-22,238970,EMP0059,Approved
EXP00196,PROJ01221,Utilities,2024-12-11,270832,EMP0074,Rejected
EXP00197,PROJ00514,Equipment,2024-10-01,71747,EMP0102,Rejected
EXP00198,PROJ03908,Marketing,2024-11-03,17583,EMP0277,Rejected
EXP00199,PROJ02212,Utilities,2024-10-26,233868,EMP0136,approved
EXP00200,PROJ04811,Materials,2024-12-21,101840,,Pending
EXP00201,PROJ01430,Marketing,2024-12-20,131229,EMP0115,Rejected
EXP00202,PROJ03444,Materials,2024-03-11,64441,EMP0109,Approved
EXP00203,PROJ04336,Transport,2024-04-17,126763,EMP0091,approved
EXP00204,PROJ04037,Transport,2025-03-30,159627,EMP0134,approved
EXP00205,PROJ00034,Utilities,2025-02-18,39102,EMP0289,Approved
EXP00206,PROJ01654,Equipment,2025-01-13,291122,EMP0267,Pending
EXP00207,PROJ02174,Transport,2025-02-28,21682,EMP0260,Approved
EXP00208,PROJ04251,Materials,2024-12-15,80056,EMP0020,approved
EXP00209,PROJ02656,Equipment,2025-02-02,91858,EMP0136,Pending
EXP00210,PROJ04500,Materials,2024-01-01,197331,EMP0191,Approved
EXP00211,PROJ04709,Utilities,2024-04-26,178658,EMP0077,Rejected
EXP00212,PROJ02503,Labor,2025-04-13,184835,EMP0090,Pending
EXP00213,PROJ01553,Transport,2025-06-28,198782,EMP0086,approved
EXP00214,PROJ04806,Utilities,2024-02-15,56272,EMP0072,Approved
EXP00215,PROJ04875,Marketing,2024-03-11,68331,EMP0216,approved
EXP00216,PROJ03824,Labor,2025-06-12,295760,EMP0166,Approved
EXP00217,PROJ04572,Materials,2024-12-31,269624,EMP0006,Approved
EXP00218,PROJ01098,Labor,2024-12-25,79185,EMP0138,approved
EXP00219,PROJ01332,Equipment,2024-12-15,138229,EMP0108,Rejected
EXP00220,PROJ02815,Labor,2024-08-04,77583,EMP0252,approved
EXP00221,PROJ05000,Utilities,2024-08-19,195984,EMP0148,approved
EXP00222,PROJ02439,Materials,2025-06-06,161076,EMP0180,Rejected
EXP00223,PROJ04354,Labor,2024-12-16,6886,EMP0057,approved
EXP00224,PROJ01781,Utilities,2025-02-19,289832,EMP0253,Approved
EXP00225,PROJ03872,Labor,2024-09-19,123509,EMP0215,Pending
EXP00226,PROJ02424,Transport,2024-01-18,186132,EMP0245,approved
EXP00227,PROJ01121,Transport,2025-01-16,148485,EMP0177,approved
EXP00228,PROJ01429,Materials,2024-08-03,28695,EMP0181,Approved
EXP00229,PROJ03474,Marketing,2024-06-27,79634,EMP0129,approved
EXP00230,PROJ02215,Transport,2025-03-14,252822,EMP0224,approved
EXP00231,PROJ01322,Utilities,2025-03-09,112903,EMP0289,approved
EXP00232,PROJ00129,Materials,2024-04-10,31464,EMP0177,approved
EXP00233,PROJ01068,Equipment,2025-01-25,164429,EMP0004,Approved
EXP00234,PROJ00918,Marketing,2025-04-07,215208,EMP0054,Pending
EXP00235,PROJ04487,Transport,2025-01-09,36926,EMP0013,approved
EXP00236,PROJ01997,Transport,2024-07-01,153172,EMP0078,Approved
EXP00237,PROJ02661,Marketing,2025-04-23,148962,EMP0184,Approved
EXP00238,PROJ04546,Utilities,2024-07-15,17650,EMP0058,Pending
EXP00239,PROJ00627,Transport,2024-07-02,247015,EMP0213,Approved
EXP00240,PROJ02639,Equipment,2025-05-02,151157,,Rejected
EXP00241,PROJ04133,Utilities,2025-01-28,131234,EMP0050,approved
EXP00242,PROJ00759,Equipment,2024-12-18,9072,EMP0167,Approved
EXP00243,PROJ02806,Utilities,2024-12-01,126092,EMP0235,approved
EXP00244,PROJ00215,Utilities,2025-03-13,224983,EMP0212,approved
EXP00245,PROJ03808,Materials,2025-01-23,136850,EMP0045,approved
EXP00246,PROJ02665,Transport,2025-03-23,258636,EMP0297,Pending
EXP00247,PROJ02890,Utilities,2024-04-25,136171,EMP0194,approved
EXP00248,PROJ04249,Marketing,2024-07-16,158307,EMP0126,approved
EXP00249,PROJ04115,Materials,2024-11-12,266139,EMP0067,approved
EXP00250,PROJ03447,Equipment,2024-10-16,45780,EMP0111,Approved
EXP00251,PROJ02255,Utilities,2025-01-13,118754,EMP0159,approved
EXP00252,PROJ03476,Labor,2024-12-04,94597,EMP0262,Pending
EXP00253,PROJ01084,Equipment,2024-11-10,65638,EMP0148,Pending
EXP00254,PROJ01579,Labor,2024-10-24,58945,EMP0263,approved
EXP00255,PROJ01558,Equipment,2025-04-07,44605,EMP0182,Pending
EXP00256,PROJ02514,Marketing,2024-09-09,62070,EMP0101,approved
EXP00257,PROJ00640,Utilities,2024-08-30,265901,EMP0020,Pending
EXP00258,PROJ01283,Utilities,2025-06-18,191864,EMP0210,Rejected
EXP00259,PROJ00218,Marketing,2024-11-30,19944,EMP0076,approved
EXP00260,PROJ01948,Labor,2025-01-08,126439,EMP0230,Pending
EXP00261,PROJ03409,Marketing,2024-06-16,89005,EMP0194,Approved
EXP00262,PROJ01997,Materials,2024-02-24,42403,EMP0093,Pending
EXP00263,PROJ00316,Equipment,2025-01-06,123099,EMP0153,Pending
EXP00264,PROJ02261,Labor,2024-11-24,101019,EMP0170,Rejected
EXP00265,PROJ01228,Transport,2024-03-18,270033,EMP0005,Approved
EXP00266,PROJ04211,Utilities,2025-07-15,293298,EMP0024,Pending
EXP00267,PROJ04976,Equipment,2024-10-31,31219,EMP0185,Pending
EXP00268,PROJ02231,Marketing,2025-02-23,67711,EMP0284,approved
EXP00269,PROJ04242,Transport,2024-12-23,162094,EMP0028,Approved
EXP00270,PROJ04853,Labor,2025-06-05,277249,EMP0179,Rejected
EXP00271,PROJ04711,Transport,2024-10-19,216300,EMP0260,Approved
EXP00272,PROJ00464,Labor,2025-06-09,102914,EMP0046,Rejected
EXP00273,PROJ04811,Marketing,2025-03-06,57753,EMP0155,Rejected
EXP00274,PROJ04070,Utilities,2025-01-06,27541,EMP0116,Approved
EXP00275,PROJ00078,Marketing,2024-10-18,11080,EMP0124,Rejected
EXP00276,PROJ01666,Equipment,2024-12-02,209432,EMP0178,Approved
EXP00277,PROJ02389,Marketing,2024-11-10,209907,EMP0106,approved
EXP00278,PROJ01023,Materials,2025-02-08,163065,EMP0223,Pending
EXP00279,PROJ04506,Equipment,2024-11-14,184631,EMP0127,Approved
EXP00280,PROJ01223,Equipment,2024-08-02,98171,,Approved
EXP00281,PROJ04647,Equipment,2024-07-16,127117,EMP0130,Pending
EXP00282,PROJ03959,Marketing,2024-12-12,264430,EMP0253,Approved
EXP00283,PROJ00232,Marketing,2024-08-16,218205,EMP0283,Approved
EXP00284,PROJ03589,Materials,2025-03-17,199816,EMP0050,Approved
EXP00285,PROJ01225,Marketing,2024-07-11,16499,EMP0205,Approved
EXP00286,PROJ02628,Transport,2024-12-07,258764,EMP0275,Rejected
EXP00287,PROJ04233,Labor,2025-01-04,91461,EMP0059,approved
EXP00288,PROJ01723,Transport,2025-08-22,83594,EMP0133,Rejected
EXP00289,PROJ04701,Marketing,2025-06-21,167402,EMP0188,approved
EXP00290,PROJ04195,Transport,2025-02-03,297467,EMP0180,Pending
EXP00291,PROJ00579,Equipment,2024-12-28,234729,EMP0227,approved
EXP00292,PROJ02110,Utilities,2025-02-18,33967,EMP0224,Pending
EXP00293,PROJ00089,Materials,2025-01-26,163137,EMP0075,Approved
EXP00294,PROJ03941,Labor,2025-04-30,288197,EMP0203,approved
EXP00295,PROJ04019,Equipment,2025-01-08,21979,EMP0238,Rejected
EXP00296,PROJ03786,Materials,2025-05-08,211246,EMP0275,Approved
EXP00297,PROJ02271,Marketing,2025-03-05,13365,EMP0124,Rejected
EXP00298,PROJ02184,Marketing,2025-04-02,133341,EMP0035,Pending
EXP00299,PROJ02604,Labor,2025-06-24,26382,EMP0174,Approved
EXP00300,PROJ02164,Equipment,2024-11-25,257889,EMP0040,Pending
EXP00301,PROJ03515,Utilities,2025-08-16,11339,EMP0238,Pending
EXP00302,PROJ04293,Labor,2025-04-29,283698,EMP0145,Pending
EXP00303,PROJ02991,Labor,2025-04-27,42612,EMP0038,approved
EXP00304,PROJ02113,Labor,2024-10-12,279814,EMP0269,Rejected
EXP00305,PROJ04971,Materials,2024-10-28,169617,EMP0253,approved
EXP00306,PROJ03901,Marketing,2024-12-31,9343,EMP0156,approved
EXP00307,PROJ03773,Transport,2024-05-18,45961,EMP0244,Pending
EXP00308,PROJ01305,Equipment,2024-08-16,117303,EMP0081,Approved
EXP00309,PROJ04726,Transport,2024-09-11,236827,EMP0157,approved
EXP00310,PROJ04569,Labor,2024-10-21,67995,EMP0115,Approved
EXP00311,PROJ04357,Labor,2025-01-01,16485,EMP0177,Pending
EXP00312,PROJ01507,Marketing,2025-03-13,13132,EMP0289,Pending
EXP00313,PROJ03713,Labor,2025-11-18,103493,EMP0058,approved
EXP00314,PROJ02872,Transport,2025-05-23,176660,EMP0079,Rejected
EXP00315,PROJ03871,Marketing,2024-10-07,208471,EMP0003,Rejected
EXP00316,PROJ02736,Transport,2025-06-16,250837,EMP0155,Rejected
EXP00317,PROJ03964,Equipment,2025-10-14,205595,EMP0104,Approved
EXP00318,PROJ01257,Labor,2024-04-07,125468,EMP0074,Approved
EXP00319,PROJ03090,Equipment,2024-08-09,229446,EMP0055,Rejected
EXP00320,PROJ04759,Marketing,2024-08-29,200264,,Approved
EXP00321,PROJ04037,Utilities,2025-02-24,279838,EMP0084,Pending
EXP00322,PROJ03496,Marketing,2024-12-22,278505,EMP0143,Pending
EXP00323,PROJ00088,Materials,2025-08-12,10705,EMP0096,Approved
EXP00324,PROJ02820,Transport,2024-10-12,20279,EMP0260,Approved
EXP00325,PROJ00741,Utilities,2025-10-07,298905,EMP0191,approved
EXP00326,PROJ03419,Materials,2024-02-23,95885,EMP0131,Pending
EXP00327,PROJ01539,Utilities,2025-07-02,87896,EMP0216,approved
EXP00328,PROJ03294,Transport,2025-02-17,22363,EMP0264,Approved
EXP00329,PROJ01529,Equipment,2024-11-28,10705,EMP0288,Pending
EXP00330,PROJ03902,Marketing,2025-04-09,83272,EMP0243,Pending
EXP00331,PROJ04597,Labor,2024-06-22,63931,EMP0240,Approved
EXP00332,PROJ02546,Labor,2024-06-17,176691,EMP0294,Approved
EXP00333,PROJ03453,Materials,2025-06-06,258972,EMP0006,Pending
EXP00334,PROJ04036,Materials,2024-08-17,84193,EMP0213,Rejected
EXP00335,PROJ04159,Utilities,2024-12-20,43652,EMP0099,Approved
EXP00336,PROJ04745,Transport,2024-05-06,60111,EMP0272,approved
EXP00337,PROJ02221,Equipment,2025-02-26,86217,EMP0120,Pending
EXP00338,PROJ00694,Transport,2024-03-01,223212,EMP0232,Approved
EXP00339,PROJ02550,Utilities,2024-02-13,208824,EMP0234,Approved
EXP00340,PROJ01100,Marketing,2024-06-05,154995,EMP0112,Approved
EXP00341,PROJ03711,Equipment,2024-08-15,15748,EMP0159,Pending
EXP00342,PROJ04977,Labor,2024-11-14,184083,EMP0178,Approved
EXP00343,PROJ04858,Transport,2024-11-20,33313,EMP0039,Pending
EXP00344,PROJ04670,Transport,2025-01-23,282467,EMP0257,approved
EXP00345,PROJ00424,Materials,2024-10-12,239018,EMP0287,approved
EXP00346,PROJ02285,Labor,2024-09-13,227526,EMP0231,approved
EXP00347,PROJ02656,Transport,2025-05-08,179351,EMP0185,approved
EXP00348,PROJ03688,Marketing,2024-02-02,81045,EMP0270,Approved
EXP00349,PROJ03616,Materials,2025-05-15,173217,EMP0087,Pending
EXP00350,PROJ03763,Equipment,2024-06-18,37928,EMP0183,approved
EXP00351,PROJ00681,Transport,2025-06-17,164815,EMP0010,Approved
EXP00352,PROJ00092,Transport,2025-02-06,273117,EMP0205,approved
EXP00353,PROJ03667,Utilities,2025-05-05,95544,EMP0009,Approved
EXP00354,PROJ00306,Materials,2024-08-03,253103,EMP0185,Rejected
EXP00355,PROJ02277,Equipment,2025-01-03,147904,EMP0227,approved
EXP00356,PROJ04836,Marketing,2025-02-17,260713,EMP0161,approved
EXP00357,PROJ03471,Transport,2024-08-15,160023,EMP0227,Rejected
EXP00358,PROJ04774,Utilities,2024-06-26,244470,EMP0239,approved
EXP00359,PROJ01433,Utilities,2025-01-07,278357,EMP0293,Rejected
EXP00360,PROJ04408,Utilities,2025-01-27,60506,,approved
EXP00361,PROJ03809,Labor,2024-10-29,206052,EMP0149,approved
EXP00362,PROJ01913,Labor,2024-12-11,59328,EMP0097,Rejected
EXP00363,PROJ03441,Materials,2024-12-05,129537,EMP0090,Pending
EXP00364,PROJ02576,Marketing,2025-03-22,84102,EMP0293,Rejected
EXP00365,PROJ01231,Transport,2024-10-27,268431,EMP0168,Approved
EXP00366,PROJ02783,Marketing,2025-02-16,247107,EMP0282,Pending
EXP00367,PROJ01307,Equipment,2024-08-10,125723,EMP0158,approved
EXP00368,PROJ03247,Utilities,2025-03-28,149976,EMP0080,Pending
EXP00369,PROJ00593,Equipment,2024-04-10,17256,EMP0234,Approved
EXP00370,PROJ03886,Labor,2025-05-08,11525,EMP0106,Rejected
EXP00371,PROJ00145,Equipment,2024-08-12,157772,EMP0107,Rejected
EXP00372,PROJ00212,Transport,2024-08-18,248715,EMP0286,Pending
EXP00373,PROJ00580,Equipment,2024-09-24,297952,EMP0050,Rejected
