inventory_id,product_id,supplier_id,warehouse,stock_quantity,reorder_level,last_updated,inventory_status
INV00110,PRD01124,SUP0171,Bengaluru WH,157,168,15-03-2025,available
INV00111,PRD00735,SUP0389,Chennai WH,717,60,02-09-2025,available
INV00112,PRD01446,SUP0133,Hyderabad WH,460,40,19-04-2025,Low Stock
INV00113,PRD00761,SUP0048,Bengaluru WH,708,181,14-02-2025,Available
INV00114,PRD00960,SUP0440,Bengaluru WH,113,111,14-09-2025,Low Stock
INV00115,PRD01353,SUP0158,Chennai WH,441,117,16-11-2025,Available
INV00116,PRD01937,SUP0310,Delhi WH,42,191,21-09-2025,available
INV00117,PRD00902,SUP0072,Delhi WH,262,53,19-04-2025,Available
INV00118,PRD01985,SUP0193,Chennai WH,454,71,15-10-2025,Out of Stock
INV00119,PRD00190,SUP0014,Chennai WH,859,29,11-12-2025,Low Stock
INV00120,PRD00061,SUP0015,Chennai WH,944,143,09-01-2025,Out of Stock
INV00121,PRD00813,SUP0268,Mumbai WH,739,140,25-04-2025,available
INV00122,PRD01755,SUP0144,Delhi WH,686,191,06-03-2025,Out of Stock
INV00123,PRD01455,SUP0105,Delhi WH,758,199,22-01-2025,available
INV00124,PRD01194,SUP0256,Chennai WH,878,93,15-01-2025,Available
INV00125,PRD00907,SUP0301,Hyderabad WH,411,84,03-01-2025,Available
INV00126,PRD01729,SUP0018,Delhi WH,526,79,16-08-2025,Out of Stock
INV00127,PRD01547,SUP0210,Mumbai WH,20,50,18-12-2025,available
INV00128,PRD00453,SUP0351,Bengaluru WH,775,85,11-04-2025,Available
INV00129,PRD01931,SUP0087,Mumbai WH,120,156,23-11-2025,available
INV00130,PRD00160,SUP0425,Delhi WH,985,72,01-07-2025,Low Stock
INV00131,PRD00188,SUP0096,Hyderabad WH,766,42,01-12-2025,Out of Stock
INV00132,PRD01085,SUP0091,Bengaluru WH,285,154,02-11-2025,available
INV00133,PRD01478,SUP0021,Chennai WH,681,108,01-01-2025,Out of Stock
INV00134,PRD00138,SUP0068,Bengaluru WH,503,61,20-02-2025,Out of Stock
INV00135,PRD01094,SUP0256,Bengaluru WH,184,131,06-10-2025,available
INV00136,PRD01243,SUP0148,Chennai WH,29,106,11-06-2025,Low Stock
INV00137,PRD00373,SUP0012,Mumbai WH,663,27,02-12-2025,available
INV00138,PRD01577,SUP0320,Mumbai WH,114,135,19-12-2025,Low Stock
INV00139,PRD01514,SUP0421,Mumbai WH,801,195,28-09-2025,available
INV00140,PRD00478,SUP0045,Mumbai WH,752,91,21-05-2025,Low Stock
INV00141,PRD00876,SUP0302,Mumbai WH,895,120,27-03-2025,available
INV00142,PRD01718,SUP0463,Mumbai WH,485,22,03-03-2025,available
INV00143,PRD01458,SUP0458,Hyderabad WH,217,127,18-04-2025,available
INV00144,PRD00465,SUP0464,Hyderabad WH,969,102,09-10-2025,Out of Stock
INV00145,PRD00571,SUP0292,Delhi WH,875,147,18-01-2025,available
INV00146,PRD00301,SUP0380,Chennai WH,661,49,25-09-2025,available
INV00147,PRD00477,SUP0368,Bengaluru WH,461,123,28-03-2025,Low Stock
INV00148,PRD01050,SUP0298,Bengaluru WH,258,30,22-10-2025,available
INV00149,PRD00659,SUP0186,Bengaluru WH,411,26,18-08-2025,Out of Stock
INV00150,PRD00383,SUP0300,Mumbai WH,711,162,05-03-2025,Out of Stock
INV00151,PRD00888,SUP0103,Bengaluru WH,45,156,13-10-2025,Low Stock
INV00152,PRD01727,SUP0376,Chennai WH,415,31,25-03-2025,Low Stock
INV00153,PRD01421,SUP0251,Mumbai WH,961,139,07-08-2025,Available
INV00154,PRD00191,SUP0305,Mumbai WH,388,151,17-09-2025,available
INV00155,PRD00840,SUP0359,Bengaluru WH,318,188,07-01-2025,Out of Stock
INV00156,PRD00272,SUP0024,Bengaluru WH,483,184,17-12-2025,Low Stock
INV00157,PRD00499,SUP0327,Mumbai WH,340,79,17-09-2025,Out of Stock
INV00158,PRD01023,SUP0469,Hyderabad WH,943,123,02-10-2025,Low Stock
INV00159,PRD00883,SUP0221,Mumbai WH,438,87,12-01-2025,Out of Stock
INV00160,PRD00365,SUP0312,Chennai WH,348,32,13-11-2025,Available
INV00161,PRD00740,SUP0269,Delhi WH,428,47,25-10-2025,available
INV00162,PRD01354,SUP0196,Bengaluru WH,679,141,07-09-2025,Out of Stock
INV00163,PRD01176,SUP0321,Delhi WH,861,41,28-09-2025,Out of Stock
INV00164,PRD01493,SUP0384,Chennai WH,251,70,22-10-2025,Available
INV00165,PRD00541,SUP0044,Mumbai WH,34,87,12-09-2025,available
INV00166,PRD01195,SUP0335,Delhi WH,89,46,03-06-2025,Out of Stock
INV00167,PRD00034,SUP0287,Bengaluru WH,284,175,05-06-2025,available
INV00168,PRD01280,SUP0132,Bengaluru WH,442,62,16-11-2025,Out of Stock
INV00169,PRD01729,SUP0214,Mumbai WH,261,31,22-05-2025,Out of Stock
INV00170,PRD00958,SUP0346,Chennai WH,583,140,01-06-2025,available
INV00171,PRD00472,SUP0222,Chennai WH,212,80,21-12-2025,Available
INV00172,PRD01153,SUP0006,Hyderabad WH,758,163,17-06-2025,Available
INV00173,PRD00827,SUP0234,Hyderabad WH,725,123,11-09-2025,Available
INV00174,PRD01394,SUP0270,Mumbai WH,482,105,03-02-2025,available
INV00175,PRD00140,SUP0126,Bengaluru WH,231,155,04-07-2025,available
INV00176,PRD00443,SUP0236,Bengaluru WH,991,52,02-02-2025,available
INV00177,PRD00228,SUP0473,Mumbai WH,715,194,22-02-2025,Low Stock
INV00178,PRD00982,SUP0442,Delhi WH,102,110,21-03-2025,Low Stock
INV00179,PRD01169,SUP0240,Delhi WH,838,65,10-10-2025,Low Stock
INV00180,PRD00415,SUP0097,Chennai WH,407,52,26-04-2025,Available
INV00181,PRD00003,SUP0144,Mumbai WH,670,121,21-09-2025,Out of Stock
INV00182,PRD00526,SUP0387,Mumbai WH,637,61,15-03-2025,Low Stock
INV00183,PRD01439,SUP0317,Chennai WH,250,153,05-11-2025,Available
INV00184,PRD00347,SUP0451,Delhi WH,820,120,21-12-2025,available
INV00185,PRD00524,SUP0168,Hyderabad WH,965,32,15-05-2025,Low Stock
INV00186,PRD00405,SUP0405,Hyderabad WH,807,37,15-10-2025,available
INV00187,PRD00971,SUP0076,Bengaluru WH,2,131,25-07-2025,available
INV00188,PRD01113,SUP0270,Chennai WH,928,192,08-11-2025,Out of Stock
INV00189,PRD00230,SUP0438,Chennai WH,774,39,06-08-2025,available
INV00190,PRD00381,SUP0217,Bengaluru WH,43,116,02-06-2025,available
INV00191,PRD00027,SUP0172,Delhi WH,696,28,01-05-2025,available
INV00192,PRD00521,SUP0432,Bengaluru WH,709,151,19-08-2025,Out of Stock
INV00193,PRD01082,SUP0122,Hyderabad WH,626,88,20-08-2025,Available
INV00194,PRD01639,SUP0370,Mumbai WH,741,148,04-11-2025,Available
INV00195,PRD01465,SUP0363,Delhi WH,634,160,19-09-2025,Available
INV00196,PRD00374,SUP0424,Mumbai WH,215,102,12-05-2025,Low Stock
INV00197,PRD00067,SUP0076,Bengaluru WH,583,31,04-04-2025,available
INV00198,PRD00084,SUP0136,Bengaluru WH,888,151,28-05-2025,available
INV00199,PRD00371,SUP0054,Hyderabad WH,187,156,10-11-2025,Out of Stock
INV00200,PRD00396,SUP0024,Delhi WH,524,61,15-09-2025,available
INV00201,PRD00583,SUP0322,Hyderabad WH,616,196,20-06-2025,Out of Stock
INV00202,PRD01500,SUP0326,Chennai WH,808,197,12-08-2025,Out of Stock
INV00203,PRD01028,SUP0241,Delhi WH,921,40,07-10-2025,Available
INV00204,PRD00743,SUP0082,Chennai WH,794,181,02-04-2025,Out of Stock
INV00205,PRD00430,SUP0159,Delhi WH,377,182,28-02-2025,Out of Stock
INV00206,PRD01719,SUP0014,Bengaluru WH,38,54,12-03-2025,Low Stock
INV00207,PRD00147,SUP0197,Chennai WH,109,173,27-10-2025,Low Stock
INV00208,PRD00165,SUP0224,Delhi WH,53,20,20-01-2025,available
INV00209,PRD00485,SUP0165,Chennai WH,3,179,26-09-2025,Available
INV00210,PRD01966,SUP0492,Mumbai WH,79,26,11-05-2025,Available
INV00211,PRD01338,SUP0304,Delhi WH,443,51,25-01-2025,Low Stock
INV00212,PRD00913,SUP0039,Mumbai WH,374,89,06-03-2025,Out of Stock
INV00213,PRD01456,SUP0221,Mumbai WH,14,167,23-04-2025,Out of Stock
INV00214,PRD00138,SUP0151,Delhi WH,681,128,08-01-2025,Low Stock
INV00215,PRD00904,SUP0160,Mumbai WH,665,86,08-07-2025,Low Stock
INV00216,PRD00706,SUP0149,Bengaluru WH,725,63,11-12-2025,available
INV00217,PRD00620,SUP0336,Bengaluru WH,191,172,18-08-2025,Available
INV00218,PRD01879,SUP0312,Hyderabad WH,334,168,23-11-2025,available
INV00219,PRD00946,SUP0158,Mumbai WH,609,114,03-01-2025,Out of Stock
INV00220,PRD01021,SUP0085,Mumbai WH,128,198,12-12-2025,Available
INV00221,PRD00092,SUP0272,Delhi WH,505,67,06-12-2025,Available
INV00222,PRD01336,SUP0258,Mumbai WH,4,96,24-06-2025,Low Stock
INV00223,PRD01687,SUP0298,Hyderabad WH,511,116,07-11-2025,Out of Stock
INV00224,PRD01711,SUP0351,Hyderabad WH,321,181,15-10-2025,available
INV00225,PRD00386,SUP0098,Bengaluru WH,240,33,24-08-2025,Available
INV00226,PRD00662,SUP0380,Delhi WH,955,138,17-03-2025,available
INV00227,PRD00782,SUP0196,Chennai WH,329,155,09-03-2025,Low Stock
INV00228,PRD00318,SUP0113,Hyderabad WH,709,103,22-05-2025,available
INV00229,PRD00936,SUP0146,Delhi WH,787,76,03-09-2025,available
INV00230,PRD01676,SUP0368,Delhi WH,979,32,26-10-2025,available
INV00231,PRD01267,SUP0001,Mumbai WH,437,49,22-12-2025,Out of Stock
INV00232,PRD00463,SUP0098,Bengaluru WH,968,152,24-08-2025,available
INV00233,PRD01399,SUP0183,Chennai WH,847,176,22-07-2025,Low Stock
INV00234,PRD01161,SUP0463,Hyderabad WH,51,77,14-03-2025,Available
INV00235,PRD01754,SUP0484,Mumbai WH,260,193,02-09-2025,Out of Stock
INV00236,PRD00925,SUP0062,Mumbai WH,550,77,24-03-2025,Out of Stock
INV00237,PRD00824,SUP0067,Delhi WH,766,200,15-06-2025,Available
INV00238,PRD01723,SUP0432,Chennai WH,208,107,10-04-2025,Out of Stock
INV00239,PRD01278,SUP0394,Hyderabad WH,693,157,04-01-2025,Out of Stock
INV00240,PRD01470,SUP0317,Mumbai WH,383,140,20-09-2025,Out of Stock
INV00241,PRD01756,SUP0374,Chennai WH,352,187,15-08-2025,Out of Stock
INV00242,PRD00379,SUP0392,Delhi WH,215,173,20-10-2025,Available
INV00243,PRD00271,SUP0245,Chennai WH,91,127,23-02-2025,Low Stock
INV00244,PRD00268,SUP0199,Delhi WH,316,35,14-09-2025,Out of Stock
INV00245,PRD01066,SUP0170,Bengaluru WH,822,172,07-11-2025,available
INV00246,PRD00005,SUP0304,Mumbai WH,646,21,10-01-2025,Low Stock
INV00247,PRD00900,SUP0275,Bengaluru WH,153,142,15-04-2025,available
INV00248,PRD00993,SUP0126,Delhi WH,264,94,16-11-2025,Out of Stock
INV00249,PRD01224,SUP0266,Hyderabad WH,727,195,16-02-2025,available
INV00250,PRD00872,SUP0153,Delhi WH,343,197,10-04-2025,Low Stock
INV00251,PRD00414,SUP0124,Hyderabad WH,988,115,05-05-2025,Out of Stock
INV00252,PRD00591,SUP0394,Mumbai WH,314,175,04-01-2025,Available
INV00253,PRD01987,SUP0081,Chennai WH,201,184,28-05-2025,Out of Stock
INV00254,PRD00875,SUP0415,Hyderabad WH,802,174,05-08-2025,Low Stock
INV00255,PRD01897,SUP0354,Delhi WH,810,55,22-03-2025,Out of Stock
INV00256,PRD01075,SUP0315,Mumbai WH,884,80,26-05-2025,Low Stock
INV00257,PRD00708,SUP0327,Chennai WH,494,75,02-11-2025,Available
INV00258,PRD00401,SUP0364,Chennai WH,142,53,19-01-2025,Out of Stock
INV00259,PRD01285,SUP0429,Mumbai WH,458,90,15-08-2025,Out of Stock
INV00260,PRD01789,SUP0104,Hyderabad WH,748,62,01-09-2025,available
INV00261,PRD01199,SUP0299,Chennai WH,118,153,09-11-2025,available
INV00262,PRD00526,SUP0495,Bengaluru WH,67,154,25-05-2025,Low Stock
INV00263,PRD01969,SUP0043,Chennai WH,224,60,15-05-2025,Available
INV00264,PRD01636,SUP0284,Chennai WH,712,189,23-03-2025,Low Stock
INV00265,PRD01804,SUP0263,Chennai WH,966,69,26-01-2025,Out of Stock
INV00266,PRD00991,SUP0382,Hyderabad WH,677,102,01-08-2025,Out of Stock
INV00267,PRD00265,SUP0046,Hyderabad WH,142,99,26-04-2025,Low Stock
INV00268,PRD01478,SUP0064,Bengaluru WH,410,159,21-06-2025,Low Stock
INV00269,PRD00667,SUP0078,Bengaluru WH,232,124,19-02-2025,Out of Stock
INV00270,PRD00531,SUP0092,Chennai WH,251,139,25-04-2025,available
INV00271,PRD01803,SUP0088,Bengaluru WH,124,129,10-02-2025,Low Stock
INV00272,PRD01069,SUP0026,Delhi WH,98,90,02-07-2025,Out of Stock
INV00273,PRD01099,SUP0021,Mumbai WH,879,179,03-07-2025,Low Stock
INV00274,PRD01775,SUP0426,Hyderabad WH,134,24,21-08-2025,available
INV00275,PRD00778,SUP0177,Delhi WH,866,192,02-01-2025,Low Stock
INV00276,PRD01467,SUP0144,Delhi WH,633,103,17-09-2025,Low Stock
INV00277,PRD01750,SUP0331,Bengaluru WH,634,47,01-01-2025,Out of Stock
INV00278,PRD01620,SUP0262,Bengaluru WH,209,28,20-08-2025,Available
INV00279,PRD01061,SUP0362,Chennai WH,426,196,10-10-2025,Out of Stock
INV00280,PRD00987,SUP0177,Bengaluru WH,511,67,08-01-2025,available
INV00281,PRD01943,SUP0017,Mumbai WH,494,42,02-08-2025,available
INV00282,PRD01918,SUP0197,Bengaluru WH,687,79,22-11-2025,Out of Stock
INV00283,PRD00792,SUP0375,Chennai WH,510,177,17-07-2025,Out of Stock
INV00284,PRD01819,SUP0109,Hyderabad WH,199,32,03-11-2025,Low Stock
INV00285,PRD00690,SUP0445,Chennai WH,140,186,03-11-2025,Available
INV00286,PRD00616,SUP0485,Delhi WH,573,26,22-05-2025,Low Stock
INV00287,PRD00205,SUP0288,Delhi WH,162,131,21-08-2025,Available
INV00288,PRD00598,SUP0291,Hyderabad WH,844,56,05-05-2025,Available
INV00289,PRD00293,SUP0178,Chennai WH,549,100,21-09-2025,Low Stock
INV00290,PRD00437,SUP0446,Mumbai WH,225,120,01-06-2025,Low Stock
INV00291,PRD01350,SUP0219,Mumbai WH,204,42,09-06-2025,available
INV00292,PRD00427,SUP0095,Bengaluru WH,461,143,19-04-2025,Available
INV00293,PRD00640,SUP0389,Mumbai WH,980,176,09-07-2025,Low Stock
INV00294,PRD01644,SUP0387,Bengaluru WH,989,54,18-01-2025,Out of Stock
INV00295,PRD01757,SUP0002,Bengaluru WH,462,36,13-01-2025,Low Stock
INV00296,PRD00737,SUP0091,Bengaluru WH,650,187,18-08-2025,Out of Stock
INV00297,PRD01694,SUP0415,Bengaluru WH,856,45,09-11-2025,Out of Stock
INV00298,PRD01083,SUP0132,Delhi WH,686,200,01-09-2025,Low Stock
INV00299,PRD00390,SUP0002,Bengaluru WH,221,51,11-02-2025,available
INV00300,PRD01210,SUP0257,Hyderabad WH,241,162,07-05-2025,Available
INV00301,PRD01838,SUP0057,Chennai WH,83,45,18-10-2025,available
INV00302,PRD00230,SUP0068,Delhi WH,884,44,26-09-2025,available
INV00303,PRD00233,SUP0370,Bengaluru WH,324,141,24-03-2025,available
INV00304,PRD01685,SUP0202,Mumbai WH,75,60,17-07-2025,Out of Stock
INV00305,PRD01788,SUP0339,Chennai WH,778,123,21-03-2025,Available
INV00306,PRD01222,SUP0297,Delhi WH,637,111,26-07-2025,Low Stock
INV00307,PRD00245,SUP0090,Mumbai WH,57,147,16-10-2025,Out of Stock
INV00308,PRD01349,SUP0003,Delhi WH,755,168,15-07-2025,Out of Stock
INV00309,PRD00095,SUP0059,Chennai WH,866,110,24-09-2025,Low Stock
INV00310,PRD01601,SUP0395,Mumbai WH,660,117,01-02-2025,Low Stock
INV00311,PRD00320,SUP0180,Delhi WH,496,126,24-02-2025,Out of Stock
INV00312,PRD01520,SUP0159,Delhi WH,89,90,05-03-2025,Low Stock
INV00313,PRD01940,SUP0083,Mumbai WH,502,84,19-08-2025,Out of Stock
INV00314,PRD00488,SUP0033,Bengaluru WH,405,186,03-11-2025,available
INV00315,PRD00570,SUP0265,Chennai WH,906,121,09-05-2025,Low Stock
INV00316,PRD01317,SUP0320,Delhi WH,31,32,01-11-2025,Available
INV00317,PRD01534,SUP0448,Hyderabad WH,589,48,16-06-2025,available
INV00318,PRD01608,SUP0305,Delhi WH,950,83,08-06-2025,Low Stock
INV00319,PRD00650,SUP0473,Mumbai WH,528,52,21-06-2025,Available
INV00320,PRD00288,SUP0100,Bengaluru WH,544,98,19-01-2025,available
INV00321,PRD01848,SUP0107,Mumbai WH,464,65,06-10-2025,Out of Stock
INV00322,PRD00592,SUP0162,Hyderabad WH,426,183,18-09-2025,Out of Stock
INV00323,PRD01183,SUP0416,Chennai WH,91,185,08-04-2025,Low Stock
INV00324,PRD00200,SUP0260,Chennai WH,868,42,14-05-2025,Low Stock
INV00325,PRD00743,SUP0265,Delhi WH,943,84,03-01-2025,Out of Stock
INV00326,PRD00684,SUP0156,Bengaluru WH,860,106,11-09-2025,available
INV00327,PRD00559,SUP0158,Mumbai WH,762,128,26-03-2025,Out of Stock
INV00328,PRD00930,SUP0271,Bengaluru WH,104,26,22-10-2025,available
INV00329,PRD00414,SUP0074,Bengaluru WH,594,188,13-06-2025,Out of Stock
INV00330,PRD01129,SUP0401,Delhi WH,863,61,21-10-2025,available
INV00331,PRD01479,SUP0052,Chennai WH,50,156,23-03-2025,Low Stock
INV00332,PRD00040,SUP0325,Hyderabad WH,574,176,10-12-2025,Out of Stock
INV00333,PRD00451,SUP0311,Mumbai WH,260,167,09-12-2025,available
INV00334,PRD01815,SUP0311,Delhi WH,344,29,06-09-2025,Out of Stock
INV00335,PRD00280,SUP0247,Chennai WH,330,56,01-12-2025,available
INV00336,PRD00913,SUP0396,Delhi WH,560,67,04-07-2025,Available
INV00337,PRD01850,SUP0161,Hyderabad WH,557,180,17-01-2025,Low Stock
INV00338,PRD01255,SUP0472,Mumbai WH,413,165,17-01-2025,available
INV00339,PRD01520,SUP0106,Delhi WH,524,110,13-11-2025,Available
INV00340,PRD01859,SUP0452,Chennai WH,967,94,06-11-2025,Out of Stock
INV00341,PRD00502,SUP0100,Mumbai WH,282,85,16-10-2025,Available
INV00342,PRD00361,SUP0388,Mumbai WH,689,101,09-07-2025,Available
INV00343,PRD01288,SUP0374,Bengaluru WH,709,156,15-12-2025,Out of Stock
