order_id,project_id,customer_id,order_date,order_status,payment_status,total_amount
ORD00073,PROJ03703,CUS002860,2025-03-05,Shipped,Partial,347319
ORD00074,PROJ03233,CUS004725,2025-01-06,confirmed,Pending,368902
ORD00075,PROJ02748,CUS001814,2025-04-17,confirmed,Pending,228788
ORD00076,PROJ01585,CUS002340,2024-11-11,Confirmed,Partial,262018
ORD00077,PROJ04749,CUS004043,2024-12-10,Delivered,Pending,437763
ORD00078,PROJ00634,CUS001746,2024-05-07,confirmed,Partial,336681
ORD00079,PROJ03688,CUS003261,2024-03-01,Delivered,Paid,198636
ORD00080,PROJ00677,CUS003723,2025-01-31,Shipped,Partial,73695
ORD00081,PROJ00625,CUS001007,2025-02-06,confirmed,Paid,214659
ORD00082,PROJ02666,CUS000371,2025-06-15,Confirmed,paid,397371
ORD00083,PROJ03723,CUS002064,2024-10-06,Delivered,Partial,292558
ORD00084,PROJ02189,CUS001698,2025-08-03,confirmed,Pending,386589
ORD00085,PROJ02839,CUS001025,2024-10-12,Shipped,Paid,334035
ORD00086,PROJ02333,CUS004610,2024-12-09,Confirmed,Paid,379396
ORD00087,PROJ01116,CUS003863,2025-05-26,Confirmed,Paid,110502
ORD00088,PROJ01813,CUS003332,2024-09-22,Shipped,Partial,90967
ORD00089,PROJ01094,CUS002886,2025-07-24,confirmed,paid,37247
ORD00090,PROJ01968,CUS002153,2024-11-20,Shipped,Partial,495022
ORD00091,PROJ02887,CUS000265,2024-11-21,Delivered,paid,11811
ORD00092,PROJ04483,CUS003112,2024-05-25,Delivered,paid,383632
ORD00093,PROJ03634,CUS003582,2024-10-17,Confirmed,Paid,319129
ORD00094,PROJ02025,CUS000112,2024-09-29,Confirmed,Paid,248182
ORD00095,PROJ01960,CUS001281,2024-12-03,confirmed,Pending,421401
ORD00096,PROJ03296,CUS003872,2024-11-08,confirmed,Paid,135301
ORD00097,PROJ01471,CUS003966,2024-09-11,confirmed,Paid,225840
ORD00098,PROJ03253,CUS001591,2024-02-11,confirmed,Paid,482069
ORD00099,PROJ04438,CUS000462,2025-04-07,Confirmed,Pending,429288
ORD00100,PROJ01122,CUS004928,2025-05-21,Delivered,Pending,443523
ORD00101,PROJ03852,CUS000107,2025-04-08,Delivered,paid,458716
ORD00102,PROJ04201,CUS003380,2024-07-18,Shipped,Paid,343817
ORD00103,PROJ00052,CUS001596,2024-12-06,Shipped,Pending,362372
ORD00104,PROJ00445,CUS003804,2025-03-01,Confirmed,Pending,20085
ORD00105,PROJ01210,CUS003685,2024-04-30,Cancelled,Partial,31322
ORD00106,PROJ01813,CUS001241,2025-01-24,confirmed,Partial,75734
ORD00107,PROJ01189,CUS002681,2024-10-25,Delivered,Partial,149695
ORD00108,PROJ04107,CUS004565,2024-03-09,Cancelled,paid,316630
ORD00109,PROJ01346,CUS004011,2025-06-02,Cancelled,paid,31579
ORD00110,PROJ01295,CUS001915,2025-02-09,confirmed,paid,274982
ORD00111,PROJ00708,CUS001561,2025-03-18,Shipped,paid,86493
ORD00112,PROJ03667,CUS000773,2025-01-01,Confirmed,Pending,41131
ORD00113,PROJ02199,CUS004901,2025-03-04,Shipped,Partial,32913
ORD00114,PROJ04159,CUS002440,2025-03-06,Delivered,Partial,104375
ORD00115,PROJ02815,CUS002581,2024-06-25,confirmed,Pending,218475
ORD00116,PROJ04463,CUS003050,2024-04-10,Confirmed,Partial,280802
ORD00117,PROJ03878,CUS002293,2024-08-31,confirmed,paid,364544
ORD00118,PROJ04645,CUS000155,2025-02-07,confirmed,Paid,449456
ORD00119,PROJ03788,CUS000020,2024-11-30,Confirmed,Pending,46671
ORD00120,PROJ01512,CUS004058,2024-12-14,confirmed,paid,185587
ORD00121,PROJ03643,CUS002993,2024-08-27,Cancelled,Partial,192638
ORD00122,PROJ00449,CUS004730,2025-08-06,Confirmed,Partial,432911
ORD00123,PROJ02996,CUS004549,2025-01-10,Cancelled,paid,338157
ORD00124,PROJ04333,CUS004610,2025-07-12,Cancelled,paid,429540
ORD00125,PROJ04503,CUS003550,2025-06-26,Shipped,paid,456021
ORD00126,PROJ03092,CUS000389,2024-04-05,Confirmed,paid,325619
ORD00127,PROJ02195,CUS001072,2024-11-19,Delivered,Partial,408005
ORD00128,PROJ01646,CUS002267,2025-02-20,Delivered,Pending,263847
ORD00129,PROJ01310,CUS003168,2024-05-20,Shipped,Partial,478312
ORD00130,PROJ02632,CUS000790,2024-09-07,Confirmed,Partial,22552
ORD00131,PROJ03631,CUS002430,2024-11-04,Delivered,paid,476834
ORD00132,PROJ00938,CUS001753,2024-11-18,confirmed,paid,160574
ORD00133,PROJ03444,CUS002095,2024-03-12,Shipped,Paid,169995
ORD00134,PROJ02014,CUS000193,2024-11-28,confirmed,Pending,147434
ORD00135,PROJ04358,CUS003540,2025-03-18,Cancelled,Partial,186233
ORD00136,PROJ03889,CUS000920,2024-05-03,Cancelled,Partial,165635
ORD00137,PROJ03336,CUS002951,2025-03-12,Shipped,Pending,5105
ORD00138,PROJ02690,CUS004666,2024-07-23,Delivered,Pending,339355
ORD00139,PROJ02892,CUS003863,2024-12-15,confirmed,Pending,414563
ORD00140,PROJ03752,CUS000341,2025-04-28,Confirmed,Paid,420146
ORD00141,PROJ02170,CUS004541,2024-12-12,confirmed,Pending,370859
ORD00142,PROJ02936,CUS001869,2025-05-31,confirmed,Paid,269448
ORD00143,PROJ04256,CUS002165,2025-04-07,Delivered,Paid,68221
ORD00144,PROJ04275,CUS004003,2025-02-04,Cancelled,Pending,62296
ORD00145,PROJ04219,CUS002450,2024-07-09,Shipped,Paid,356968
ORD00146,PROJ00210,CUS004504,2024-01-25,Cancelled,Paid,404317
ORD00147,PROJ03495,CUS002121,2025-01-24,confirmed,Paid,428414
ORD00148,PROJ02216,CUS000069,2025-02-04,Confirmed,paid,159392
ORD00149,PROJ01896,CUS001130,2024-12-02,confirmed,Partial,273178
ORD00150,PROJ00611,CUS003894,2024-08-06,Cancelled,Pending,60858
ORD00151,PROJ02169,CUS000632,2024-05-06,Delivered,Pending,354870
ORD00152,PROJ01668,CUS002914,2025-02-06,Shipped,Partial,268683
ORD00153,PROJ04992,CUS001372,2024-10-27,confirmed,Pending,112432
ORD00154,PROJ03153,CUS004034,2024-12-19,Cancelled,paid,392068
ORD00155,PROJ01200,CUS001513,2024-09-16,confirmed,Pending,309553
ORD00156,PROJ04477,CUS002673,2024-11-17,Shipped,Paid,496766
ORD00157,PROJ02771,CUS001334,2024-10-15,Shipped,Pending,242660
ORD00158,PROJ01394,CUS000038,2025-01-24,Cancelled,Paid,275236
ORD00159,PROJ04525,CUS000444,2025-07-05,Delivered,Partial,27150
ORD00160,PROJ01875,CUS000953,2024-06-16,Cancelled,Paid,222833
ORD00161,PROJ02387,CUS003342,2025-02-01,Confirmed,Partial,57207
ORD00162,PROJ02671,CUS003340,2024-10-27,Cancelled,Paid,58952
ORD00163,PROJ02488,CUS003639,2024-12-30,Cancelled,paid,117002
ORD00164,PROJ03929,CUS002217,2025-02-17,Confirmed,Partial,283809
ORD00165,PROJ00303,CUS003355,2025-04-11,Shipped,Pending,78496
ORD00166,PROJ00960,CUS002316,2025-03-20,Delivered,Paid,409978
ORD00167,PROJ00024,CUS000210,2024-07-12,Confirmed,paid,223759
ORD00168,PROJ03051,CUS003336,2025-07-06,confirmed,Pending,68514
ORD00169,PROJ04600,CUS000890,2025-05-26,Confirmed,Paid,332378
ORD00170,PROJ04624,CUS004234,2024-10-12,confirmed,Partial,381195
ORD00171,PROJ00060,CUS000225,2025-04-01,Delivered,paid,184445
ORD00172,PROJ01657,CUS003351,2024-11-06,Shipped,Partial,179878
ORD00173,PROJ03181,CUS003692,2024-09-06,Shipped,Pending,99637
ORD00174,PROJ01345,CUS003421,2024-02-22,confirmed,Pending,67427
ORD00175,PROJ02411,CUS002421,2024-04-04,Delivered,Partial,127064
ORD00176,PROJ03481,CUS003492,2024-07-28,Delivered,Paid,25839
ORD00177,PROJ04784,CUS000445,2025-08-10,Delivered,Partial,361989
ORD00178,PROJ02816,CUS004218,2024-10-06,Shipped,paid,125052
ORD00179,PROJ01528,CUS004213,2024-07-01,Cancelled,paid,472338
ORD00180,PROJ04518,CUS003573,2025-03-27,Confirmed,Pending,228468
ORD00181,PROJ00774,CUS004008,2024-08-10,Cancelled,Partial,112904
ORD00182,PROJ03849,CUS002783,2024-11-07,Shipped,Pending,274521
ORD00183,PROJ03309,CUS000768,2025-03-25,Shipped,paid,420050
ORD00184,PROJ02767,CUS002037,2025-02-28,confirmed,Paid,223477
ORD00185,PROJ04902,CUS000036,2024-12-14,Cancelled,Partial,31165
ORD00186,PROJ04079,CUS002866,2025-04-02,Shipped,Pending,154553
ORD00187,PROJ00916,CUS004069,2025-08-07,Confirmed,paid,54888
ORD00188,PROJ02452,CUS000494,2025-01-27,confirmed,Partial,451562
ORD00189,PROJ02366,CUS000852,2025-02-08,Cancelled,Paid,409805
ORD00190,PROJ00138,CUS000463,2024-03-21,Confirmed,Paid,66048
ORD00191,PROJ03375,CUS000540,2025-06-30,Confirmed,Partial,51653
ORD00192,PROJ02318,CUS003886,2025-04-08,Delivered,Partial,342591
ORD00193,PROJ03388,CUS003425,2024-07-16,Shipped,Pending,363142
ORD00194,PROJ01552,CUS004786,2024-06-26,Shipped,paid,351895
ORD00195,PROJ01475,CUS000546,2025-10-22,Shipped,Pending,278257
ORD00196,PROJ01145,CUS001143,2025-07-04,confirmed,Partial,274893
ORD00197,PROJ01052,CUS003684,2025-02-04,Delivered,Paid,76573
ORD00198,PROJ00460,CUS004783,2025-04-15,Confirmed,paid,85321
ORD00199,PROJ00928,CUS004151,2024-07-06,Delivered,Paid,159928
ORD00200,PROJ00123,CUS004123,2024-10-04,Cancelled,Partial,98313
ORD00201,PROJ01857,CUS000330,2024-02-28,Delivered,Paid,407188
ORD00202,PROJ04760,CUS004648,2024-12-23,Cancelled,Paid,224597
ORD00203,PROJ02806,CUS000572,2025-03-18,Confirmed,Pending,151487
ORD00204,PROJ04569,CUS004974,2024-08-25,Shipped,paid,224780
ORD00205,PROJ01104,CUS003684,2024-12-24,Delivered,Pending,385893
ORD00206,PROJ03357,CUS003865,2025-01-26,Confirmed,Partial,94273
ORD00207,PROJ01574,CUS001784,2024-11-16,Delivered,Paid,389949
ORD00208,PROJ02482,CUS003621,2025-03-28,Confirmed,Paid,303507
ORD00209,PROJ04918,CUS000434,2024-11-06,Shipped,paid,280814
ORD00210,PROJ04405,CUS000861,2024-10-24,confirmed,Pending,15305
ORD00211,PROJ00355,CUS001817,2024-03-02,Delivered,Paid,299611
ORD00212,PROJ02449,CUS004809,2024-09-20,Delivered,Partial,415118
ORD00213,PROJ02989,CUS001797,2024-06-16,Cancelled,Partial,403467
ORD00214,PROJ01757,CUS001761,2025-03-10,Cancelled,paid,125695
ORD00215,PROJ03179,CUS002239,2025-04-03,Cancelled,Paid,332196
ORD00216,PROJ04910,CUS001587,2025-02-01,Shipped,Pending,401682
ORD00217,PROJ03465,CUS002895,2024-12-31,Shipped,Pending,368599
ORD00218,PROJ01771,CUS004382,2025-09-30,Confirmed,Paid,416607
ORD00219,PROJ00569,CUS001206,2024-02-28,Cancelled,Partial,273168
ORD00220,PROJ04100,CUS000140,2024-11-20,Delivered,Partial,477444
ORD00221,PROJ03008,CUS000244,2024-03-18,Delivered,Paid,426504
ORD00222,PROJ00210,CUS000594,2024-03-13,Cancelled,paid,206860
ORD00223,PROJ00671,CUS000982,2024-12-31,confirmed,Paid,322707
ORD00224,PROJ00461,CUS001790,2025-01-19,Shipped,Partial,138025
ORD00225,PROJ00069,CUS001331,2025-01-04,confirmed,Partial,224584
ORD00226,PROJ04292,CUS000343,2024-03-27,confirmed,Paid,440744
ORD00227,PROJ02749,CUS003673,2025-07-21,Confirmed,paid,389440
ORD00228,PROJ00029,CUS003870,2024-05-09,Cancelled,paid,350455
ORD00229,PROJ00602,CUS002517,2024-08-20,Delivered,Partial,436522
ORD00230,PROJ02609,CUS002096,2024-07-05,Confirmed,Partial,122210
ORD00231,PROJ01574,CUS004240,2024-12-01,Cancelled,Pending,275440
ORD00232,PROJ00127,CUS001390,2025-02-18,Delivered,paid,320447
ORD00233,PROJ01778,CUS002435,2024-10-03,Cancelled,Partial,407829
ORD00234,PROJ00147,CUS001469,2024-06-25,confirmed,Partial,269363
ORD00235,PROJ02489,CUS002326,2025-01-07,Shipped,Pending,218001
ORD00236,PROJ00751,CUS000833,2024-11-18,confirmed,Pending,201835
ORD00237,PROJ00901,CUS002299,2025-02-03,Cancelled,Partial,358949
ORD00238,PROJ00212,CUS004028,2024-12-25,Shipped,Partial,37842
ORD00239,PROJ02244,CUS004860,2024-07-05,Shipped,paid,236280
ORD00240,PROJ04185,CUS003978,2025-01-16,Confirmed,Paid,471415
ORD00241,PROJ00806,CUS002976,2025-06-05,confirmed,paid,479541
ORD00242,PROJ00104,CUS003022,2024-11-03,Delivered,Partial,42175
ORD00243,PROJ01514,CUS004302,2024-11-18,Shipped,Partial,318759
ORD00244,PROJ02061,CUS003681,2024-01-11,Confirmed,paid,58454
ORD00245,PROJ01816,CUS002558,2024-11-01,Confirmed,paid,45920
ORD00246,PROJ00006,CUS004589,2024-11-23,Confirmed,paid,455797
ORD00247,PROJ03683,CUS003580,2025-01-29,Shipped,paid,426225
ORD00248,PROJ03902,CUS002483,2025-02-02,confirmed,Paid,30263
ORD00249,PROJ04593,CUS001520,2025-01-07,Confirmed,Pending,57335
ORD00250,PROJ03249,CUS004806,2025-08-06,Cancelled,Pending,16304
ORD00251,PROJ02340,CUS003094,2024-12-02,Shipped,Pending,429744
ORD00252,PROJ00270,CUS001145,2024-11-07,confirmed,Partial,46302
ORD00253,PROJ02418,CUS000595,2025-06-26,confirmed,Pending,265486
ORD00254,PROJ03080,CUS003012,2024-11-09,Confirmed,Pending,438684
ORD00255,PROJ02710,CUS002581,2025-06-29,confirmed,Pending,367305
ORD00256,PROJ03062,CUS000365,2025-01-25,Delivered,paid,82290
ORD00257,PROJ04426,CUS000120,2025-03-15,Cancelled,paid,325933
ORD00258,PROJ00446,CUS004264,2025-08-14,Shipped,Partial,12767
ORD00259,PROJ01917,CUS004814,2025-01-31,Shipped,paid,417437
ORD00260,PROJ02485,CUS000029,2025-02-19,confirmed,Pending,227952
ORD00261,PROJ04778,CUS004655,2025-11-04,Confirmed,paid,392197
ORD00262,PROJ02744,CUS002695,2024-11-23,Confirmed,Partial,30251
ORD00263,PROJ04075,CUS000701,2024-08-25,Cancelled,Paid,96358
ORD00264,PROJ03032,CUS001470,2024-08-18,Cancelled,Paid,58145
ORD00265,PROJ01353,CUS001266,2024-10-03,Cancelled,paid,376499
ORD00266,PROJ02746,CUS003034,2024-11-04,Shipped,Paid,439328
ORD00267,PROJ00420,CUS004384,2025-03-17,Delivered,Paid,55992
ORD00268,PROJ02749,CUS001934,2025-05-05,confirmed,Paid,209373
ORD00269,PROJ03916,CUS004825,2025-03-03,Delivered,paid,317985
ORD00270,PROJ03888,CUS001874,2024-11-05,confirmed,Pending,199639
ORD00271,PROJ04868,CUS003714,2025-03-03,Confirmed,Pending,138267
ORD00272,PROJ04698,CUS004413,2025-09-07,Shipped,Pending,251567
ORD00273,PROJ02476,CUS002788,2025-01-31,Delivered,paid,97707
ORD00274,PROJ01162,CUS002755,2025-08-12,Shipped,paid,426924
ORD00275,PROJ02206,CUS001672,2025-02-27,confirmed,Paid,353358
ORD00276,PROJ03261,CUS001581,2024-12-17,Delivered,Partial,26041
ORD00277,PROJ01372,CUS003651,2024-12-31,Cancelled,Paid,292922
ORD00278,PROJ02081,CUS001790,2025-01-23,Delivered,paid,102460
ORD00279,PROJ02645,CUS003004,2024-06-25,confirmed,Partial,490999
ORD00280,PROJ02761,CUS001860,2024-10-22,Shipped,paid,217972
ORD00281,PROJ02210,CUS000236,2025-08-09,Cancelled,Paid,244929
ORD00282,PROJ02743,CUS003559,2024-06-06,Shipped,Paid,134375
ORD00283,PROJ03164,CUS001188,2025-02-09,Delivered,paid,188963
ORD00284,PROJ01794,CUS004311,2025-06-18,Delivered,Paid,44825
ORD00285,PROJ02829,CUS004964,2024-10-23,Cancelled,paid,272275
ORD00286,PROJ04195,CUS002458,2025-07-05,Cancelled,Paid,327228
ORD00287,PROJ04749,CUS000215,2025-02-02,confirmed,paid,325910
ORD00288,PROJ01480,CUS004793,2025-01-13,Confirmed,Partial,365300
ORD00289,PROJ01219,CUS000656,2024-12-28,Confirmed,Partial,187135
ORD00290,PROJ01678,CUS001988,2024-10-05,Cancelled,Pending,83183
ORD00291,PROJ03854,CUS004989,2025-02-18,confirmed,Pending,160342
ORD00292,PROJ03829,CUS000199,2024-09-15,Cancelled,Paid,336845
ORD00293,PROJ04272,CUS003937,2024-10-29,Delivered,paid,320022
ORD00294,PROJ00692,CUS004794,2024-11-17,Delivered,Paid,20927
ORD00295,PROJ02321,CUS004029,2024-11-05,Cancelled,Pending,394101
ORD00296,PROJ04331,CUS000576,2024-11-11,Delivered,Pending,233785
ORD00297,PROJ01139,CUS001215,2025-03-12,Delivered,paid,495322
ORD00298,PROJ02322,CUS000292,2025-06-18,Cancelled,Paid,257683
ORD00299,PROJ04382,CUS000907,2025-01-30,Delivered,Paid,374131
ORD00300,PROJ04323,CUS002228,2024-05-13,confirmed,Pending,278935
ORD00301,PROJ01618,CUS002711,2024-08-25,Shipped,Partial,499298
ORD00302,PROJ00189,CUS001727,2024-11-05,Confirmed,Pending,295299
ORD00303,PROJ01643,CUS003495,2024-11-02,Cancelled,Pending,228352
ORD00304,PROJ03113,CUS001250,2024-01-22,Cancelled,Pending,233504
ORD00305,PROJ00737,CUS001077,2024-06-02,Confirmed,paid,116897
ORD00306,PROJ02202,CUS003897,2024-11-04,Cancelled,paid,400556
ORD00307,PROJ02386,CUS003299,2024-09-07,Shipped,Pending,432392
ORD00308,PROJ00100,CUS001351,2024-12-20,Delivered,Partial,471113
ORD00309,PROJ01293,CUS000128,2024-08-02,Cancelled,Partial,475220
ORD00310,PROJ00534,CUS002650,2025-08-29,confirmed,Partial,198838
ORD00311,PROJ00335,CUS002998,2024-12-26,confirmed,Pending,368906
ORD00312,PROJ01598,CUS000621,2024-05-26,Shipped,Pending,252534
ORD00313,PROJ03472,CUS003038,2024-08-05,Cancelled,paid,366240
ORD00314,PROJ02660,CUS001011,2025-04-16,Delivered,Paid,493318
ORD00315,PROJ02661,CUS003650,2024-11-07,Delivered,Partial,424594
ORD00316,PROJ02358,CUS004967,2025-02-27,Confirmed,Pending,280730
ORD00317,PROJ02284,CUS003329,2025-01-12,Delivered,Partial,136342
ORD00318,PROJ03330,CUS002063,2025-01-26,Delivered,Paid,19182
ORD00319,PROJ02083,CUS004137,2024-10-27,confirmed,paid,362291
ORD00320,PROJ02897,CUS003749,2025-02-04,Delivered,Partial,419654
ORD00321,PROJ01964,CUS004886,2025-02-11,Delivered,Partial,185486
ORD00322,PROJ04730,CUS004712,2025-06-05,Delivered,paid,349421
ORD00323,PROJ03404,CUS000028,2024-11-24,Confirmed,Partial,252191
ORD00324,PROJ04809,CUS003252,2024-05-02,confirmed,Partial,200585
ORD00325,PROJ03863,CUS004428,2024-09-18,confirmed,Paid,146173
ORD00326,PROJ02575,CUS001655,2025-03-06,Delivered,Pending,35259
ORD00327,PROJ01162,CUS002573,2024-06-16,Delivered,Partial,458935
ORD00328,PROJ01647,CUS001616,2024-11-27,confirmed,Partial,433006
ORD00329,PROJ00052,CUS001029,2024-11-10,Delivered,Pending,246224
ORD00330,PROJ02759,CUS001316,2025-02-27,Cancelled,Pending,157728
ORD00331,PROJ03366,CUS003706,2025-01-20,confirmed,Partial,484120
ORD00332,PROJ01066,CUS000175,2025-03-04,confirmed,Partial,387772
ORD00333,PROJ03738,CUS001853,2025-02-28,Confirmed,Partial,257557
ORD00334,PROJ00756,CUS003940,2024-01-21,Cancelled,Paid,382180
ORD00335,PROJ03347,CUS003634,2024-08-13,Confirmed,Pending,496282
ORD00336,PROJ00820,CUS003707,2025-03-31,Delivered,Paid,413147
ORD00337,PROJ03231,CUS002964,2025-07-17,confirmed,Pending,376171
ORD00338,PROJ01693,CUS002045,2024-10-02,Cancelled,Partial,255511
ORD00339,PROJ03655,CUS002232,2025-01-06,confirmed,Partial,164333
ORD00340,PROJ04641,CUS003865,2024-03-19,Confirmed,Paid,291983
ORD00341,PROJ00045,CUS002917,2024-10-31,confirmed,Paid,359833
ORD00342,PROJ04910,CUS003773,2025-03-19,Delivered,Pending,278231
ORD00343,PROJ03440,CUS002709,2024-10-10,Shipped,paid,253493
ORD00344,PROJ04394,CUS003642,2025-02-05,Confirmed,Pending,165781
ORD00345,PROJ02192,CUS002610,2025-06-18,Delivered,Partial,455386
ORD00346,PROJ00201,CUS003380,2025-01-01,Shipped,Pending,297020
ORD00347,PROJ02350,CUS003006,2024-11-23,Cancelled,Partial,403543
ORD00348,PROJ03232,CUS003878,2025-03-11,Cancelled,Paid,319218
ORD00349,PROJ02576,CUS001872,2025-03-31,Delivered,paid,23969
ORD00350,PROJ02832,CUS002591,2024-11-20,Confirmed,paid,336414
ORD00351,PROJ04658,CUS000086,2024-05-19,Cancelled,Partial,389360
ORD00352,PROJ03389,CUS000868,2024-03-05,Confirmed,Paid,39590
ORD00353,PROJ04686,CUS003912,2025-01-02,Delivered,Partial,129459
ORD00354,PROJ02895,CUS000229,2025-01-21,Cancelled,Paid,417892
ORD00355,PROJ03653,CUS003887,2024-12-13,Cancelled,Partial,309207
ORD00356,PROJ02930,CUS002267,2024-12-02,Cancelled,Partial,193050
ORD00357,PROJ02394,CUS003937,2025-03-30,Cancelled,paid,167769
ORD00358,PROJ00310,CUS003342,2024-02-27,Shipped,Paid,132469
ORD00359,PROJ03076,CUS003189,2025-01-18,Cancelled,paid,58359
ORD00360,PROJ02000,CUS000547,2025-04-22,Shipped,Pending,413193
ORD00361,PROJ03784,CUS001510,2024-06-29,Cancelled,paid,483566
ORD00362,PROJ04304,CUS003900,2024-11-04,Delivered,Partial,48450
ORD00363,PROJ04321,CUS000336,2024-09-10,confirmed,paid,6250
ORD00364,PROJ01420,CUS004954,2024-01-21,Delivered,Partial,313870
ORD00365,PROJ04843,CUS001203,2025-03-22,confirmed,paid,445127
