payment_id,order_id,payment_date,payment_method,amount_paid,payment_status
PAY00054,ORD04305,15-08-2025,UPI,471622,Partial
PAY00055,ORD06977,21-05-2025,Credit Card,350914,Paid
PAY00056,ORD08767,01-12-2025,Bank Transfer,6054,Partial
PAY00057,ORD03943,04-07-2025,UPI,115972,Paid
PAY00058,ORD03268,11-06-2025,Bank Transfer,371968,Pending
PAY00059,ORD01132,06-06-2025,Credit Card,12044,paid
PAY00060,ORD02462,14-07-2025,Credit Card,37529,Paid
PAY00061,ORD01637,17-09-2025,Bank Transfer,466086,Partial
PAY00062,ORD04512,28-07-2025,Bank Transfer,481819,paid
PAY00063,ORD03796,26-08-2025,Cash,411256,paid
PAY00064,ORD06297,15-01-2025,Cash,213096,Paid
PAY00065,ORD02109,02-06-2025,Credit Card,109929,Pending
PAY00066,ORD02346,18-03-2025,Credit Card,50296,Paid
PAY00067,ORD02842,11-04-2025,Credit Card,64913,Partial
PAY00068,ORD03767,26-12-2025,Cash,186644,Paid
PAY00069,ORD06582,20-05-2025,Credit Card,335582,Paid
PAY00070,ORD03212,20-11-2025,Cash,350806,paid
PAY00071,ORD03980,05-04-2025,Cash,362615,paid
PAY00072,ORD00748,06-05-2025,UPI,219147,Partial
PAY00073,ORD04196,01-10-2025,UPI,153127,Paid
PAY00074,ORD06702,02-10-2025,Debit Card,442849,paid
PAY00075,ORD08791,25-11-2025,Cash,333588,Pending
PAY00076,ORD09061,15-11-2025,Bank Transfer,217532,Pending
PAY00077,ORD00763,06-01-2025,Debit Card,59432,paid
PAY00078,ORD00006,24-04-2025,Debit Card,339487,Paid
PAY00079,ORD09513,03-01-2025,Debit Card,249113,Paid
PAY00080,ORD03893,25-04-2025,UPI,426910,Paid
PAY00081,ORD05967,21-08-2025,Bank Transfer,7376,Pending
PAY00082,ORD04131,15-11-2025,Credit Card,130379,paid
PAY00083,ORD08632,25-04-2025,Credit Card,52094,Pending
PAY00084,ORD04733,11-07-2025,Debit Card,365644,paid
PAY00085,ORD01612,24-11-2025,Debit Card,450632,paid
PAY00086,ORD04890,12-12-2025,UPI,15537,Partial
PAY00087,ORD06955,18-05-2025,UPI,319100,Partial
PAY00088,ORD00165,09-11-2025,Debit Card,218472,paid
PAY00089,ORD07657,23-02-2025,UPI,258623,Pending
PAY00090,ORD01528,24-04-2025,Credit Card,104954,paid
PAY00091,ORD03599,19-06-2025,Debit Card,356090,Pending
PAY00092,ORD02294,21-01-2025,Cash,117030,Pending
PAY00093,ORD05620,03-08-2025,Bank Transfer,125297,Pending
PAY00094,ORD08368,23-12-2025,Cash,287645,Paid
PAY00095,ORD04896,06-11-2025,Cash,425390,Pending
PAY00096,ORD02993,24-08-2025,Debit Card,483125,Paid
PAY00097,ORD05776,07-02-2025,Debit Card,354447,Pending
PAY00098,ORD05370,25-02-2025,Cash,335541,paid
PAY00099,ORD07703,05-10-2025,Credit Card,30964,Pending
PAY00100,ORD05334,12-11-2025,Credit Card,310046,Paid
PAY00101,ORD00828,07-07-2025,Debit Card,8425,Paid
PAY00102,ORD07888,12-04-2025,Cash,404853,Partial
PAY00103,ORD02194,12-06-2025,UPI,165639,Pending
PAY00104,ORD09895,13-08-2025,UPI,87219,Pending
PAY00105,ORD03989,03-02-2025,Cash,214880,Pending
PAY00106,ORD04263,01-02-2025,Credit Card,451859,Partial
PAY00107,ORD08842,23-03-2025,Credit Card,333383,Paid
PAY00108,ORD04126,22-11-2025,Bank Transfer,401786,Partial
PAY00109,ORD01128,23-01-2025,Credit Card,98328,paid
PAY00110,ORD01020,12-06-2025,Debit Card,341733,Paid
PAY00111,ORD07619,06-02-2025,Credit Card,142124,Paid
PAY00112,ORD03948,01-03-2025,Bank Transfer,47515,paid
PAY00113,ORD02772,06-10-2025,Bank Transfer,276383,paid
PAY00114,ORD01615,09-10-2025,Bank Transfer,48705,Partial
PAY00115,ORD09102,11-01-2025,Debit Card,454092,Pending
PAY00116,ORD06049,11-01-2025,Cash,337829,Partial
PAY00117,ORD01903,19-09-2025,Cash,408456,Pending
PAY00118,ORD05027,15-10-2025,Debit Card,287409,paid
PAY00119,ORD06563,12-04-2025,UPI,479187,Paid
PAY00120,ORD08100,18-04-2025,Cash,17163,Partial
PAY00121,ORD06371,19-11-2025,Bank Transfer,50395,paid
PAY00122,ORD09862,14-04-2025,Debit Card,78811,Partial
PAY00123,ORD09931,13-07-2025,Debit Card,17362,Partial
PAY00124,ORD07527,11-05-2025,UPI,64018,Partial
PAY00125,ORD00576,11-11-2025,Cash,396739,Paid
PAY00126,ORD01020,27-07-2025,Cash,356914,Partial
PAY00127,ORD00036,28-04-2025,Bank Transfer,480324,Partial
PAY00128,ORD08094,28-09-2025,Debit Card,292024,Paid
PAY00129,ORD00806,19-10-2025,Cash,196474,Pending
PAY00130,ORD08750,11-09-2025,UPI,327417,Partial
PAY00131,ORD02658,13-06-2025,Credit Card,466001,Paid
PAY00132,ORD04148,13-09-2025,Bank Transfer,320054,Paid
PAY00133,ORD03955,17-05-2025,Credit Card,95844,paid
PAY00134,ORD05606,26-01-2025,UPI,492662,Partial
PAY00135,ORD03270,01-09-2025,Bank Transfer,185147,Partial
PAY00136,ORD03714,01-01-2025,Debit Card,31224,Pending
PAY00137,ORD04934,11-05-2025,Debit Card,5749,Pending
PAY00138,ORD02473,27-09-2025,Debit Card,298150,Pending
PAY00139,ORD04745,22-02-2025,Credit Card,342720,Paid
PAY00140,ORD09835,03-08-2025,Debit Card,391355,Paid
PAY00141,ORD09301,22-07-2025,Cash,300362,Paid
PAY00142,ORD04936,20-09-2025,Bank Transfer,113115,Paid
PAY00143,ORD09904,23-12-2025,Bank Transfer,445888,paid
PAY00144,ORD01960,14-10-2025,UPI,194306,Pending
PAY00145,ORD09899,05-02-2025,Credit Card,366919,paid
PAY00146,ORD05418,15-11-2025,Credit Card,417777,paid
PAY00147,ORD08004,12-09-2025,Cash,303665,Paid
PAY00148,ORD09932,21-10-2025,Cash,258872,Paid
PAY00149,ORD02031,03-11-2025,Debit Card,203001,Partial
PAY00150,ORD04628,14-10-2025,Debit Card,33800,paid
PAY00151,ORD04415,11-08-2025,Cash,323964,Partial
PAY00152,ORD07902,01-03-2025,Bank Transfer,289799,Paid
PAY00153,ORD04165,16-07-2025,Credit Card,289365,Partial
PAY00154,ORD01145,03-10-2025,Debit Card,344390,Pending
PAY00155,ORD01021,05-08-2025,Credit Card,320394,paid
PAY00156,ORD07863,08-12-2025,Debit Card,394547,Partial
PAY00157,ORD04843,10-04-2025,Credit Card,349894,Pending
PAY00158,ORD06939,15-01-2025,Debit Card,343411,Paid
PAY00159,ORD06571,25-03-2025,Credit Card,377230,paid
PAY00160,ORD05127,20-01-2025,Debit Card,225512,Paid
PAY00161,ORD09755,22-10-2025,Bank Transfer,47918,paid
PAY00162,ORD00540,28-10-2025,Debit Card,482869,Partial
PAY00163,ORD00895,12-07-2025,Credit Card,300186,Partial
PAY00164,ORD09676,22-06-2025,UPI,298448,Paid
PAY00165,ORD01753,25-11-2025,Cash,245668,paid
PAY00166,ORD08749,20-09-2025,Cash,43139,paid
PAY00167,ORD08178,16-09-2025,Credit Card,347698,Paid
PAY00168,ORD04712,12-09-2025,Cash,224488,Partial
PAY00169,ORD01268,15-08-2025,Debit Card,454581,Partial
PAY00170,ORD08409,13-08-2025,Credit Card,118962,paid
PAY00171,ORD04877,01-09-2025,Credit Card,446118,paid
PAY00172,ORD07871,20-12-2025,Credit Card,283192,Partial
PAY00173,ORD07096,10-01-2025,UPI,306558,Pending
PAY00174,ORD00135,09-05-2025,Debit Card,189541,Paid
PAY00175,ORD09321,05-05-2025,Bank Transfer,7588,Paid
PAY00176,ORD06710,21-09-2025,Debit Card,354957,Paid
PAY00177,ORD08703,15-07-2025,UPI,339328,Paid
PAY00178,ORD03094,13-08-2025,Debit Card,252422,Partial
PAY00179,ORD06478,07-01-2025,Cash,247365,Paid
PAY00180,ORD07446,27-08-2025,Credit Card,107864,Paid
PAY00181,ORD05541,10-06-2025,Bank Transfer,298300,Paid
PAY00182,ORD09247,12-05-2025,Credit Card,83035,Partial
PAY00183,ORD08475,07-06-2025,UPI,100838,Paid
PAY00184,ORD08742,14-12-2025,Credit Card,198968,Pending
PAY00185,ORD00402,02-09-2025,Debit Card,41270,Partial
PAY00186,ORD06949,06-04-2025,Cash,42152,Partial
PAY00187,ORD03940,18-11-2025,Credit Card,453847,Partial
PAY00188,ORD09463,02-10-2025,Bank Transfer,142162,Partial
PAY00189,ORD07560,22-09-2025,Bank Transfer,21985,Paid
PAY00190,ORD09888,07-10-2025,Cash,368421,Pending
PAY00191,ORD03946,08-02-2025,Credit Card,52885,paid
PAY00192,ORD00255,26-03-2025,UPI,160979,Paid
PAY00193,ORD01983,10-10-2025,Debit Card,356782,Pending
PAY00194,ORD08229,25-04-2025,Debit Card,169882,Partial
PAY00195,ORD00441,21-11-2025,Bank Transfer,451564,paid
PAY00196,ORD09410,06-11-2025,Cash,11238,paid
PAY00197,ORD03760,11-03-2025,UPI,143530,paid
PAY00198,ORD03068,09-05-2025,UPI,18885,Partial
PAY00199,ORD04443,15-02-2025,Cash,116769,Paid
PAY00200,ORD08126,07-10-2025,Bank Transfer,370127,Pending
PAY00201,ORD09227,28-06-2025,Credit Card,131909,Pending
PAY00202,ORD01444,22-09-2025,UPI,263450,Pending
PAY00203,ORD08762,01-07-2025,Bank Transfer,344530,paid
PAY00204,ORD05144,01-08-2025,Credit Card,478511,Partial
PAY00205,ORD03857,11-04-2025,Bank Transfer,75420,paid
PAY00206,ORD07185,21-04-2025,UPI,279111,Partial
PAY00207,ORD04541,17-09-2025,Debit Card,499950,Paid
PAY00208,ORD03121,03-11-2025,Bank Transfer,260546,Pending
PAY00209,ORD09491,23-06-2025,Cash,401647,Paid
PAY00210,ORD06532,10-03-2025,Bank Transfer,383189,Pending
PAY00211,ORD04755,27-07-2025,Bank Transfer,266410,Partial
PAY00212,ORD07510,23-03-2025,UPI,475242,paid
PAY00213,ORD00957,12-12-2025,Debit Card,127178,Paid
PAY00214,ORD06748,12-04-2025,UPI,349761,Pending
PAY00215,ORD04900,16-06-2025,UPI,228746,Paid
PAY00216,ORD01974,19-09-2025,Cash,263618,Paid
PAY00217,ORD02092,14-11-2025,Cash,168411,Pending
PAY00218,ORD06901,09-11-2025,UPI,307890,Paid
PAY00219,ORD03111,27-04-2025,Bank Transfer,401244,Pending
PAY00220,ORD06585,15-01-2025,UPI,412990,Pending
PAY00221,ORD06431,11-01-2025,Credit Card,30628,Paid
PAY00222,ORD08850,26-09-2025,UPI,66196,Paid
PAY00223,ORD05706,21-04-2025,Cash,352679,paid
PAY00224,ORD08883,05-04-2025,Bank Transfer,380361,Partial
PAY00225,ORD08069,26-01-2025,Credit Card,241992,Paid
PAY00226,ORD07076,20-10-2025,Credit Card,51006,paid
PAY00227,ORD08138,27-09-2025,UPI,300965,Pending
PAY00228,ORD03824,23-05-2025,Bank Transfer,375845,Pending
PAY00229,ORD09508,17-06-2025,Debit Card,104000,Pending
PAY00230,ORD08078,19-02-2025,Bank Transfer,260878,Partial
PAY00231,ORD00546,25-01-2025,Cash,179184,Partial
PAY00232,ORD09634,21-08-2025,Credit Card,107552,Partial
PAY00233,ORD06000,01-08-2025,UPI,416912,paid
PAY00234,ORD07070,11-05-2025,Credit Card,368086,paid
PAY00235,ORD03724,17-09-2025,Cash,497101,paid
PAY00236,ORD02780,11-05-2025,Cash,131438,Partial
PAY00237,ORD09903,20-08-2025,Cash,95363,Partial
PAY00238,ORD08755,06-04-2025,Debit Card,154462,Pending
PAY00239,ORD07763,23-04-2025,UPI,304957,Pending
PAY00240,ORD06332,24-10-2025,Debit Card,437006,Paid
PAY00241,ORD02638,02-01-2025,Bank Transfer,85035,Paid
PAY00242,ORD09627,28-09-2025,Bank Transfer,11771,Partial
PAY00243,ORD08148,19-08-2025,Debit Card,200952,Pending
PAY00244,ORD06271,22-12-2025,Debit Card,196584,paid
PAY00245,ORD05585,22-07-2025,Credit Card,276463,Partial
PAY00246,ORD09735,04-12-2025,Credit Card,51110,Pending
PAY00247,ORD04686,20-06-2025,Debit Card,202740,paid
PAY00248,ORD07181,16-02-2025,Cash,352792,paid
PAY00249,ORD07352,12-01-2025,Cash,6151,paid
PAY00250,ORD08809,20-05-2025,Credit Card,101347,Paid
PAY00251,ORD06121,28-04-2025,Bank Transfer,346989,Paid
PAY00252,ORD03214,13-07-2025,UPI,267129,Pending
PAY00253,ORD02277,23-04-2025,Debit Card,366986,Paid
PAY00254,ORD03017,24-02-2025,Bank Transfer,50332,Partial
PAY00255,ORD01220,09-02-2025,Debit Card,127118,Pending
PAY00256,ORD04482,19-05-2025,Bank Transfer,199217,Partial
PAY00257,ORD03548,17-03-2025,Bank Transfer,92050,Pending
PAY00258,ORD09302,19-05-2025,UPI,10531,Pending
PAY00259,ORD06275,25-03-2025,UPI,244619,Partial
PAY00260,ORD06996,15-07-2025,Cash,455631,paid
PAY00261,ORD05202,09-05-2025,Debit Card,94125,Partial
PAY00262,ORD03827,20-10-2025,Bank Transfer,311239,paid
PAY00263,ORD07839,16-02-2025,UPI,10263,Pending
PAY00264,ORD01078,24-07-2025,Credit Card,97682,Partial
PAY00265,ORD06958,14-05-2025,Bank Transfer,77834,Pending
PAY00266,ORD04306,27-01-2025,Debit Card,172089,paid
PAY00267,ORD03392,12-12-2025,Credit Card,247802,paid
PAY00268,ORD01567,17-05-2025,Debit Card,400945,Paid
PAY00269,ORD07912,10-05-2025,UPI,114507,Paid
PAY00270,ORD09282,02-09-2025,Cash,112019,Paid
PAY00271,ORD01780,09-10-2025,Bank Transfer,380217,Paid
PAY00272,ORD05758,25-11-2025,Bank Transfer,401513,Paid
PAY00273,ORD04869,02-06-2025,Debit Card,10699,Paid
PAY00274,ORD07973,14-02-2025,UPI,99304,paid
PAY00275,ORD06813,21-09-2025,UPI,394338,paid
PAY00276,ORD01509,21-04-2025,Debit Card,151231,Partial
PAY00277,ORD00902,28-08-2025,Bank Transfer,110976,Pending
PAY00278,ORD06212,10-12-2025,Cash,17257,Paid
PAY00279,ORD07204,09-05-2025,Cash,164601,paid
PAY00280,ORD05524,22-01-2025,UPI,480633,Partial
PAY00281,ORD05861,14-12-2025,Debit Card,64039,Paid
PAY00282,ORD05530,03-01-2025,Bank Transfer,50733,Paid
PAY00283,ORD05043,12-06-2025,Bank Transfer,97268,Paid
PAY00284,ORD08327,11-02-2025,Debit Card,152559,Paid
PAY00285,ORD03560,26-09-2025,Debit Card,309807,Partial
PAY00286,ORD08293,28-01-2025,UPI,206028,Partial
PAY00287,ORD00328,04-09-2025,Bank Transfer,402232,Pending
PAY00288,ORD07420,14-04-2025,Debit Card,152599,Pending
PAY00289,ORD04140,02-05-2025,Debit Card,228361,paid
PAY00290,ORD06974,10-06-2025,Credit Card,295702,Partial
PAY00291,ORD07491,12-05-2025,Bank Transfer,438410,Pending
PAY00292,ORD07144,19-09-2025,UPI,409390,Pending
PAY00293,ORD08207,05-12-2025,Cash,495070,paid
PAY00294,ORD00230,07-02-2025,Bank Transfer,350946,Partial
PAY00295,ORD00785,28-06-2025,Bank Transfer,414151,Pending
PAY00296,ORD05841,07-01-2025,Credit Card,177604,Partial
PAY00297,ORD00201,24-04-2025,UPI,161031,Paid
PAY00298,ORD02284,14-01-2025,Bank Transfer,26800,paid
PAY00299,ORD00539,03-12-2025,Bank Transfer,211983,Pending
PAY00300,ORD06527,06-08-2025,Cash,58980,Paid
PAY00301,ORD07789,16-01-2025,Cash,475885,Partial
PAY00302,ORD01835,11-10-2025,Bank Transfer,394309,Paid
PAY00303,ORD06089,18-12-2025,Cash,124165,Partial
PAY00304,ORD00508,26-08-2025,Debit Card,128645,paid
PAY00305,ORD07518,23-01-2025,Debit Card,433793,Paid
PAY00306,ORD02101,01-10-2025,Cash,16892,Pending
PAY00307,ORD03169,24-01-2025,UPI,307673,Paid
PAY00308,ORD08946,25-03-2025,Cash,81757,Paid
PAY00309,ORD04914,14-11-2025,UPI,88693,Partial
PAY00310,ORD03178,19-11-2025,Debit Card,443603,Partial
PAY00311,ORD03239,19-04-2025,Bank Transfer,299238,paid
PAY00312,ORD06890,08-09-2025,Credit Card,400792,Pending
PAY00313,ORD09407,09-06-2025,Bank Transfer,327485,Paid
PAY00314,ORD02269,06-07-2025,Bank Transfer,304465,Partial
PAY00315,ORD02594,22-02-2025,Cash,140564,Pending
PAY00316,ORD03730,04-10-2025,Credit Card,248096,paid
PAY00317,ORD05716,21-09-2025,UPI,409365,Paid
PAY00318,ORD05609,07-03-2025,Debit Card,104792,Pending
PAY00319,ORD01105,03-04-2025,Cash,355031,Partial
PAY00320,ORD07872,20-09-2025,UPI,328724,Pending
PAY00321,ORD06068,28-01-2025,Debit Card,405792,paid
PAY00322,ORD00443,14-04-2025,Credit Card,410116,paid
PAY00323,ORD08330,07-08-2025,UPI,147504,Paid
PAY00324,ORD02852,27-04-2025,Cash,92936,Paid
PAY00325,ORD08029,11-01-2025,Debit Card,380747,paid
PAY00326,ORD04246,12-04-2025,Cash,123795,paid
PAY00327,ORD05048,19-12-2025,Credit Card,425650,Paid
PAY00328,ORD08096,03-12-2025,Credit Card,270582,Pending
PAY00329,ORD06401,22-05-2025,Credit Card,16450,Pending
PAY00330,ORD08672,25-11-2025,Bank Transfer,177141,Paid
PAY00331,ORD03785,26-03-2025,UPI,359888,Partial
PAY00332,ORD02559,01-03-2025,Bank Transfer,54008,Paid
PAY00333,ORD08063,23-10-2025,Cash,494951,Partial
PAY00334,ORD02941,06-10-2025,Cash,260064,Pending
PAY00335,ORD04775,22-03-2025,Debit Card,368972,paid
PAY00336,ORD06970,03-07-2025,UPI,422823,Pending
PAY00337,ORD02393,28-07-2025,Debit Card,395357,Pending
PAY00338,ORD05509,15-10-2025,Credit Card,430584,Paid
PAY00339,ORD00164,13-04-2025,Bank Transfer,202467,paid
PAY00340,ORD08784,17-07-2025,Cash,125643,Paid
PAY00341,ORD01866,19-01-2025,Bank Transfer,112748,Partial
PAY00342,ORD02299,15-05-2025,Debit Card,453480,Paid
PAY00343,ORD00272,02-06-2025,Bank Transfer,335231,Pending
PAY00344,ORD09109,03-11-2025,Cash,296998,Partial
PAY00345,ORD03368,21-05-2025,Bank Transfer,92567,Paid
PAY00346,ORD04045,25-09-2025,Bank Transfer,85518,Paid
PAY00347,ORD00836,26-05-2025,Bank Transfer,228222,Pending
PAY00348,ORD07882,08-06-2025,Bank Transfer,317560,Pending
PAY00349,ORD01127,02-05-2025,Cash,388987,Paid
PAY00350,ORD01509,13-03-2025,Cash,463455,Paid
PAY00351,ORD05124,23-08-2025,Debit Card,134370,paid
PAY00352,ORD07053,16-11-2025,UPI,285194,Pending
PAY00353,ORD07039,18-02-2025,Bank Transfer,427728,Partial
PAY00354,ORD00426,10-01-2025,Bank Transfer,106153,Partial
PAY00355,ORD04081,17-10-2025,Cash,240699,Partial
PAY00356,ORD05132,24-08-2025,Cash,498768,Paid
PAY00357,ORD09836,05-11-2025,Bank Transfer,22175,Paid
PAY00358,ORD00980,24-12-2025,Credit Card,310767,Partial
PAY00359,ORD03627,17-09-2025,UPI,464505,paid
PAY00360,ORD04303,03-07-2025,Credit Card,297286,Pending
PAY00361,ORD08338,15-10-2025,Credit Card,143101,Partial
PAY00362,ORD05956,26-06-2025,Debit Card,206267,Partial
PAY00363,ORD02817,04-07-2025,Credit Card,454446,Partial
PAY00364,ORD05408,04-12-2025,Cash,197908,Pending
PAY00365,ORD06096,09-12-2025,Credit Card,414460,Partial
PAY00366,ORD08969,25-03-2025,UPI,458133,Paid
PAY00367,ORD04034,25-06-2025,Cash,297930,Paid
PAY00368,ORD08615,10-07-2025,Cash,426876,paid
PAY00369,ORD09968,17-09-2025,Cash,58385,Paid
PAY00370,ORD04619,15-02-2025,UPI,442385,Partial
PAY00371,ORD06017,24-05-2025,Bank Transfer,386607,Partial
PAY00372,ORD02922,06-02-2025,Credit Card,389861,paid
PAY00373,ORD02281,15-05-2025,UPI,139686,Partial
PAY00374,ORD01605,19-07-2025,Debit Card,92676,Partial
PAY00375,ORD05792,13-12-2025,Cash,367425,Partial
PAY00376,ORD07641,19-12-2025,UPI,396636,Partial
PAY00377,ORD06513,12-09-2025,Cash,86837,Partial
PAY00378,ORD00478,02-02-2025,Credit Card,450165,Pending
PAY00379,ORD05000,14-02-2025,Bank Transfer,313761,Pending
PAY00380,ORD05120,24-10-2025,UPI,230501,Pending
PAY00381,ORD07553,26-07-2025,Debit Card,475199,Pending
PAY00382,ORD04664,13-12-2025,Credit Card,28777,Paid
PAY00383,ORD03917,05-11-2025,Cash,455913,Paid
PAY00384,ORD09445,05-04-2025,Cash,103802,Pending
PAY00385,ORD02668,28-09-2025,Debit Card,14948,Paid
PAY00386,ORD00231,26-06-2025,Credit Card,450619,Pending
PAY00387,ORD00166,04-10-2025,Cash,327110,Paid
PAY00388,ORD04921,01-05-2025,Credit Card,234121,Pending
PAY00389,ORD04744,19-02-2025,Credit Card,456949,paid
PAY00390,ORD07613,24-07-2025,Cash,226268,Partial
PAY00391,ORD09763,10-04-2025,Cash,193303,Paid
PAY00392,ORD03629,15-04-2025,Debit Card,70848,Pending
PAY00393,ORD00556,10-02-2025,Debit Card,335734,Partial
PAY00394,ORD04343,19-10-2025,Credit Card,346747,Pending
PAY00395,ORD06503,05-04-2025,Bank Transfer,181941,Partial
PAY00396,ORD05019,28-07-2025,UPI,100438,Paid
PAY00397,ORD06378,13-05-2025,Bank Transfer,36937,Paid
PAY00398,ORD06645,12-01-2025,UPI,454376,Partial
PAY00399,ORD04170,05-12-2025,Cash,202087,Partial
PAY00400,ORD02974,27-11-2025,Credit Card,134461,Paid
PAY00401,ORD03828,15-03-2025,Bank Transfer,70176,paid
PAY00402,ORD07039,12-12-2025,Debit Card,44225,Pending
PAY00403,ORD07929,06-10-2025,Credit Card,489331,paid
PAY00404,ORD07734,13-01-2025,Bank Transfer,486233,Paid
PAY00405,ORD08219,20-01-2025,Debit Card,44712,paid
PAY00406,ORD05627,09-04-2025,Bank Transfer,362869,Pending
PAY00407,ORD01006,23-06-2025,UPI,212466,Pending
PAY00408,ORD08019,23-09-2025,Cash,146836,Partial
PAY00409,ORD08686,01-05-2025,Cash,242633,Paid
PAY00410,ORD07678,05-10-2025,Cash,222795,paid
PAY00411,ORD00167,04-06-2025,Credit Card,255323,paid
PAY00412,ORD05815,01-05-2025,Cash,202864,paid
PAY00413,ORD00608,05-09-2025,Cash,331851,paid
PAY00414,ORD07495,24-08-2025,Bank Transfer,368163,Partial
PAY00415,ORD04159,03-10-2025,UPI,292030,paid
PAY00416,ORD01316,05-09-2025,UPI,162362,Partial
PAY00417,ORD08705,22-12-2025,Debit Card,93573,Pending
PAY00418,ORD04663,05-08-2025,Debit Card,181439,Paid
PAY00419,ORD02585,23-05-2025,Bank Transfer,317134,paid
PAY00420,ORD03874,16-05-2025,Bank Transfer,385968,paid
PAY00421,ORD02440,23-09-2025,Credit Card,38071,Partial
PAY00422,ORD00849,05-07-2025,Credit Card,235525,Partial
PAY00423,ORD07758,23-03-2025,UPI,68627,Partial
PAY00424,ORD06794,25-06-2025,Debit Card,266033,Partial
PAY00425,ORD02799,11-09-2025,Bank Transfer,494246,Pending
PAY00426,ORD04445,11-03-2025,Debit Card,285964,Partial
PAY00427,ORD00517,02-03-2025,Cash,403862,paid
PAY00428,ORD02782,22-12-2025,Credit Card,440802,paid
PAY00429,ORD04517,26-07-2025,Debit Card,303728,Paid
PAY00430,ORD01125,17-03-2025,Debit Card,396201,Partial
PAY00431,ORD03017,15-07-2025,UPI,347071,Partial
PAY00432,ORD03664,22-02-2025,UPI,335620,Pending
PAY00433,ORD09037,17-06-2025,Cash,64697,Partial
PAY00434,ORD00316,02-09-2025,Credit Card,287867,paid
PAY00435,ORD03959,11-07-2025,UPI,62872,Pending
PAY00436,ORD00805,22-03-2025,UPI,332011,Pending
PAY00437,ORD01553,03-12-2025,Cash,181205,Partial
PAY00438,ORD01416,01-10-2025,Bank Transfer,277266,Pending
PAY00439,ORD05538,23-06-2025,UPI,431100,Partial
PAY00440,ORD00880,04-05-2025,Bank Transfer,283454,Pending
PAY00441,ORD01935,28-02-2025,Cash,430082,Partial
PAY00442,ORD00845,04-06-2025,Bank Transfer,469685,Pending
PAY00443,ORD09585,10-02-2025,Cash,105065,Pending
