task_id,project_id,assigned_employee,task_name,start_date,end_date,task_status,completion_percentage
TASK000070,PROJ03467,EMP0153,Material Procurement,05-04-2024,16-01-2025,Pending,42
TASK000071,PROJ01240,EMP0265,Material Procurement,17-03-2024,14-07-2025,completed,37
TASK000072,PROJ01528,EMP0173,Site Visit,03-02-2024,27-08-2025,completed,54
TASK000073,PROJ00182,EMP0049,Quality Check,18-03-2024,24-08-2025,completed,29
TASK000074,PROJ00378,EMP0123,Quality Check,02-01-2024,03-01-2025,Delayed,20
TASK000075,PROJ03215,EMP0019,Handover,28-09-2024,,Completed,81
TASK000076,PROJ03863,EMP0130,Site Visit,11-01-2024,11-09-2025,Delayed,87
TASK000077,PROJ02766,EMP0149,Site Visit,18-09-2024,13-03-2025,Completed,12
TASK000078,PROJ00479,EMP0159,Material Procurement,25-03-2024,08-01-2025,Completed,34
TASK000079,PROJ03154,EMP0018,Installation,02-05-2024,,In Progress,14
TASK000080,PROJ00722,EMP0292,Design Approval,15-01-2024,24-03-2025,completed,86
TASK000081,PROJ01049,EMP0194,Quality Check,27-01-2024,27-02-2025,Completed,49
TASK000082,PROJ01178,EMP0081,Installation,09-09-2024,17-05-2025,completed,74
TASK000083,PROJ01303,EMP0088,Handover,28-04-2024,02-10-2025,Completed,20
TASK000084,PROJ01406,EMP0054,Installation,19-10-2024,08-01-2025,In Progress,86
TASK000085,PROJ00390,EMP0291,Quality Check,04-08-2024,01-05-2025,Pending,86
TASK000086,PROJ03180,EMP0167,Site Visit,12-01-2024,01-04-2025,Pending,52
TASK000087,PROJ00071,EMP0128,Handover,15-10-2024,18-07-2025,Pending,6
TASK000088,PROJ04932,EMP0205,Design Approval,24-10-2024,,Delayed,80
TASK000089,PROJ04999,EMP0267,Site Visit,19-05-2024,06-08-2025,Pending,47
TASK000090,PROJ03248,EMP0008,Installation,05-04-2024,19-02-2025,In Progress,54
TASK000091,PROJ00538,EMP0090,Material Procurement,24-10-2024,,In Progress,77
TASK000092,PROJ01175,EMP0089,Quality Check,07-09-2024,06-01-2025,Completed,16
TASK000093,PROJ01292,EMP0204,Installation,11-06-2024,,Pending,22
TASK000094,PROJ01458,EMP0261,Material Procurement,03-09-2024,17-11-2025,Completed,4
TASK000095,PROJ03067,EMP0226,Quality Check,12-08-2024,10-08-2025,Delayed,91
TASK000096,PROJ01162,EMP0106,Material Procurement,13-12-2024,08-10-2025,In Progress,60
TASK000097,PROJ02845,EMP0011,Site Visit,03-06-2024,15-04-2025,Pending,13
TASK000098,PROJ03262,EMP0144,Site Visit,05-12-2024,24-03-2025,Completed,62
TASK000099,PROJ03245,EMP0125,Material Procurement,06-08-2024,01-12-2025,In Progress,14
TASK000100,PROJ03311,EMP0154,Design Approval,13-10-2024,14-11-2025,completed,52
TASK000101,PROJ04261,EMP0056,Design Approval,17-05-2024,06-07-2025,Pending,47
TASK000102,PROJ01785,EMP0269,Handover,04-02-2024,25-11-2025,In Progress,39
TASK000103,PROJ02119,EMP0164,Handover,16-05-2024,09-11-2025,Completed,92
TASK000104,PROJ00032,EMP0279,Installation,19-02-2024,27-09-2025,Completed,5
TASK000105,PROJ01675,EMP0288,Handover,27-05-2024,02-02-2025,In Progress,31
TASK000106,PROJ01073,EMP0083,Installation,28-02-2024,,Delayed,46
TASK000107,PROJ00525,EMP0125,Installation,04-10-2024,26-08-2025,completed,84
TASK000108,PROJ03665,EMP0294,Handover,15-01-2024,04-01-2025,Pending,67
TASK000109,PROJ01930,EMP0248,Site Visit,19-07-2024,,Completed,39
TASK000110,PROJ00847,EMP0012,Installation,21-05-2024,22-01-2025,Completed,0
TASK000111,PROJ00655,EMP0037,Quality Check,15-10-2024,,In Progress,100
TASK000112,PROJ04672,EMP0174,Site Visit,02-04-2024,04-03-2025,Delayed,26
TASK000113,PROJ01663,EMP0277,Quality Check,11-10-2024,,Completed,54
TASK000114,PROJ03409,EMP0059,Site Visit,17-01-2024,11-03-2025,completed,0
TASK000115,PROJ01555,EMP0061,Material Procurement,02-11-2024,,completed,56
TASK000116,PROJ01772,EMP0047,Material Procurement,21-06-2024,19-02-2025,Delayed,17
TASK000117,PROJ02299,EMP0007,Installation,26-08-2024,21-07-2025,Pending,9
TASK000118,PROJ01290,EMP0040,Site Visit,18-11-2024,06-01-2025,completed,82
TASK000119,PROJ04118,EMP0159,Design Approval,17-12-2024,,Completed,18
TASK000120,PROJ01258,EMP0253,Site Visit,25-09-2024,,Pending,53
TASK000121,PROJ03761,EMP0142,Material Procurement,28-01-2024,,completed,67
TASK000122,PROJ03743,EMP0279,Design Approval,02-12-2024,11-02-2025,Completed,71
TASK000123,PROJ03485,EMP0232,Handover,16-02-2024,26-12-2025,Completed,72
TASK000124,PROJ02747,EMP0059,Handover,09-02-2024,13-02-2025,Delayed,95
TASK000125,PROJ03545,EMP0032,Design Approval,17-01-2024,23-05-2025,Pending,34
TASK000126,PROJ01341,EMP0201,Site Visit,07-09-2024,07-08-2025,Pending,84
TASK000127,PROJ03179,EMP0023,Site Visit,15-11-2024,28-10-2025,Delayed,21
TASK000128,PROJ02671,EMP0185,Installation,25-01-2024,15-09-2025,Delayed,98
TASK000129,PROJ01965,EMP0266,Material Procurement,19-02-2024,22-03-2025,In Progress,12
TASK000130,PROJ01597,EMP0259,Design Approval,02-10-2024,02-02-2025,Completed,51
TASK000131,PROJ04211,EMP0219,Handover,14-01-2024,11-04-2025,Pending,43
TASK000132,PROJ04647,EMP0120,Site Visit,15-01-2024,24-03-2025,Completed,1
TASK000133,PROJ03234,EMP0085,Handover,13-08-2024,12-09-2025,In Progress,5
TASK000134,PROJ00625,EMP0240,Material Procurement,18-11-2024,,completed,98
TASK000135,PROJ01932,EMP0279,Installation,20-04-2024,18-07-2025,completed,70
TASK000136,PROJ02121,EMP0229,Installation,28-10-2024,21-09-2025,Pending,88
TASK000137,PROJ00840,EMP0211,Design Approval,06-06-2024,11-08-2025,Pending,96
TASK000138,PROJ02841,EMP0073,Handover,08-10-2024,06-08-2025,Completed,71
TASK000139,PROJ04849,EMP0022,Handover,21-03-2024,25-06-2025,Completed,80
TASK000140,PROJ00234,EMP0253,Material Procurement,24-04-2024,05-12-2025,Pending,36
TASK000141,PROJ00396,EMP0244,Design Approval,05-04-2024,06-02-2025,Delayed,17
TASK000142,PROJ03377,EMP0028,Material Procurement,15-03-2024,09-12-2025,Completed,54
TASK000143,PROJ00705,EMP0261,Installation,14-01-2024,03-05-2025,In Progress,63
TASK000144,PROJ04333,EMP0235,Site Visit,01-04-2024,16-08-2025,completed,67
TASK000145,PROJ03061,EMP0109,Design Approval,03-05-2024,,completed,1
TASK000146,PROJ03820,EMP0009,Handover,07-01-2024,28-05-2025,Completed,11
TASK000147,PROJ04473,EMP0129,Material Procurement,08-12-2024,23-02-2025,Delayed,2
TASK000148,PROJ02703,EMP0070,Site Visit,10-11-2024,27-02-2025,completed,84
TASK000149,PROJ00199,EMP0076,Site Visit,07-04-2024,18-12-2025,Delayed,88
TASK000150,PROJ03885,EMP0141,Material Procurement,05-10-2024,17-12-2025,Completed,42
TASK000151,PROJ01949,EMP0251,Installation,13-05-2024,16-07-2025,Completed,21
TASK000152,PROJ00182,EMP0229,Handover,23-11-2024,01-11-2025,Completed,76
TASK000153,PROJ01568,EMP0175,Handover,07-06-2024,11-01-2025,completed,46
TASK000154,PROJ04322,EMP0175,Site Visit,23-06-2024,25-01-2025,In Progress,80
TASK000155,PROJ01614,EMP0108,Installation,21-07-2024,14-08-2025,Delayed,70
TASK000156,PROJ02894,EMP0012,Handover,01-06-2024,26-01-2025,Completed,5
TASK000157,PROJ03202,EMP0142,Material Procurement,02-01-2024,,In Progress,19
TASK000158,PROJ03365,EMP0262,Site Visit,18-03-2024,05-12-2025,Pending,22
TASK000159,PROJ01297,EMP0230,Material Procurement,03-05-2024,,Pending,9
TASK000160,PROJ04789,EMP0199,Installation,14-11-2024,,In Progress,21
TASK000161,PROJ01349,EMP0024,Quality Check,25-11-2024,17-01-2025,Delayed,9
TASK000162,PROJ01486,EMP0283,Site Visit,22-01-2024,03-05-2025,Delayed,61
TASK000163,PROJ04744,EMP0112,Quality Check,03-03-2024,28-11-2025,Completed,96
TASK000164,PROJ01597,EMP0083,Installation,25-06-2024,,Pending,96
TASK000165,PROJ01243,EMP0085,Design Approval,23-12-2024,24-07-2025,completed,36
TASK000166,PROJ03409,EMP0176,Installation,14-08-2024,12-09-2025,Delayed,80
TASK000167,PROJ00760,EMP0101,Design Approval,09-12-2024,21-04-2025,Pending,42
TASK000168,PROJ01452,EMP0128,Design Approval,09-08-2024,,In Progress,89
TASK000169,PROJ00097,EMP0282,Design Approval,08-02-2024,03-12-2025,Completed,81
TASK000170,PROJ01190,EMP0190,Design Approval,06-09-2024,22-08-2025,In Progress,62
TASK000171,PROJ03809,EMP0125,Design Approval,18-09-2024,24-12-2025,Pending,33
TASK000172,PROJ00384,EMP0082,Material Procurement,22-04-2024,27-05-2025,Delayed,99
TASK000173,PROJ01698,EMP0123,Design Approval,18-12-2024,09-01-2025,Delayed,60
TASK000174,PROJ02281,EMP0162,Quality Check,23-11-2024,04-08-2025,In Progress,84
TASK000175,PROJ01270,EMP0148,Site Visit,05-01-2024,14-02-2025,Completed,77
TASK000176,PROJ04720,EMP0060,Design Approval,28-04-2024,,completed,1
TASK000177,PROJ01148,EMP0072,Installation,09-02-2024,17-12-2025,Delayed,92
TASK000178,PROJ04575,EMP0250,Material Procurement,06-02-2024,27-07-2025,Pending,94
TASK000179,PROJ02939,EMP0024,Installation,14-06-2024,25-09-2025,completed,68
TASK000180,PROJ02112,EMP0292,Quality Check,20-10-2024,06-06-2025,In Progress,14
TASK000181,PROJ04510,EMP0132,Design Approval,20-12-2024,16-12-2025,Pending,23
TASK000182,PROJ02427,EMP0188,Quality Check,21-03-2024,24-08-2025,In Progress,32
TASK000183,PROJ01047,EMP0208,Installation,16-03-2024,,Completed,0
TASK000184,PROJ02005,EMP0100,Quality Check,27-11-2024,,Completed,10
TASK000185,PROJ03527,EMP0030,Design Approval,12-10-2024,14-01-2025,Delayed,20
TASK000186,PROJ04056,EMP0022,Design Approval,24-04-2024,12-07-2025,Delayed,49
TASK000187,PROJ01102,EMP0061,Installation,11-07-2024,07-03-2025,Pending,76
TASK000188,PROJ02117,EMP0239,Handover,14-08-2024,,Completed,12
TASK000189,PROJ01778,EMP0061,Material Procurement,05-07-2024,01-03-2025,Completed,13
TASK000190,PROJ01504,EMP0294,Installation,25-01-2024,24-07-2025,Completed,60
TASK000191,PROJ04668,EMP0227,Installation,07-07-2024,,Pending,35
TASK000192,PROJ03569,EMP0152,Handover,03-03-2024,08-11-2025,Pending,25
TASK000193,PROJ01093,EMP0147,Site Visit,21-09-2024,08-09-2025,In Progress,94
TASK000194,PROJ04965,EMP0183,Site Visit,04-08-2024,12-05-2025,In Progress,0
TASK000195,PROJ04165,EMP0068,Installation,20-07-2024,14-11-2025,In Progress,62
TASK000196,PROJ03264,EMP0026,Site Visit,11-08-2024,15-04-2025,Pending,14
TASK000197,PROJ02829,EMP0134,Material Procurement,05-10-2024,12-12-2025,Delayed,86
TASK000198,PROJ03172,EMP0024,Site Visit,13-04-2024,18-08-2025,Delayed,7
TASK000199,PROJ00309,EMP0085,Design Approval,13-02-2024,02-01-2025,completed,34
TASK000200,PROJ01037,EMP0015,Site Visit,17-10-2024,16-06-2025,completed,73
TASK000201,PROJ02399,EMP0004,Quality Check,10-11-2024,,In Progress,92
TASK000202,PROJ03493,EMP0140,Handover,22-08-2024,13-08-2025,Pending,25
TASK000203,PROJ04729,EMP0122,Material Procurement,13-05-2024,,completed,35
TASK000204,PROJ02598,EMP0107,Installation,09-11-2024,18-12-2025,Delayed,16
TASK000205,PROJ04992,EMP0296,Design Approval,16-10-2024,,Pending,36
TASK000206,PROJ03508,EMP0248,Installation,25-01-2024,20-04-2025,Completed,35
TASK000207,PROJ03551,EMP0224,Handover,19-11-2024,14-03-2025,Delayed,2
TASK000208,PROJ04294,EMP0185,Material Procurement,13-12-2024,13-02-2025,Completed,64
TASK000209,PROJ01423,EMP0226,Design Approval,06-03-2024,17-09-2025,In Progress,10
TASK000210,PROJ04228,EMP0161,Handover,06-10-2024,14-05-2025,completed,12
TASK000211,PROJ03461,EMP0134,Quality Check,03-12-2024,16-09-2025,Delayed,44
TASK000212,PROJ03033,EMP0274,Installation,12-10-2024,11-01-2025,Completed,74
TASK000213,PROJ03991,EMP0200,Handover,15-06-2024,17-09-2025,Delayed,42
TASK000214,PROJ00577,EMP0189,Installation,24-10-2024,19-11-2025,Completed,98
TASK000215,PROJ01266,EMP0021,Site Visit,23-04-2024,19-07-2025,In Progress,69
TASK000216,PROJ02115,EMP0096,Site Visit,20-04-2024,17-09-2025,Delayed,65
TASK000217,PROJ02969,EMP0287,Site Visit,28-10-2024,02-03-2025,Pending,20
TASK000218,PROJ02254,EMP0292,Material Procurement,01-07-2024,13-06-2025,Completed,46
TASK000219,PROJ01630,EMP0243,Design Approval,28-10-2024,06-05-2025,In Progress,32
TASK000220,PROJ04881,EMP0202,Material Procurement,25-03-2024,,In Progress,14
TASK000221,PROJ03089,EMP0006,Quality Check,10-01-2024,,Pending,40
TASK000222,PROJ04079,EMP0097,Quality Check,21-12-2024,02-10-2025,Delayed,57
TASK000223,PROJ01718,EMP0066,Quality Check,09-05-2024,05-01-2025,In Progress,8
TASK000224,PROJ03262,EMP0020,Installation,17-01-2024,01-10-2025,Completed,39
TASK000225,PROJ02500,EMP0184,Site Visit,23-01-2024,01-08-2025,Delayed,43
TASK000226,PROJ03592,EMP0238,Installation,25-04-2024,02-03-2025,In Progress,75
TASK000227,PROJ03982,EMP0022,Material Procurement,09-05-2024,02-03-2025,completed,71
TASK000228,PROJ03613,EMP0037,Design Approval,14-04-2024,,Completed,37
TASK000229,PROJ01490,EMP0224,Material Procurement,22-07-2024,04-03-2025,completed,3
TASK000230,PROJ00536,EMP0109,Material Procurement,12-09-2024,12-12-2025,Pending,48
TASK000231,PROJ02639,EMP0088,Quality Check,11-12-2024,,Delayed,91
TASK000232,PROJ02449,EMP0260,Design Approval,04-10-2024,23-09-2025,In Progress,68
TASK000233,PROJ01250,EMP0206,Material Procurement,08-07-2024,02-05-2025,Pending,2
TASK000234,PROJ03019,EMP0011,Design Approval,08-07-2024,,In Progress,46
TASK000235,PROJ04737,EMP0274,Site Visit,20-04-2024,19-12-2025,Delayed,60
TASK000236,PROJ02826,EMP0158,Handover,11-03-2024,21-05-2025,Pending,72
TASK000237,PROJ04430,EMP0224,Site Visit,21-10-2024,18-12-2025,completed,71
TASK000238,PROJ00209,EMP0221,Design Approval,02-02-2024,24-05-2025,In Progress,10
TASK000239,PROJ02847,EMP0184,Material Procurement,06-02-2024,24-04-2025,completed,45
TASK000240,PROJ01158,EMP0245,Handover,26-03-2024,,Delayed,41
TASK000241,PROJ01647,EMP0285,Quality Check,03-06-2024,20-01-2025,Pending,25
TASK000242,PROJ01654,EMP0066,Design Approval,18-01-2024,,In Progress,36
TASK000243,PROJ01706,EMP0214,Site Visit,04-10-2024,13-08-2025,Completed,68
TASK000244,PROJ02063,EMP0156,Handover,27-12-2024,11-12-2025,Completed,70
TASK000245,PROJ02168,EMP0215,Installation,25-01-2024,15-08-2025,Delayed,74
TASK000246,PROJ02152,EMP0166,Material Procurement,19-11-2024,09-02-2025,completed,15
TASK000247,PROJ00501,EMP0066,Site Visit,05-03-2024,09-12-2025,Pending,77
TASK000248,PROJ00674,EMP0210,Design Approval,24-02-2024,05-05-2025,In Progress,24
TASK000249,PROJ04839,EMP0213,Material Procurement,17-06-2024,17-07-2025,completed,40
TASK000250,PROJ01021,EMP0184,Handover,16-02-2024,01-11-2025,completed,81
TASK000251,PROJ00525,EMP0176,Site Visit,15-03-2024,22-08-2025,Completed,16
TASK000252,PROJ01952,EMP0253,Handover,02-04-2024,20-09-2025,Delayed,65
TASK000253,PROJ02910,EMP0205,Quality Check,07-12-2024,10-04-2025,Pending,49
TASK000254,PROJ02127,EMP0263,Design Approval,26-01-2024,18-07-2025,Pending,45
TASK000255,PROJ02603,EMP0127,Design Approval,12-02-2024,05-02-2025,completed,43
TASK000256,PROJ01652,EMP0222,Quality Check,19-12-2024,,Delayed,16
TASK000257,PROJ01581,EMP0192,Quality Check,24-10-2024,07-02-2025,Delayed,50
TASK000258,PROJ02900,EMP0133,Material Procurement,26-10-2024,12-07-2025,In Progress,31
TASK000259,PROJ02150,EMP0237,Handover,27-09-2024,09-09-2025,Completed,93
TASK000260,PROJ00609,EMP0030,Quality Check,07-09-2024,12-09-2025,In Progress,80
TASK000261,PROJ03754,EMP0265,Installation,03-12-2024,01-03-2025,Pending,33
TASK000262,PROJ00080,EMP0271,Site Visit,01-11-2024,,Delayed,71
TASK000263,PROJ00595,EMP0261,Site Visit,05-02-2024,09-05-2025,completed,52
TASK000264,PROJ00231,EMP0167,Site Visit,15-04-2024,03-03-2025,In Progress,2
TASK000265,PROJ01271,EMP0027,Design Approval,04-07-2024,01-07-2025,completed,23
TASK000266,PROJ00124,EMP0260,Material Procurement,03-01-2024,09-09-2025,Delayed,43
TASK000267,PROJ03133,EMP0264,Site Visit,15-12-2024,27-05-2025,Completed,64
TASK000268,PROJ01891,EMP0048,Site Visit,09-07-2024,,Completed,31
TASK000269,PROJ00650,EMP0112,Material Procurement,12-08-2024,,Completed,69
TASK000270,PROJ01105,EMP0209,Installation,26-06-2024,24-01-2025,completed,52
TASK000271,PROJ01181,EMP0204,Material Procurement,17-11-2024,19-06-2025,Completed,0
TASK000272,PROJ02562,EMP0134,Site Visit,27-03-2024,06-11-2025,Completed,53
TASK000273,PROJ00285,EMP0166,Quality Check,26-06-2024,,completed,1
TASK000274,PROJ03522,EMP0235,Handover,04-06-2024,20-03-2025,Completed,14
TASK000275,PROJ02083,EMP0035,Design Approval,07-02-2024,,Delayed,38
TASK000276,PROJ00207,EMP0029,Design Approval,13-06-2024,09-01-2025,In Progress,95
TASK000277,PROJ04128,EMP0220,Installation,08-07-2024,,Completed,57
TASK000278,PROJ00646,EMP0166,Design Approval,18-02-2024,,Pending,53
TASK000279,PROJ01319,EMP0237,Installation,06-04-2024,,In Progress,98
TASK000280,PROJ00268,EMP0199,Material Procurement,21-01-2024,04-04-2025,In Progress,88
TASK000281,PROJ01046,EMP0082,Site Visit,28-10-2024,28-09-2025,Pending,20
TASK000282,PROJ00600,EMP0235,Site Visit,23-06-2024,04-05-2025,Delayed,80
TASK000283,PROJ03889,EMP0204,Material Procurement,06-01-2024,20-02-2025,Pending,31
TASK000284,PROJ03938,EMP0102,Site Visit,17-11-2024,20-08-2025,completed,59
TASK000285,PROJ03833,EMP0025,Material Procurement,27-06-2024,07-09-2025,completed,10
TASK000286,PROJ01164,EMP0122,Material Procurement,04-12-2024,26-07-2025,Completed,26
TASK000287,PROJ00241,EMP0253,Installation,05-08-2024,13-10-2025,Completed,21
TASK000288,PROJ02814,EMP0162,Design Approval,09-08-2024,10-08-2025,In Progress,89
TASK000289,PROJ01366,EMP0270,Site Visit,25-12-2024,27-02-2025,Completed,57
TASK000290,PROJ01949,EMP0121,Design Approval,13-12-2024,14-04-2025,Pending,28
TASK000291,PROJ01088,EMP0061,Site Visit,08-08-2024,02-03-2025,Completed,33
TASK000292,PROJ01856,EMP0300,Site Visit,11-01-2024,22-04-2025,Delayed,78
TASK000293,PROJ03957,EMP0215,Design Approval,04-03-2024,23-02-2025,Delayed,23
TASK000294,PROJ00078,EMP0132,Installation,02-03-2024,07-08-2025,Pending,26
TASK000295,PROJ02140,EMP0113,Design Approval,01-01-2024,,Pending,78
TASK000296,PROJ03095,EMP0247,Handover,08-02-2024,13-03-2025,In Progress,68
TASK000297,PROJ01050,EMP0115,Material Procurement,13-06-2024,,Delayed,52
TASK000298,PROJ02698,EMP0055,Design Approval,19-10-2024,,In Progress,96
TASK000299,PROJ04083,EMP0300,Quality Check,14-05-2024,,Completed,99
TASK000300,PROJ04689,EMP0032,Quality Check,19-03-2024,01-03-2025,Pending,34
TASK000301,PROJ00128,EMP0184,Site Visit,19-05-2024,12-11-2025,Delayed,86
TASK000302,PROJ04966,EMP0044,Installation,12-09-2024,,In Progress,59
TASK000303,PROJ03000,EMP0039,Site Visit,23-02-2024,,Pending,31
TASK000304,PROJ01002,EMP0233,Quality Check,27-05-2024,,Delayed,67
TASK000305,PROJ02198,EMP0206,Design Approval,14-12-2024,,completed,39
TASK000306,PROJ03405,EMP0277,Design Approval,07-06-2024,17-01-2025,In Progress,24
TASK000307,PROJ02651,EMP0162,Design Approval,08-03-2024,23-01-2025,Completed,96
TASK000308,PROJ00501,EMP0179,Design Approval,23-01-2024,17-08-2025,Delayed,59
TASK000309,PROJ01997,EMP0199,Installation,07-06-2024,19-06-2025,Delayed,98
TASK000310,PROJ00006,EMP0219,Handover,02-12-2024,15-09-2025,Completed,35
TASK000311,PROJ00712,EMP0216,Material Procurement,16-05-2024,15-04-2025,completed,9
TASK000312,PROJ02530,EMP0284,Quality Check,22-09-2024,28-12-2025,Completed,61
TASK000313,PROJ01506,EMP0292,Site Visit,01-12-2024,,Delayed,73
TASK000314,PROJ03154,EMP0064,Installation,22-08-2024,04-05-2025,Completed,93
TASK000315,PROJ00772,EMP0020,Installation,12-08-2024,,Pending,11
TASK000316,PROJ03072,EMP0092,Design Approval,25-07-2024,,In Progress,26
TASK000317,PROJ02232,EMP0197,Handover,16-01-2024,08-09-2025,completed,85
TASK000318,PROJ00235,EMP0156,Quality Check,19-06-2024,28-08-2025,Delayed,68
TASK000319,PROJ03613,EMP0294,Material Procurement,13-08-2024,03-05-2025,Pending,15
TASK000320,PROJ03601,EMP0291,Design Approval,18-01-2024,11-09-2025,In Progress,52
