city_id,city_name,state,region,country,operational_zone,city_tier
C186,City186,Delhi,North,India,Zone C,Tier-1
C187,City187,Telangana,South,India,Zone D,Tier 3
C188,City188,Telangana,South,India,Zone C,Tier-1
C189,City189,Telangana,South,India,Zone A,Tier-1
C190,City190,Telangana,South,India,Zone B,Tier 2
C191,City191,Telangana,South,India,Zone D,tier 1
C192,City192,Delhi,North,India,Zone B,Tier-1
C193,City193,Karnataka,South,India,Zone D,Tier 1
C194,City194,Maharashtra,West,India,Zone A,Tier 3
C195,City195,Tamil Nadu,South,India,Zone C,Tier 2
C196,City196,Tamil Nadu,South,India,Zone B,Tier 1
C197,City197,Karnataka,South,India,Zone C,Tier 1
C198,City198,Telangana,South,India,Zone A,Tier 3
C199,City199,Maharashtra,West,India,Zone A,Tier 3
C200,City200,Telangana,South,India,,Tier 1
C201,City201,Telangana,South,India,Zone A,Tier 3
C202,City202,Maharashtra,West,India,Zone B,Tier-1
C203,City203,Telangana,South,India,Zone B,Tier 1
C204,City204,Telangana,South,India,Zone C,Tier 3
C205,City205,Karnataka,South,India,Zone B,tier 1
C206,City206,Telangana,South,India,Zone C,tier 1
C207,City207,Telangana,South,India,Zone C,Tier 1
C208,City208,Telangana,South,India,Zone C,Tier 3
C209,City209,Telangana,South,India,Zone B,Tier-1
C210,CITY210,Maharashtra,West,India,Zone C,Tier 3
C211,City211,Delhi,North,India,Zone C,Tier 3
C212,City212,Telangana,South,India,Zone B,Tier-1
C213,City213,Tamil Nadu,South,India,Zone B,Tier 2
C214,City214,Karnataka,South,India,Zone D,Tier 2
C215,City215,Maharashtra,West,India,Zone A,Tier 2
C216,City216,Telangana,South,India,Zone B,Tier 3
C217,City217,Telangana,South,India,Zone A,Tier-1
C218,City218,Delhi,North,India,Zone A,tier 1
C219,City219,Delhi,North,India,Zone B,Tier-1
C220,City220,Delhi,North,India,Zone A,tier 1
C221,City221,Delhi,North,India,Zone C,tier 1
C222,City222,Tamil Nadu,South,India,Zone C,Tier 1
C223,City223,Delhi,North,India,Zone B,Tier 1
C224,City224,Delhi,North,India,Zone B,Tier 1
C225, City225,Karnataka,South,India,Zone C,Tier 1
C226,City226,Delhi,North,India,Zone A,Tier 1
C227,City227,Telangana,South,India,Zone B,Tier 2
C228,City228,Delhi,North,India,Zone D,tier 1
C229,City229,Karnataka,South,India,Zone A,Tier 2
C230,City230,Telangana,South,India,Zone D,Tier 2
C231,City231,Maharashtra,West,India,Zone D,Tier 1
C232,City232,Karnataka,South,India,Zone A,tier 1
C233,City233,Karnataka,South,India,Zone C,Tier-1
C234,City234,Maharashtra,West,India,Zone B,Tier 2
C235,City235,Maharashtra,West,India,Zone A,Tier 2
C236,City236,Tamil Nadu,South,India,Zone B,Tier 3
C237,City237,Telangana,South,India,Zone B,Tier 2
C238,City238,Karnataka,South,India,Zone C,Tier 2
C239,City239,Telangana,South,India,Zone B,Tier 1
C240,CITY240,Maharashtra,West,India,,tier 1
C241,City241,Tamil Nadu,South,India,Zone A,Tier 2
C242,City242,Maharashtra,West,India,Zone B,Tier-1
C243,City243,Maharashtra,West,India,Zone D,Tier 1
C244,City244,Delhi,North,India,Zone C,Tier 1
C245,City245,Maharashtra,West,India,Zone A,tier 1
C246,City246,Karnataka,South,India,Zone D,Tier 2
C247,City247,Karnataka,South,India,Zone A,Tier-1
C248,City248,Delhi,North,India,Zone B,Tier 3
C249,City249,Karnataka,South,India,Zone A,Tier 2
C250,City250,Tamil Nadu,South,India,Zone B,Tier 2
