product_id,category_id,supplier_id,product_name,material_type,cost_price,selling_price,status
PRD00231,CAT019,SUP0314,Product 231,Wood,27382,34042,Discontinued
PRD00232,CAT023,SUP0362,Product 232,Glass,40901,44795,Active
PRD00233,CAT021,SUP0092,Product 233,Laminate,22624,34463,Discontinued
PRD00234,CAT009,SUP0469,Product 234,Glass,4641,18954,Active
PRD00235,CAT024,SUP0327,Product 235,Plywood,6701,11323,active
PRD00236,CAT014,SUP0244,Product 236,Steel,9929,10494,active
PRD00237,CAT031,SUP0114,Product 237,Laminate,26211,40839,active
PRD00238,CAT033,SUP0295,Product 238,Plywood,18607,29765,Discontinued
PRD00239,CAT012,SUP0459,Product 239,Wood,40609,48426,active
PRD00240,CAT004,SUP0292,Product 240,Wood,28747,43480,Discontinued
PRD00241,CAT031,SUP0425,Product 241,Steel,18548,23339,Discontinued
PRD00242,CAT038,SUP0176,Product 242,Wood,22240,33924,Active
PRD00243,CAT021,SUP0455,Product 243,Glass,45148,53746,Active
PRD00244,CAT008,SUP0173,Product 244,Steel,22611,34615,active
PRD00245,CAT028,SUP0280,Product 245,Steel,3787,8218,Discontinued
PRD00246,CAT002,SUP0006,Product 246,Marble,20284,23205,active
PRD00247,CAT014,SUP0108,Product 247,Steel,31507,36246,Active
PRD00248,CAT007,SUP0062,Product 248,Wood,22731,31035,Discontinued
PRD00249,CAT039,SUP0003,Product 249,Wood,12724,23475,Active
PRD00250,CAT013,SUP0157,Product 250,Plywood,29202,30834,Discontinued
PRD00251,CAT036,SUP0252,Product 251,Glass,8655,15055,Discontinued
PRD00252,CAT032,SUP0474,Product 252,Glass,1850,12711,Active
PRD00253,CAT019,SUP0354,Product 253,Steel,29885,36987,Discontinued
PRD00254,CAT010,SUP0388,Product 254,Wood,28219,32465,Discontinued
PRD00255,CAT008,SUP0476,Product 255,Laminate,48884,60785,active
PRD00256,CAT025,SUP0155,Product 256,Laminate,19715,31743,Discontinued
PRD00257,CAT030,SUP0277,Product 257,Steel,35873,42582,Discontinued
PRD00258,CAT022,SUP0399,Product 258,Glass,26498,31234,Discontinued
PRD00259,CAT026,SUP0428,Product 259,Laminate,42654,48809,active
PRD00260,CAT010,SUP0443,Product 260,Wood,42705,56836,Discontinued
PRD00261,CAT005,SUP0384,Product 261,Laminate,39860,41759,active
PRD00262,CAT011,SUP0464,Product 262,Glass,27980,34329,active
PRD00263,CAT013,SUP0344,Product 263,Plywood,8483,20821,active
PRD00264,CAT021,SUP0415,Product 264,Laminate,25039,37477,Discontinued
PRD00265,CAT030,SUP0100,Product 265,Marble,41668,43221,Discontinued
PRD00266,CAT035,SUP0465,Product 266,Steel,11801,20439,Discontinued
PRD00267,CAT017,SUP0390,Product 267,Laminate,44274,45820,Active
PRD00268,CAT020,SUP0144,Product 268,Marble,35328,49348,Active
PRD00269,CAT030,SUP0394,Product 269,Wood,12311,21012,Active
PRD00270,CAT017,SUP0464,Product 270,Glass,31685,38571,active
PRD00271,CAT020,SUP0235,Product 271,Glass,24324,24708,Active
PRD00272,CAT014,SUP0007,Product 272,Plywood,47825,48441,Active
PRD00273,CAT011,SUP0207,Product 273,Steel,31168,42157,Discontinued
PRD00274,CAT015,SUP0217,Product 274,Steel,12206,16010,Active
PRD00275,CAT037,SUP0038, Product 275,Glass,12828,19230,Active
PRD00276,CAT024,SUP0190,Product 276,Glass,49963,64893,Active
PRD00277,CAT036,SUP0438,Product 277,Wood,40498,44882,Discontinued
PRD00278,CAT035,SUP0160,Product 278,Wood,13068,27578,active
PRD00279,CAT011,SUP0478,Product 279,Wood,49033,54073,Active
PRD00280,CAT032,SUP0169,Product 280,Glass,17594,20325,active
PRD00281,CAT010,SUP0473,Product 281,Plywood,36818,46937,Active
PRD00282,CAT030,SUP0386,Product 282,Glass,48405,57451,Active
PRD00283,CAT008,SUP0017,Product 283,Marble,33814,39600,active
PRD00284,CAT024,SUP0081,Product 284,Laminate,19786,21055,Active
PRD00285,CAT014,SUP0148,Product 285,Glass,48497,51327,Discontinued
PRD00286,CAT003,SUP0280,Product 286,Glass,36484,37008,Active
PRD00287,CAT034,SUP0442,Product 287,Wood,5670,19049,Active
PRD00288,CAT016,SUP0152,Product 288,Marble,25441,26203,Active
PRD00289,CAT013,SUP0385,Product 289,Steel,4735,14486,active
PRD00290,CAT023,SUP0280,Product 290,Glass,37172,43249,active
PRD00291,CAT026,SUP0485,Product 291,Steel,37760,41006,Active
PRD00292,CAT028,SUP0026,Product 292,Plywood,40532,49229,Active
PRD00293,CAT019,SUP0483,Product 293,Wood,34949,41438,Discontinued
PRD00294,CAT014,SUP0105,Product 294,Marble,3441,10892,Active
PRD00295,CAT012,SUP0155,Product 295,Steel,29304,39364,active
PRD00296,CAT028,SUP0011,Product 296,Laminate,19219,32220,active
PRD00297,CAT036,SUP0490,Product 297,Glass,26471,41029,Active
PRD00298,CAT036,SUP0425,Product 298,Marble,45876,54205,active
PRD00299,CAT023,SUP0071,Product 299,Steel,26534,32835,active
PRD00300,CAT004,SUP0294,Product 300,Laminate,48740,62724,Active
PRD00301,CAT022,SUP0366,Product 301,Wood,46937,52217,active
PRD00302,CAT014,SUP0481,Product 302,Glass,18952,30611,Active
PRD00303,CAT022,SUP0391,Product 303,Steel,3316,17399,Discontinued
PRD00304,CAT028,SUP0446,Product 304,Glass,5645,17364,active
PRD00305,CAT014,SUP0417,Product 305,Glass,14124,18994,active
PRD00306,CAT014,SUP0342,Product 306,Steel,46692,57127,Active
PRD00307,CAT004,SUP0435,Product 307,Laminate,29176,29758,Discontinued
PRD00308,CAT040,SUP0107,Product 308,Glass,38792,44907,Discontinued
PRD00309,CAT003,SUP0092,Product 309,Laminate,40304,54835,active
PRD00310,CAT022,SUP0404,Product 310,Steel,33096,36986,Discontinued
PRD00311,CAT015,SUP0478,Product 311,Glass,2765,5430,Active
PRD00312,CAT023,SUP0295,Product 312,Steel,39849,46947,Discontinued
PRD00313,CAT028,SUP0463,Product 313,Laminate,20400,26153,Active
PRD00314,CAT014,SUP0468,Product 314,Wood,15783,26053,active
PRD00315,CAT020,SUP0203,Product 315,Wood,34547,47853,Discontinued
PRD00316,CAT038,SUP0169,Product 316,Marble,14367,14808,active
PRD00317,CAT021,SUP0236,Product 317,Plywood,42721,49878,active
PRD00318,CAT017,SUP0264,Product 318,Steel,45812,60631,Discontinued
PRD00319,CAT005,SUP0258,Product 319,Marble,18113,28731,Discontinued
PRD00320,CAT024,SUP0286,Product 320,Plywood,7943,18691,Discontinued
PRD00321,CAT028,SUP0005,Product 321,Marble,9191,12341,Active
PRD00322,CAT024,SUP0338,Product 322,Plywood,23756,30168,active
PRD00323,CAT039,SUP0496,Product 323,Plywood,26214,38972,Discontinued
PRD00324,CAT029,SUP0254,Product 324,Steel,17775,30976,active
PRD00325,CAT027,SUP0180,Product 325,Steel,33571,45612,Active
PRD00326,CAT008,SUP0041,Product 326,Laminate,49326,57468,active
PRD00327,CAT016,SUP0070,Product 327,Plywood,31828,38360,Discontinued
PRD00328,CAT037,SUP0154,Product 328,Wood,46784,55695,active
PRD00329,CAT022,SUP0458,Product 329,Steel,16811,25519,Active
PRD00330,CAT008,SUP0277, Product 330,Marble,42173,46534,active
PRD00331,CAT010,SUP0365,Product 331,Glass,19123,22480,Active
PRD00332,CAT020,SUP0454,Product 332,Wood,14502,28430,Active
PRD00333,CAT028,SUP0381,Product 333,Steel,32311,37854,Discontinued
PRD00334,CAT021,SUP0319,Product 334,Steel,26220,27336,Active
PRD00335,CAT008,SUP0027,Product 335,Wood,9180,23424,Active
PRD00336,CAT023,SUP0258,Product 336,Steel,46203,60574,Active
PRD00337,CAT032,SUP0312,Product 337,Marble,39714,47444,Active
PRD00338,CAT011,SUP0390,Product 338,Laminate,21698,36629,Active
PRD00339,CAT010,SUP0411,Product 339,Marble,25526,32118,active
PRD00340,CAT004,SUP0245,Product 340,Marble,22392,28812,Discontinued
PRD00341,CAT020,SUP0219,Product 341,Glass,20802,25259,Discontinued
PRD00342,CAT033,SUP0108,Product 342,Laminate,35146,47633,Discontinued
PRD00343,CAT032,SUP0103,Product 343,Steel,49157,59889,active
PRD00344,CAT036,SUP0063,Product 344,Wood,1425,15118,active
PRD00345,CAT007,SUP0056,Product 345,Marble,35681,47260,Discontinued
PRD00346,CAT036,SUP0237,Product 346,Wood,2504,13769,Discontinued
PRD00347,CAT024,SUP0233,Product 347,Marble,16365,26591,active
PRD00348,CAT040,SUP0495,Product 348,Wood,22507,28742,Discontinued
PRD00349,CAT034,SUP0115,Product 349,Marble,22233,27735,active
PRD00350,CAT010,SUP0157,Product 350,Laminate,13170,25688,active
PRD00351,CAT007,SUP0468,Product 351,Marble,34895,42447,Discontinued
PRD00352,CAT023,SUP0087,Product 352,Steel,17025,23395,active
PRD00353,CAT004,SUP0447,Product 353,Steel,9128,13093,Discontinued
PRD00354,CAT013,SUP0189,Product 354,Plywood,13853,16038,active
PRD00355,CAT013,SUP0474,Product 355,Wood,27228,29536,Active
PRD00356,CAT025,SUP0251,Product 356,Wood,20579,27708,Discontinued
PRD00357,CAT005,SUP0400,Product 357,Marble,44406,56635,Active
PRD00358,CAT012,SUP0442,Product 358,Marble,28622,31165,Discontinued
PRD00359,CAT030,SUP0438,Product 359,Glass,38097,43835,active
PRD00360,CAT022,SUP0333,Product 360,Glass,35270,45860,active
PRD00361,CAT011,SUP0331,Product 361,Laminate,16498,24976,active
PRD00362,CAT009,SUP0199,Product 362,Laminate,22786,30471,active
PRD00363,CAT031,SUP0142,Product 363,Laminate,12272,18214,Active
PRD00364,CAT012,SUP0262,Product 364,Wood,33792,44556,active
PRD00365,CAT004,SUP0267,Product 365,Plywood,41721,55828,Active
PRD00366,CAT031,SUP0270,Product 366,Steel,5042,15298,Active
PRD00367,CAT014,SUP0478,Product 367,Wood,11458,25390,active
PRD00368,CAT004,SUP0374,Product 368,Wood,49022,53545,Discontinued
PRD00369,CAT029,SUP0419,Product 369,Steel,16638,20943,Discontinued
PRD00370,CAT025,SUP0119,Product 370,Plywood,42716,52909,active
PRD00371,CAT040,SUP0453,Product 371,Plywood,34180,39080,Active
PRD00372,CAT017,SUP0307,Product 372,Wood,18336,29152,Discontinued
PRD00373,CAT040,SUP0262,Product 373,Wood,40016,40622,Active
PRD00374,CAT031,SUP0057,Product 374,Plywood,17873,29591,Discontinued
PRD00375,CAT008,SUP0056,Product 375,Plywood,29459,40532,Active
PRD00376,CAT022,SUP0365,Product 376,Laminate,46333,53718,Active
PRD00377,CAT015,SUP0281,Product 377,Marble,11992,16399,Discontinued
PRD00378,CAT004,SUP0112,Product 378,Plywood,14369,20031,active
PRD00379,CAT034,SUP0451,Product 379,Marble,13901,26175,Discontinued
PRD00380,CAT019,SUP0180,Product 380,Wood,30183,43146,Active
PRD00381,CAT023,SUP0067,Product 381,Steel,8710,20292,Discontinued
PRD00382,CAT031,SUP0488,Product 382,Plywood,41474,47738,Discontinued
PRD00383,CAT031,SUP0053,Product 383,Wood,43892,44659,active
PRD00384,CAT040,SUP0384,Product 384,Glass,29588,41314,active
PRD00385,CAT002,SUP0093, Product 385,Laminate,38521,46350,Discontinued
PRD00386,CAT037,SUP0036,Product 386,Laminate,15260,17950,Active
