supplier_id,supplier_name,supplier_category,contact_person,email,phone,city_id,supplier_rating,status
SUP0042,Supplier 42,Electrical,Ravi,supplier42@vendor.com,9617728730,C043,3.7,Active
SUP0043,Supplier 43,Decor,Ravi,supplier43@vendor.com,9648221873,C208,4.1,Active
SUP0044,Supplier 44,Hardware,Pooja,supplier44@vendor.com,9223760975,C096,4.9,Inactive
SUP0045,Supplier 45,Electrical,Amit,supplier45@vendor.com,9547781172,C024,3.7,Inactive
SUP0046,Supplier 46,Decor,Pooja,supplier46@vendor.com,9301430933,C071,4.5,Active
SUP0047,Supplier 47,Plumbing,Pooja,supplier47@vendor.com,9338914817,C232,3.6,Inactive
SUP0048,Supplier 48,Lighting,Amit,supplier48@vendor.com,9826959287,C167,3.2,Inactive
SUP0049,Supplier 49,Kitchen,Pooja,supplier49@vendor.com,9822809611,C175,3.2,Active
SUP0050,Supplier 50,Furniture,Neha,supplier50@vendor.com,9806139281,C156,null,Inactive
SUP0051,Supplier 51,Hardware,Ravi,supplier51@vendor.com,9995435077,C115,4.8,Active
SUP0052,Supplier 52,Plumbing,Neha,supplier52@vendor.com,9719187111,C082,3.6,Active
SUP0053,Supplier 53,Kitchen,Ravi,supplier53@vendor.com,,C047,4.9,Inactive
SUP0054,Supplier 54,Plumbing,Neha,supplier54@vendor.com,9676359497,C231,3.2,active
SUP0055,Supplier 55,Wardrobe,Ravi,supplier55@vendor.com,9674913434,C074,3.4,Inactive
SUP0056,Supplier 56,Flooring,Ravi,supplier56@vendor.com,9611265803,C250,3,Inactive
SUP0057,Supplier 57,Kitchen,Pooja,supplier57@vendor.com,9572764449,C173,4.2,active
SUP0058,Supplier 58,Wardrobe,Neha,supplier58@vendor.com,9639240114,C160,4,Active
SUP0059,Supplier 59,Plumbing,Neha,supplier59@vendor.com,9901670019,C222,4.5,active
SUP0060,Supplier 60,Furniture,Amit,supplier60@vendor.com,9738414758,C138,4.3,active
SUP0061,Supplier 61,Furniture,Ravi,supplier61@vendor.com,9272727473,C080,4.5,Inactive
SUP0062,Supplier 62,Wardrobe,Neha,supplier62@vendor.com,9973161736,C046,3.8,Inactive
SUP0063,Supplier 63,Wardrobe,Ravi,supplier63@vendor.com,9466806414,C064,4.5,Active
SUP0064,Supplier 64,Plumbing,Ravi,supplier64@vendor.com,9725008290,C230,3.9,Active
SUP0065,Supplier 65,Kitchen,Neha,supplier65@vendor.com,9430471350,C075,3.4,active
SUP0066,Supplier 66,Furniture,Ravi,supplier66@vendor.com,9435557051,C153,3.6,active
SUP0067,Supplier 67,Plumbing,Ravi,supplier67@vendor.com,9250885360,C074,3.1,Active
SUP0068,Supplier 68,Hardware,Amit,supplier68@vendor.com,9611458223,C098,4.5,Active
SUP0069,Supplier 69,Decor,Amit,supplier69@vendor.com,9679366343,C043,3.9,Active
SUP0070,Supplier 70,Flooring,Amit,supplier70@vendor.com,9909356105,C089,3.1,Active
SUP0071,Supplier 71,Decor,Amit,supplier71@vendor.com,9883484796,C134,3.1,Active
SUP0072,Supplier 72,Flooring,Pooja,supplier72@vendor.com,9273510617,C024,3.1,Active
SUP0073,Supplier 73,Kitchen,Ravi,supplier73@vendor.com,9518641929,C125,3,active
SUP0074,Supplier 74,Furniture,Amit,,9392567050,C237,3.1,Active
SUP0075,Supplier 75,Flooring,Neha,supplier75@vendor.com,9206496442,C241,null,Inactive
SUP0076,Supplier 76,Electrical,Pooja,supplier76@vendor.com,9297011545,C214,4,Active
SUP0077,Supplier 77,Kitchen,Neha,supplier77@vendor.com,9458540809,C017,4.5,Inactive
SUP0078,Supplier 78,Paint,Amit,supplier78@vendor.com,9909667399,C225,3.8,Inactive
SUP0079,Supplier 79,Hardware,Amit,supplier79@vendor.com,9943634854,C060,3.6,active
SUP0080, Supplier 80,Paint,Pooja,supplier80@vendor.com,9109812855,C059,4.1,Inactive
SUP0081,Supplier 81,Plumbing,Amit,supplier81@vendor.com,9164827729,C223,4.5,active
SUP0082,Supplier 82,Kitchen,Amit,supplier82@vendor.com,9228642206,C187,4.4,Active
SUP0083,Supplier 83,Furniture,Neha,supplier83@vendor.com,9977265492,C211,3.9,active
SUP0084,Supplier 84,Electrical,Pooja,supplier84@vendor.com,9873648436,C222,3.3,Active
SUP0085,Supplier 85,Furniture,Neha,supplier85@vendor.com,9331520476,C034,3.1,Active
SUP0086,Supplier 86,Kitchen,Neha,supplier86@vendor.com,9426681900,C109,3.6,active
SUP0087,Supplier 87,Hardware,Neha,supplier87@vendor.com,9330294475,C090,4.7,active
SUP0088,Supplier 88,Flooring,Ravi,supplier88@vendor.com,9467742045,C176,3.8,active
SUP0089,Supplier 89,Hardware,Pooja,supplier89@vendor.com,9207817929,C200,4.2,Active
SUP0090,Supplier 90,Lighting,Amit,supplier90@vendor.com,9890097058,C004,3.3,active
SUP0091,Supplier 91,Plumbing,Amit,supplier91@vendor.com,9265630884,C100,4.9,Inactive
SUP0092,Supplier 92,Lighting,Ravi,supplier92@vendor.com,9141764708,C102,3.6,Inactive
SUP0093,Supplier 93,Electrical,Ravi,supplier93@vendor.com,9856611718,C040,4.3,Active
SUP0094,Supplier 94,Decor,Ravi,supplier94@vendor.com,9735434433,C077,4.3,active
SUP0095,Supplier 95,Paint,Pooja,supplier95@vendor.com,9569342161,C196,4.1,active
SUP0096,Supplier 96,Flooring,Neha,supplier96@vendor.com,9859225329,C226,3.4,active
SUP0097,Supplier 97,Decor,Neha,supplier97@vendor.com,9503464381,C192,3.9,Active
SUP0098,Supplier 98,Hardware,Neha,supplier98@vendor.com,9431352865,C208,3.4,active
SUP0099,Supplier 99,Decor,Neha,supplier99@vendor.com,9789618064,C100,3.8,active
SUP0100,Supplier 100,Lighting,Amit,supplier100@vendor.com,9771775537,C025,null,Inactive
SUP0101,Supplier 101,Paint,Neha,supplier101@vendor.com,9960836849,C219,4.1,active
SUP0102,Supplier 102,Paint,Ravi,supplier102@vendor.com,9156757149,C189,3.8,Inactive
SUP0103,Supplier 103,Paint,Pooja,supplier103@vendor.com,9315723610,C077,4.3,active
SUP0104,Supplier 104,Lighting,Neha,supplier104@vendor.com,9676314262,C058,3.4,Active
SUP0105,Supplier 105,Lighting,Amit,supplier105@vendor.com,9209460639,C075,3.4,Active
SUP0106,Supplier 106,Kitchen,Amit,supplier106@vendor.com,,C199,4.3,Inactive
SUP0107,Supplier 107,Decor,Neha,supplier107@vendor.com,9492044710,C182,4.7,Active
SUP0108,Supplier 108,Decor,Amit,supplier108@vendor.com,9845046547,C221,4.1,active
SUP0109,Supplier 109,Kitchen,Pooja,supplier109@vendor.com,9821438773,C191,3.2,active
SUP0110,Supplier 110,Flooring,Amit,supplier110@vendor.com,9231877791,C110,3.5,active
SUP0111,Supplier 111,Hardware,Pooja,,9814871793,C073,3.6,Inactive
SUP0112,Supplier 112,Paint,Pooja,supplier112@vendor.com,9476087401,C125,4.9,active
SUP0113,Supplier 113,Paint,Ravi,supplier113@vendor.com,9161876716,C070,5,Active
SUP0114,Supplier 114,Wardrobe,Amit,supplier114@vendor.com,9225964220,C215,4.3,Inactive
SUP0115,Supplier 115,Paint,Amit,supplier115@vendor.com,9329514122,C011,4.8,active
SUP0116,Supplier 116,Plumbing,Ravi,supplier116@vendor.com,9356220499,C077,3.1,Active
SUP0117,Supplier 117,Hardware,Pooja,supplier117@vendor.com,9447583846,C001,4.7,Inactive
SUP0118,Supplier 118,Kitchen,Ravi,supplier118@vendor.com,9718846783,C029,3.4,Inactive
SUP0119,Supplier 119,Wardrobe,Ravi,supplier119@vendor.com,9531134941,C131,3.7,active
SUP0120, Supplier 120,Wardrobe,Amit,supplier120@vendor.com,9207560307,C104,3.6,active
SUP0121,Supplier 121,Lighting,Pooja,supplier121@vendor.com,9100382137,C201,3,active
SUP0122,Supplier 122,Lighting,Ravi,supplier122@vendor.com,9854902169,C031,4.6,active
SUP0123,Supplier 123,Kitchen,Amit,supplier123@vendor.com,9460911933,C222,3.5,Active
SUP0124,Supplier 124,Flooring,Neha,supplier124@vendor.com,9528084576,C232,3.5,Active
SUP0125,Supplier 125,Wardrobe,Ravi,supplier125@vendor.com,9863871584,C170,null,Active
SUP0126,Supplier 126,Hardware,Pooja,supplier126@vendor.com,9293945577,C218,4,active
SUP0127,Supplier 127,Wardrobe,Amit,supplier127@vendor.com,9192937373,C219,3.1,Inactive
SUP0128,Supplier 128,Hardware,Amit,supplier128@vendor.com,9306333511,C080,4.5,Inactive
SUP0129,Supplier 129,Kitchen,Ravi,supplier129@vendor.com,9696251859,C162,4.1,Inactive
SUP0130,Supplier 130,Lighting,Ravi,supplier130@vendor.com,9431400396,C190,4.5,Active
SUP0131,Supplier 131,Plumbing,Neha,supplier131@vendor.com,9669044940,C178,4.6,active
SUP0132,Supplier 132,Hardware,Pooja,supplier132@vendor.com,9845498668,C181,3,Inactive
SUP0133,Supplier 133,Flooring,Neha,supplier133@vendor.com,9992242857,C247,3.8,active
SUP0134,Supplier 134,Paint,Neha,supplier134@vendor.com,9191981302,C177,4,active
SUP0135,Supplier 135,Plumbing,Neha,supplier135@vendor.com,9964122480,C029,3.4,Active
SUP0136,Supplier 136,Kitchen,Amit,supplier136@vendor.com,9722782340,C214,4.5,Active
SUP0137,Supplier 137,Paint,Amit,supplier137@vendor.com,9790424621,C092,3.2,Inactive
SUP0138,Supplier 138,Lighting,Neha,supplier138@vendor.com,9982594228,C182,4,Inactive
SUP0139,Supplier 139,Decor,Amit,supplier139@vendor.com,9657889585,C167,3.7,Active
SUP0140,Supplier 140,Wardrobe,Neha,supplier140@vendor.com,9193637911,C230,3.2,active
SUP0141,Supplier 141,Lighting,Ravi,supplier141@vendor.com,9766551225,C001,3.7,Inactive
SUP0142,Supplier 142,Kitchen,Amit,supplier142@vendor.com,9240236257,C037,3.3,Active
SUP0143,Supplier 143,Kitchen,Neha,supplier143@vendor.com,9675480881,C242,3.3,active
SUP0144,Supplier 144,Paint,Neha,supplier144@vendor.com,9818514338,C051,3.4,Active
SUP0145,Supplier 145,Lighting,Neha,supplier145@vendor.com,9167638987,C236,4.4,Inactive
SUP0146,Supplier 146,Lighting,Pooja,supplier146@vendor.com,9212128243,C003,4.3,active
SUP0147,Supplier 147,Flooring,Ravi,supplier147@vendor.com,9663774994,C082,3.4,Inactive
SUP0148,Supplier 148,Flooring,Pooja,,9516618992,C053,4.6,active
SUP0149,Supplier 149,Flooring,Neha,supplier149@vendor.com,9597032634,C235,3.3,Active
SUP0150,Supplier 150,Hardware,Ravi,supplier150@vendor.com,9869188540,C017,null,Active
SUP0151,Supplier 151,Paint,Neha,supplier151@vendor.com,9735852975,C152,3.2,active
SUP0152,Supplier 152,Plumbing,Ravi,supplier152@vendor.com,9406617334,C215,4.9,active
SUP0153,Supplier 153,Plumbing,Pooja,supplier153@vendor.com,9121383590,C178,3.6,Active
SUP0154,Supplier 154,Wardrobe,Ravi,supplier154@vendor.com,9896714535,C021,3.8,active
SUP0155,Supplier 155,Flooring,Ravi,supplier155@vendor.com,9691961366,C029,3.6,active
SUP0156,Supplier 156,Paint,Amit,supplier156@vendor.com,9322524104,C183,3.8,Inactive
SUP0157,Supplier 157,Lighting,Pooja,supplier157@vendor.com,9937244891,C069,4.3,active
SUP0158,Supplier 158,Wardrobe,Pooja,supplier158@vendor.com,9394139905,C188,4.8,active
SUP0159,Supplier 159,Kitchen,Amit,supplier159@vendor.com,,C124,3.2,Inactive
SUP0160, Supplier 160,Flooring,Amit,supplier160@vendor.com,9996629121,C056,3.2,Inactive
SUP0161,Supplier 161,Decor,Neha,supplier161@vendor.com,9585823468,C152,3.7,active
SUP0162,Supplier 162,Plumbing,Neha,supplier162@vendor.com,9155395309,C190,3.6,Active
SUP0163,Supplier 163,Lighting,Pooja,supplier163@vendor.com,9418085385,C111,4.5,Inactive
SUP0164,Supplier 164,Lighting,Neha,supplier164@vendor.com,9309328591,C030,4,Active
SUP0165,Supplier 165,Plumbing,Neha,supplier165@vendor.com,9818877885,C206,4.5,active
SUP0166,Supplier 166,Flooring,Amit,supplier166@vendor.com,9172148023,C045,4.6,Active
SUP0167,Supplier 167,Wardrobe,Ravi,supplier167@vendor.com,9528510881,C092,3.7,Active
SUP0168,Supplier 168,Paint,Neha,supplier168@vendor.com,9204034734,C013,3.6,Inactive
SUP0169,Supplier 169,Hardware,Neha,supplier169@vendor.com,9959202553,C090,4.6,active
SUP0170,Supplier 170,Kitchen,Neha,supplier170@vendor.com,9257161982,C083,4.3,Inactive
SUP0171,Supplier 171,Hardware,Ravi,supplier171@vendor.com,9766631756,C174,3.9,active
SUP0172,Supplier 172,Wardrobe,Amit,supplier172@vendor.com,9622135083,C065,3.4,active
SUP0173,Supplier 173,Paint,Neha,supplier173@vendor.com,9913600764,C195,3.4,Inactive
SUP0174,Supplier 174,Furniture,Neha,supplier174@vendor.com,9898048032,C188,3,Active
SUP0175,Supplier 175,Lighting,Amit,supplier175@vendor.com,9566393115,C149,null,active
SUP0176,Supplier 176,Paint,Neha,supplier176@vendor.com,9484933662,C024,3.2,Active
SUP0177,Supplier 177,Furniture,Pooja,supplier177@vendor.com,9640811578,C174,3.8,active
SUP0178,Supplier 178,Decor,Neha,supplier178@vendor.com,9847101291,C220,3.9,Inactive
SUP0179,Supplier 179,Paint,Neha,supplier179@vendor.com,9850076990,C228,3.5,active
SUP0180,Supplier 180,Plumbing,Ravi,supplier180@vendor.com,9987805865,C162,3.3,Active
SUP0181,Supplier 181,Kitchen,Neha,supplier181@vendor.com,9740697334,C246,3.6,Inactive
SUP0182,Supplier 182,Furniture,Ravi,supplier182@vendor.com,9704389322,C004,3.5,Active
SUP0183,Supplier 183,Wardrobe,Neha,supplier183@vendor.com,9819875087,C151,4.9,Active
SUP0184,Supplier 184,Plumbing,Ravi,supplier184@vendor.com,9372811393,C018,4.9,Inactive
SUP0185,Supplier 185,Flooring,Ravi,,9874468994,C235,3.8,active
SUP0186,Supplier 186,Decor,Neha,supplier186@vendor.com,9887548799,C065,3.1,Active
SUP0187,Supplier 187,Decor,Ravi,supplier187@vendor.com,9738482740,C189,3.4,Inactive
SUP0188,Supplier 188,Decor,Amit,supplier188@vendor.com,9433931798,C127,4.4,Inactive
SUP0189,Supplier 189,Wardrobe,Pooja,supplier189@vendor.com,9412496141,C012,4.5,active
SUP0190,Supplier 190,Wardrobe,Pooja,supplier190@vendor.com,9473165129,C001,4.1,Inactive
SUP0191,Supplier 191,Flooring,Neha,supplier191@vendor.com,9743138785,C111,3.2,Active
SUP0192,Supplier 192,Electrical,Pooja,supplier192@vendor.com,9400934228,C232,5,active
SUP0193,Supplier 193,Decor,Pooja,supplier193@vendor.com,9104050415,C213,3.9,active
SUP0194,Supplier 194,Paint,Neha,supplier194@vendor.com,9981384096,C068,3.6,active
SUP0195,Supplier 195,Lighting,Neha,supplier195@vendor.com,9664901520,C121,3,active
SUP0196,Supplier 196,Flooring,Neha,supplier196@vendor.com,9670327940,C246,4.4,active
SUP0197,Supplier 197,Kitchen,Pooja,supplier197@vendor.com,9610643751,C234,3.6,Active
SUP0198,Supplier 198,Lighting,Neha,supplier198@vendor.com,9149782188,C231,4.4,active
SUP0199,Supplier 199,Kitchen,Amit,supplier199@vendor.com,9740938957,C200,3.7,Inactive
SUP0200, Supplier 200,Plumbing,Amit,supplier200@vendor.com,9800220231,C093,null,Inactive
SUP0201,Supplier 201,Plumbing,Amit,supplier201@vendor.com,9899565852,C124,3.8,Active
SUP0202,Supplier 202,Flooring,Neha,supplier202@vendor.com,9678524032,C228,4.1,Active
SUP0203,Supplier 203,Flooring,Amit,supplier203@vendor.com,9611981027,C071,3.8,active
SUP0204,Supplier 204,Lighting,Amit,supplier204@vendor.com,9251907013,C127,3.2,Inactive
SUP0205,Supplier 205,Wardrobe,Amit,supplier205@vendor.com,9801136935,C074,3.6,Active
SUP0206,Supplier 206,Furniture,Pooja,supplier206@vendor.com,9384488525,C138,3.8,active
SUP0207,Supplier 207,Kitchen,Amit,supplier207@vendor.com,9450528401,C031,4,Active
SUP0208,Supplier 208,Hardware,Amit,supplier208@vendor.com,9745002932,C136,4.2,Inactive
SUP0209,Supplier 209,Wardrobe,Amit,supplier209@vendor.com,9412502233,C227,4.7,Active
SUP0210,Supplier 210,Paint,Amit,supplier210@vendor.com,9460325833,C238,4.9,active
SUP0211,Supplier 211,Plumbing,Ravi,supplier211@vendor.com,9466656738,C091,4.6,Active
SUP0212,Supplier 212,Electrical,Pooja,supplier212@vendor.com,,C172,3.8,Active
SUP0213,Supplier 213,Decor,Pooja,supplier213@vendor.com,9610101057,C170,3.2,Active
SUP0214,Supplier 214,Furniture,Amit,supplier214@vendor.com,9410421206,C145,4.9,Active
SUP0215,Supplier 215,Paint,Ravi,supplier215@vendor.com,9520439165,C040,3.3,active
SUP0216,Supplier 216,Wardrobe,Pooja,supplier216@vendor.com,9336337620,C162,3.2,Inactive
SUP0217,Supplier 217,Electrical,Neha,supplier217@vendor.com,9829685507,C065,3.8,active
SUP0218,Supplier 218,Hardware,Pooja,supplier218@vendor.com,9260785513,C152,3.3,Inactive
SUP0219,Supplier 219,Hardware,Ravi,supplier219@vendor.com,9489599425,C048,3.1,Active
SUP0220,Supplier 220,Plumbing,Pooja,supplier220@vendor.com,9794978454,C050,4.8,Inactive
SUP0221,Supplier 221,Hardware,Neha,supplier221@vendor.com,9638820578,C142,4.9,Inactive
SUP0222,Supplier 222,Hardware,Amit,,9845053811,C004,4.4,active
SUP0223,Supplier 223,Furniture,Neha,supplier223@vendor.com,9854043629,C155,3.8,Active
SUP0224,Supplier 224,Flooring,Ravi,supplier224@vendor.com,9467977605,C145,3.8,active
SUP0225,Supplier 225,Electrical,Ravi,supplier225@vendor.com,9791348743,C159,null,Inactive
SUP0226,Supplier 226,Wardrobe,Amit,supplier226@vendor.com,9720473711,C001,5,Inactive
SUP0227,Supplier 227,Plumbing,Neha,supplier227@vendor.com,9135748250,C075,3.4,active
SUP0228,Supplier 228,Hardware,Amit,supplier228@vendor.com,9107175633,C080,3.3,Active
SUP0229,Supplier 229,Paint,Ravi,supplier229@vendor.com,9813328204,C103,3.9,active
SUP0230,Supplier 230,Paint,Ravi,supplier230@vendor.com,9854018092,C060,4.4,active
SUP0231,Supplier 231,Paint,Neha,supplier231@vendor.com,9909200535,C203,4.4,Inactive
SUP0232,Supplier 232,Plumbing,Amit,supplier232@vendor.com,9846157530,C197,3.8,Active
SUP0233,Supplier 233,Paint,Neha,supplier233@vendor.com,9724614287,C144,5,active
SUP0234,Supplier 234,Flooring,Amit,supplier234@vendor.com,9666128609,C232,4.8,Active
SUP0235,Supplier 235,Decor,Neha,supplier235@vendor.com,9333945723,C039,4.7,Inactive
SUP0236,Supplier 236,Plumbing,Pooja,supplier236@vendor.com,9592726717,C120,4.1,Inactive
SUP0237,Supplier 237,Lighting,Amit,supplier237@vendor.com,9690962222,C019,3.4,Active
SUP0238,Supplier 238,Paint,Neha,supplier238@vendor.com,9798645614,C220,3.8,active
SUP0239,Supplier 239,Wardrobe,Ravi,supplier239@vendor.com,9511441605,C188,5,active
SUP0240, Supplier 240,Furniture,Amit,supplier240@vendor.com,9972979670,C036,3.7,Inactive
SUP0241,Supplier 241,Hardware,Amit,supplier241@vendor.com,9833192408,C211,3.1,Active
SUP0242,Supplier 242,Decor,Amit,supplier242@vendor.com,9570110378,C093,5,Inactive
SUP0243,Supplier 243,Hardware,Ravi,supplier243@vendor.com,9625508685,C216,4.3,Active
SUP0244,Supplier 244,Kitchen,Amit,supplier244@vendor.com,9398231760,C089,3.1,Active
SUP0245,Supplier 245,Plumbing,Neha,supplier245@vendor.com,9470630839,C142,3.2,active
SUP0246,Supplier 246,Lighting,Ravi,supplier246@vendor.com,9593391111,C179,3,Active
SUP0247,Supplier 247,Hardware,Amit,supplier247@vendor.com,9135782293,C162,4.3,Inactive
SUP0248,Supplier 248,Plumbing,Ravi,supplier248@vendor.com,9207575347,C012,4.1,Inactive
SUP0249,Supplier 249,Kitchen,Pooja,supplier249@vendor.com,9536866834,C169,3.5,active
SUP0250,Supplier 250,Furniture,Ravi,supplier250@vendor.com,9535059373,C024,null,active
SUP0251,Supplier 251,Lighting,Amit,supplier251@vendor.com,9734796612,C141,3.4,Inactive
SUP0252,Supplier 252,Wardrobe,Neha,supplier252@vendor.com,9248434279,C110,4.9,Inactive
SUP0253,Supplier 253,Paint,Pooja,supplier253@vendor.com,9602293954,C117,3.6,Inactive
SUP0254,Supplier 254,Electrical,Ravi,supplier254@vendor.com,9710129558,C026,4.5,Inactive
SUP0255,Supplier 255,Kitchen,Pooja,supplier255@vendor.com,9981184832,C108,3.4,active
SUP0256,Supplier 256,Kitchen,Amit,supplier256@vendor.com,9793594498,C250,3.6,active
SUP0257,Supplier 257,Paint,Ravi,supplier257@vendor.com,9889909099,C050,3.7,Active
SUP0258,Supplier 258,Hardware,Amit,supplier258@vendor.com,9405923707,C137,3.4,active
SUP0259,Supplier 259,Kitchen,Amit,,9925828377,C171,4.1,active
SUP0260,Supplier 260,Electrical,Pooja,supplier260@vendor.com,9535234241,C014,4.3,active
SUP0261,Supplier 261,Kitchen,Neha,supplier261@vendor.com,9558242988,C135,4.3,Inactive
SUP0262,Supplier 262,Hardware,Pooja,supplier262@vendor.com,9420101547,C245,3.6,active
SUP0263,Supplier 263,Plumbing,Pooja,supplier263@vendor.com,9526755697,C114,3.3,active
SUP0264,Supplier 264,Hardware,Pooja,supplier264@vendor.com,9618590765,C220,3.9,Inactive
SUP0265,Supplier 265,Decor,Ravi,supplier265@vendor.com,,C015,4.2,Active
SUP0266,Supplier 266,Kitchen,Pooja,supplier266@vendor.com,9193539533,C006,4.6,Active
SUP0267,Supplier 267,Plumbing,Neha,supplier267@vendor.com,9264345487,C155,3.8,Inactive
SUP0268,Supplier 268,Wardrobe,Amit,supplier268@vendor.com,9818702368,C191,4.4,Inactive
SUP0269,Supplier 269,Paint,Amit,supplier269@vendor.com,9368993108,C044,4.6,Active
SUP0270,Supplier 270,Decor,Amit,supplier270@vendor.com,9130513250,C167,4.2,Active
SUP0271,Supplier 271,Plumbing,Ravi,supplier271@vendor.com,9164081156,C209,4.9,Inactive
SUP0272,Supplier 272,Hardware,Neha,supplier272@vendor.com,9560019661,C084,3.6,Inactive
SUP0273,Supplier 273,Decor,Neha,supplier273@vendor.com,9266432385,C126,4.1,Inactive
SUP0274,Supplier 274,Lighting,Amit,supplier274@vendor.com,9439725193,C072,4.3,Active
SUP0275,Supplier 275,Lighting,Amit,supplier275@vendor.com,9611970513,C188,null,Active
SUP0276,Supplier 276,Wardrobe,Neha,supplier276@vendor.com,9177573317,C082,4.9,Inactive
SUP0277,Supplier 277,Wardrobe,Amit,supplier277@vendor.com,9865161316,C135,3.6,active
SUP0278,Supplier 278,Flooring,Neha,supplier278@vendor.com,9734982862,C066,3.6,active
SUP0279,Supplier 279,Decor,Ravi,supplier279@vendor.com,9101339355,C036,4.2,Inactive
SUP0280, Supplier 280,Kitchen,Pooja,supplier280@vendor.com,9539316371,C215,4,Inactive
SUP0281,Supplier 281,Plumbing,Pooja,supplier281@vendor.com,9647227879,C142,3,active
SUP0282,Supplier 282,Lighting,Amit,supplier282@vendor.com,9357013897,C171,4.9,active
SUP0283,Supplier 283,Wardrobe,Amit,supplier283@vendor.com,9294724062,C101,3.5,active
SUP0284,Supplier 284,Wardrobe,Neha,supplier284@vendor.com,9259568482,C024,3.5,Inactive
SUP0285,Supplier 285,Kitchen,Amit,supplier285@vendor.com,9469099285,C043,4,active
SUP0286,Supplier 286,Wardrobe,Neha,supplier286@vendor.com,9629819921,C095,3.3,Active
SUP0287,Supplier 287,Wardrobe,Ravi,supplier287@vendor.com,9607207749,C180,5,active
