review_id,customer_id,project_id,review_date,rating,feedback,review_status,would_recommend
99,CUS004512,PROJ01035,06-05-2024,3,Good value.,published,Yes
100,CUS003723,PROJ00790,16-11-2024,4,Professional team.,PUBLISHED,YES
101,CUS000294,PROJ01719,11-26-2025,4,Good value.,Pending,No
102,CUS004606,PROJ03725,08-11-2024,2,null,pending,Yes
103,CUS001536,PROJ00403,14-10-2024,2,Professional team.,Published,Yes
104,CUS003537,PROJ03571,01-20-2024,5,Could improve communication.,Pending,Maybe
105,CUS000308,PROJ04794,05-08-2024,5,Could improve communication.,Pending,YES
106,CUS000790,PROJ03768,09-01-2025,5,null,PUBLISHED,YES
107,CUS003089,PROJ00565,04-20-2025,4,Professional team.,pending,Yes
108,CUS004901,PROJ02705,09-11-2025,5,null,published,Maybe
109,CUS003624,PROJ01742,23-05-2024,5,Could improve communication.,published,NO
110,CUS002189,PROJ03453,02-01-2025,4,Loved the final outcome.,Published,No
111,CUS003597,PROJ00961,13-01-2025,null,Loved the final outcome.,pending,No
112,CUS003031,PROJ00625,01-02-2025,4,Excellent workmanship.,PUBLISHED,Yes
113,CUS000100,PROJ01360,06-17-2025,3,Could improve communication.,pending,Maybe
114,CUS001576,PROJ01799,27-06-2024,3,Could improve communication.,Published,Maybe
115,CUS002897,PROJ04729,14-09-2024,2,Could improve communication.,Pending,No
116,CUS004579,PROJ03380,19-12-2024,5,Excellent workmanship.,pending,YES
117,CUS004201,PROJ02472,26-03-2025,5,null,PUBLISHED,YES
118,CUS003937,PROJ02756,02-06-2024,5,null,Published,YES
119,CUS000135,PROJ03237,28-02-2025,4,null,Pending,NO
120,CUS002668,PROJ02644,08-03-2024,4,Excellent workmanship.,published,Yes
121,CUS003225,PROJ01497,05-10-2024,2,null,pending,Yes
122,CUS003255,PROJ00332,09-08-2025,null,Professional team.,published,Maybe
123,CUS003491,PROJ02649,02-19-2025,1,null,PUBLISHED,Yes
124,CUS003732,PROJ00501,09-08-2024,4,Good value.,published,YES
125,CUS004814,PROJ04355,02-24-2025,5,Loved the final outcome.,pending,Maybe
126,CUS003167,PROJ00728,27-09-2024,3,Good value.,pending,Maybe
127,CUS002392,PROJ00059,11-03-2024,2,Excellent workmanship.,Published,YES
128,CUS000025,PROJ03545,06-19-2025,2,Could improve communication.,Published,YES
129,CUS001352,PROJ01694,05-02-2025,5,Could improve communication.,Published,Yes
130,CUS001601,PROJ02071,05-08-2025,5,Could improve communication.,Published,NO
131,CUS000439,PROJ03468,18-06-2025,1,null,pending,NO
132,CUS001427,PROJ00939,22-08-2024,4,Professional team.,pending,Maybe
133,CUS004012,PROJ00824,10-04-2024,4,Loved the final outcome.,Published,No
134,CUS001030,PROJ03541,09-04-2025,2,Excellent workmanship.,Published,Maybe
135,CUS002702,PROJ01175,19-06-2025,4,null,published,No
136,CUS003097,PROJ00941,22-02-2025,4,null,pending,No
137,CUS003061,PROJ02173,09-24-2024,3,Could improve communication.,PUBLISHED,NO
138,CUS004696,PROJ02095,27-07-2024,5,Good value.,published,No
139,CUS001449,PROJ03881,07-26-2025,3,Could improve communication.,PUBLISHED,NO
140,CUS004474,PROJ01914,05-21-2024,2,Good value.,published,Yes
141,CUS003085,PROJ02889,08-07-2024,3,Could improve communication.,pending,Yes
142,CUS001183,PROJ01895,13-06-2024,5,Excellent workmanship.,published,NO
143,CUS002298,PROJ01456,06-09-2025,3,Loved the final outcome.,PUBLISHED,Yes
144,CUS003862,PROJ04632,15-09-2025,4,Could improve communication.,pending,No
145,CUS000770,PROJ04043,03-09-2025,2,null,Pending,NO
146,CUS003826,PROJ03987,11-01-2024,5,Professional team.,published,Yes
147,CUS001076,PROJ04736,09-05-2025,2,Could improve communication.,published,Yes
148,CUS000038,PROJ02940,03-01-2025,2,Excellent workmanship.,PUBLISHED,NO
149,CUS000720,PROJ04651,12-27-2024,5,Loved the final outcome.,pending,Yes
150,CUS004216,PROJ04828,11-03-2024,5,Could improve communication.,PUBLISHED,No
151,CUS001680,PROJ00844,10-10-2024,2,Good value.,Pending,Maybe
152,CUS003477,PROJ00948,05-01-2024,5,Excellent workmanship.,pending,Yes
153,CUS003515,PROJ01147,30-05-2025,2,Could improve communication.,PUBLISHED,Maybe
154,CUS001644,PROJ03814,11-08-2025,4,Could improve communication.,Pending,YES
155,CUS002631,PROJ04859,13-12-2024,5,Excellent workmanship.,Pending,Yes
156,CUS002702,PROJ02798,21-09-2024,2,null,published,No
157,CUS003956,PROJ01693,26-02-2025,1,null,PUBLISHED,YES
158,CUS004105,PROJ00779,21-10-2024,3,Excellent workmanship.,pending,YES
159,CUS003049,PROJ04594,02-05-2025,5,Professional team.,published,YES
160,CUS001636,PROJ00121,05-25-2025,2,Professional team.,published,YES
161,CUS003772,PROJ03904,26-07-2024,3,Loved the final outcome.,Published,Yes
162,CUS002843,PROJ01673,03-21-2024,4,Could improve communication.,Published,Maybe
163,CUS003283,PROJ01081,13-02-2024,3,Good value.,pending,No
164,CUS000596,PROJ00884,17-05-2025,5,Professional team.,Pending,YES
165,CUS000019,PROJ04027,13-08-2025,null,Good value.,Pending,Maybe
166,CUS003612,PROJ03281,02-03-2024,2,Good value.,Published,Maybe
167,CUS002938,PROJ00152,16-04-2025,1,null,published,NO
168,CUS002792,PROJ01243,17-08-2025,5,Professional team.,published,Maybe
169,CUS000371,PROJ02748,26-09-2024,5,Professional team.,PUBLISHED,YES
170,CUS001737,PROJ01002,25-05-2025,3,Professional team.,Pending,No
171,CUS001200,PROJ03183,06-04-2025,5,null,published,Yes
172,CUS002777,PROJ04721,03-10-2024,4,Loved the final outcome.,published,YES
173,CUS002838,PROJ02392,29-04-2025,4,Loved the final outcome.,pending,Maybe
174,CUS000526,PROJ01772,19-11-2024,5,Could improve communication.,Published,NO
175,CUS004293,PROJ01844,04-11-2024,2,Professional team.,Pending,Yes
176,CUS000202,PROJ01334,04-05-2025,3,Professional team.,pending,Maybe
177,CUS000505,PROJ04312,20-09-2024,null,Excellent workmanship.,PUBLISHED,Maybe
178,CUS003481,PROJ03732,07-22-2024,5,Loved the final outcome.,PUBLISHED,No
179,CUS004293,PROJ01844,11-28-2024,4,Excellent workmanship.,Pending,Maybe
180,CUS004955,PROJ03684,20-10-2024,2,Loved the final outcome.,PUBLISHED,NO
181,CUS003170,PROJ04315,10-08-2025,5,Excellent workmanship.,published,No
182,CUS003927,PROJ02735,21-08-2024,3,null,PUBLISHED,Maybe
183,CUS001887,PROJ01107,22-10-2025,4,Professional team.,pending,Maybe
184,CUS000722,PROJ00053,06-04-2025,5,Loved the final outcome.,published,No
185,CUS000003,PROJ00013,22-03-2024,5,Excellent workmanship.,Published,NO
186,CUS002586,PROJ00691,15-07-2025,null,Good value.,pending,Yes
187,CUS002708,PROJ03428,16-04-2024,1,null,Pending,No
188,CUS004460,PROJ00746,22-08-2024,4,null,published,YES
189,CUS002447,PROJ04585,23-06-2025,null,null,PUBLISHED,No
190,CUS002298,PROJ00951,02-05-2025,5,Professional team.,pending,NO
191,CUS002105,PROJ03463,05-18-2024,5,Could improve communication.,Pending,Maybe
192,CUS000285,PROJ01696,03-21-2025,5,Professional team.,PUBLISHED,NO
193,CUS003974,PROJ02188,06-07-2025,4,Professional team.,PUBLISHED,NO
194,CUS003678,PROJ00675,23-09-2024,2,Could improve communication.,published,No
195,CUS002793,PROJ01289,20-10-2024,4,Good value.,PUBLISHED,Yes
196,CUS003022,PROJ04896,16-03-2025,2,Could improve communication.,PUBLISHED,YES
197,CUS004416,PROJ00433,02-25-2025,2,Loved the final outcome.,Pending,NO
198,CUS001606,PROJ00507,13-08-2024,null,null,published,Maybe
199,CUS004121,PROJ04457,09-19-2025,3,null,pending,No
200,CUS003097,PROJ03020,26-02-2025,2,Loved the final outcome.,PUBLISHED,Yes
201,CUS001243,PROJ03169,14-10-2025,3,null,pending,NO
202,CUS003142,PROJ03234,11-07-2024,null,Excellent workmanship.,pending,Yes
203,CUS002016,PROJ01279,09-07-2024,2,null,Pending,Yes
204,CUS003874,PROJ04775,26-08-2024,4,Loved the final outcome.,PUBLISHED,NO
205,CUS004105,PROJ00779,15-11-2024,4,null,Published,No
206,CUS002588,PROJ01760,23-03-2024,null,Good value.,Published,Maybe
207,CUS002524,PROJ03967,26-04-2025,3,Good value.,Published,Yes
208,CUS004757,PROJ01842,11-09-2024,4,Loved the final outcome.,Published,YES
209,CUS004538,PROJ03009,04-16-2025,5,null,published,NO
210,CUS003217,PROJ00962,02-02-2025,3,Loved the final outcome.,Published,Maybe
211,CUS003450,PROJ03392,17-06-2025,3,Loved the final outcome.,PUBLISHED,Yes
212,CUS004325,PROJ01095,13-11-2025,2,null,Pending,No
213,CUS001822,PROJ04203,16-01-2024,5,Excellent workmanship.,Pending,YES
214,CUS002382,PROJ03067,10-01-2024,4,null,pending,YES
215,CUS002452,PROJ03334,15-01-2025,4,Excellent workmanship.,pending,No
216,CUS001103,PROJ01783,02-10-2025,null,null,published,Maybe
217,CUS003100,PROJ00554,19-04-2024,3,Could improve communication.,PUBLISHED,NO
218,CUS000199,PROJ01857,16-07-2024,3,null,published,No
219,CUS001559,PROJ04745,10-02-2024,5,Professional team.,pending,NO
220,CUS003806,PROJ04456,07-13-2024,3,Professional team.,Pending,No
221,CUS001067,PROJ00255,09-05-2025,5,Loved the final outcome.,Pending,No
222,CUS002242,PROJ01259,09-26-2024,1,null,pending,NO
223,CUS002880,PROJ04644,08-07-2024,3,Could improve communication.,published,No
224,CUS000753,PROJ03006,03-05-2024,4,Loved the final outcome.,pending,NO
225,CUS001822,PROJ04203,18-07-2025,3,Good value.,PUBLISHED,Yes
226,CUS001958,PROJ04860,04-08-2024,5,Loved the final outcome.,published,Yes
227,CUS003617,PROJ03264,25-07-2024,1,Excellent workmanship.,pending,NO
228,CUS003094,PROJ04576,04-11-2025,5,Professional team.,Published,No
229,CUS000631,PROJ04177,08-14-2024,5,Loved the final outcome.,Pending,Yes
230,CUS000410,PROJ01908,04-24-2025,null,Could improve communication.,Pending,No
231,CUS000155,PROJ01597,02-29-2024,1,null,Published,No
232,CUS004968,PROJ02895,20-03-2024,5,Excellent workmanship.,published,Maybe
233,CUS000827,PROJ01596,29-01-2025,2,Could improve communication.,published,Maybe
234,CUS001726,PROJ02440,25-07-2025,5,Professional team.,Pending,NO
235,CUS003219,PROJ00589,16-04-2024,5,Good value.,pending,No
236,CUS004076,PROJ04687,04-11-2025,5,Good value.,PUBLISHED,No
237,CUS001195,PROJ03066,17-07-2025,4,null,Pending,No
238,CUS003154,PROJ00953,15-09-2025,2,Good value.,pending,No
239,CUS004209,PROJ00983,03-01-2025,4,Excellent workmanship.,Published,No
240,CUS000669,PROJ02014,02-09-2025,3,Excellent workmanship.,PUBLISHED,YES
241,CUS001665,PROJ00305,07-08-2024,null,null,PUBLISHED,Maybe
242,CUS002012,PROJ01554,06-07-2025,5,Loved the final outcome.,Published,Yes
243,CUS001143,PROJ03598,16-04-2025,3,Professional team.,pending,YES
244,CUS000058,PROJ03085,26-08-2024,3,Could improve communication.,Pending,Maybe
245,CUS002960,PROJ01871,08-10-2024,null,Professional team.,Pending,YES
246,CUS001717,PROJ00096,05-14-2025,3,Could improve communication.,PUBLISHED,Yes
247,CUS000298,PROJ04301,13-08-2025,null,Excellent workmanship.,PUBLISHED,No
248,CUS001672,PROJ02056,20-03-2025,5,Loved the final outcome.,pending,Yes
249,CUS004935,PROJ02861,10-11-2025,3,Could improve communication.,Published,No
250,CUS003421,PROJ02676,07-06-2025,5,null,published,YES
251,CUS004233,PROJ02215,02-21-2024,4,Good value.,pending,Maybe
252,CUS002910,PROJ03350,31-05-2025,3,Good value.,published,YES
253,CUS004705,PROJ01097,10-12-2024,3,Could improve communication.,Pending,No
254,CUS002876,PROJ04949,28-03-2024,2,Loved the final outcome.,Pending,Maybe
255,CUS000151,PROJ00098,21-07-2024,5,Loved the final outcome.,pending,Maybe
256,CUS001133,PROJ00632,20-06-2025,3,Good value.,PUBLISHED,Maybe
257,CUS001617,PROJ04970,01-04-2024,4,Professional team.,PUBLISHED,YES
258,CUS004355,PROJ01283,24-11-2024,4,Professional team.,published,No
259,CUS003190,PROJ00895,23-09-2025,4,Excellent workmanship.,published,YES
260,CUS001759,PROJ04289,17-01-2025,5,Excellent workmanship.,Published,YES
261,CUS001155,PROJ00722,27-09-2025,3,Excellent workmanship.,PUBLISHED,Yes
262,CUS001979,PROJ03531,08-11-2024,3,Loved the final outcome.,pending,YES
263,CUS001334,PROJ02835,07-27-2024,3,Could improve communication.,Pending,Maybe
264,CUS002474,PROJ02690,05-24-2024,4,Good value.,pending,Maybe
265,CUS004327,PROJ02832,14-02-2024,3,Loved the final outcome.,pending,No
266,CUS001431,PROJ02269,24-02-2024,5,Excellent workmanship.,Pending,No
267,CUS002397,PROJ00498,11-09-2025,5,Excellent workmanship.,PUBLISHED,NO
268,CUS000903,PROJ02293,24-08-2024,5,Professional team.,Pending,Maybe
269,CUS003395,PROJ00318,28-06-2025,5,Good value.,pending,Yes
270,CUS003513,PROJ00843,10-02-2024,3,Professional team.,Pending,NO
271,CUS002507,PROJ02261,09-06-2024,3,Professional team.,PUBLISHED,YES
272,CUS004232,PROJ00216,28-05-2025,3,Good value.,Published,Maybe
273,CUS000155,PROJ03602,13-10-2024,4,null,published,Yes
274,CUS000435,PROJ02288,01-26-2025,5,null,published,NO
275,CUS002429,PROJ00934,09-03-2024,3,Could improve communication.,PUBLISHED,NO
276,CUS003395,PROJ02210,09-07-2025,2,Could improve communication.,pending,YES
277,CUS001621,PROJ04265,21-05-2024,5,Loved the final outcome.,Pending,YES
278,CUS002211,PROJ03417,11-02-2025,3,Excellent workmanship.,pending,Maybe
279,CUS000965,PROJ01920,01-05-2024,2,null,Published,No
280,CUS000640,PROJ04138,27-02-2025,3,Loved the final outcome.,published,Yes
281,CUS004181,PROJ02929,14-05-2024,null,Could improve communication.,pending,No
282,CUS004191,PROJ01854,09-12-2025,5,Loved the final outcome.,published,Yes
283,CUS001888,PROJ03925,02-01-2025,4,Loved the final outcome.,pending,Maybe
284,CUS000160,PROJ02356,04-25-2025,2,Good value.,Pending,NO
285,CUS001846,PROJ03404,20-05-2024,3,Good value.,Published,No
286,CUS000570,PROJ02412,26-02-2025,2,Loved the final outcome.,Published,YES
287,CUS004895,PROJ01024,03-25-2025,3,Good value.,published,NO
288,CUS004245,PROJ01327,18-02-2025,4,null,PUBLISHED,NO
289,CUS002185,PROJ02427,09-18-2025,5,Could improve communication.,Published,Maybe
290,CUS000672,PROJ03669,21-04-2024,5,Loved the final outcome.,pending,Maybe
291,CUS000294,PROJ01719,02-09-2025,null,Good value.,pending,Yes
292,CUS003751,PROJ03726,13-07-2024,3,Professional team.,Pending,YES
293,CUS000890,PROJ02655,08-03-2025,1,null,pending,YES
294,CUS002492,PROJ03917,04-19-2025,5,Excellent workmanship.,published,Maybe
295,CUS000527,PROJ02366,13-07-2025,3,Good value.,Published,YES
296,CUS001362,PROJ01949,04-09-2025,2,Good value.,Published,No
297,CUS002453,PROJ01225,11-27-2024,2,null,Published,Yes
298,CUS002399,PROJ01325,04-26-2024,3,Excellent workmanship.,pending,NO
299,CUS003742,PROJ04055,06-07-2025,4,Could improve communication.,Pending,Yes
300,CUS002292,PROJ00397,23-06-2024,2,Loved the final outcome.,published,YES
301,CUS000981,PROJ00698,22-02-2024,4,Professional team.,published,Yes
302,CUS000459,PROJ01479,14-05-2024,null,Professional team.,Published,NO
303,CUS004655,PROJ01813,24-05-2025,2,Could improve communication.,Pending,YES
304,CUS001861,PROJ00621,08-10-2024,4,Good value.,Pending,Yes
305,CUS002141,PROJ00831,09-07-2025,null,Could improve communication.,PUBLISHED,Maybe
306,CUS000811,PROJ00705,10-05-2025,2,Excellent workmanship.,published,YES
307,CUS004794,PROJ03700,02-26-2024,2,Excellent workmanship.,pending,Maybe
308,CUS003325,PROJ01271,01-11-2024,5,Excellent workmanship.,Pending,YES
309,CUS004545,PROJ04259,06-14-2024,5,Could improve communication.,pending,YES
310,CUS004807,PROJ01114,04-11-2025,5,Excellent workmanship.,PUBLISHED,No
311,CUS004874,PROJ00324,12-01-2025,4,Could improve communication.,Published,No
312,CUS003112,PROJ01972,27-04-2025,3,Professional team.,pending,NO
313,CUS001761,PROJ01632,21-06-2025,5,Excellent workmanship.,Published,Maybe
314,CUS000132,PROJ03771,10-06-2025,4,null,pending,No
315,CUS000439,PROJ03468,03-13-2025,3,Could improve communication.,pending,Maybe
316,CUS000295,PROJ00313,28-12-2024,4,Could improve communication.,Pending,NO
317,CUS001620,PROJ04545,07-03-2024,3,Loved the final outcome.,Published,Yes
318,CUS002893,PROJ01347,25-01-2024,1,null,published,Maybe
319,CUS003591,PROJ04431,28-02-2025,null,Professional team.,pending,YES
320,CUS002520,PROJ01787,01-12-2024,3,Professional team.,Published,No
321,CUS002531,PROJ02042,11-03-2024,5,Excellent workmanship.,PUBLISHED,No
322,CUS001991,PROJ04334,02-09-2025,5,Loved the final outcome.,published,No
323,CUS002828,PROJ02888,12-12-2024,4,Excellent workmanship.,published,NO
324,CUS004840,PROJ04986,06-08-2024,5,Professional team.,Pending,NO
325,CUS001639,PROJ01991,02-27-2024,3,Could improve communication.,pending,Yes
326,CUS003107,PROJ01563,08-01-2024,3,Excellent workmanship.,published,No
327,CUS001460,PROJ01927,01-02-2024,5,Loved the final outcome.,pending,Maybe
328,CUS004076,PROJ02301,02-02-2025,3,null,PUBLISHED,Yes
329,CUS001802,PROJ02746,05-10-2024,2,Professional team.,Pending,No
330,CUS001874,PROJ01260,08-09-2024,4,Professional team.,Published,YES
331,CUS001520,PROJ00602,04-04-2024,4,Could improve communication.,published,YES
332,CUS003429,PROJ04900,14-12-2024,5,Professional team.,PUBLISHED,YES
333,CUS002326,PROJ02845,04-10-2024,2,Loved the final outcome.,Published,NO
334,CUS001729,PROJ03565,01-31-2025,5,Excellent workmanship.,PUBLISHED,Yes
335,CUS003090,PROJ01148,31-08-2025,5,Excellent workmanship.,pending,No
336,CUS003692,PROJ00996,01-24-2024,2,Professional team.,published,YES
337,CUS003112,PROJ01972,20-10-2024,4,null,Published,No
338,CUS004414,PROJ02604,01-06-2024,1,Could improve communication.,pending,Maybe
339,CUS002397,PROJ00498,14-04-2024,5,Professional team.,PUBLISHED,YES
340,CUS004367,PROJ02933,10-17-2024,3,Professional team.,pending,No
341,CUS000933,PROJ00084,07-07-2025,null,Excellent workmanship.,Pending,Yes
342,CUS000485,PROJ03638,18-04-2024,null,Good value.,Pending,YES
343,CUS003854,PROJ01362,09-02-2025,4,Could improve communication.,PUBLISHED,No
344,CUS000109,PROJ00382,06-12-2024,5,Excellent workmanship.,Pending,Maybe
345,CUS002161,PROJ04110,14-05-2024,4,Excellent workmanship.,Pending,No
346,CUS003665,PROJ00430,12-01-2025,4,Good value.,published,YES
347,CUS002086,PROJ00301,05-27-2024,3,Good value.,published,No
348,CUS002600,PROJ03161,28-11-2024,3,Good value.,Published,No
349,CUS001352,PROJ03959,05-05-2025,3,Professional team.,pending,Maybe
350,CUS003064,PROJ04495,05-10-2024,4,Professional team.,pending,Yes
351,CUS004447,PROJ01374,11-05-2024,5,Good value.,published,Maybe
352,CUS004671,PROJ02362,09-06-2024,4,Good value.,Published,No
353,CUS002523,PROJ03127,08-01-2024,4,Could improve communication.,PUBLISHED,Maybe
354,CUS002597,PROJ01910,29-08-2024,1,null,pending,NO
355,CUS001908,PROJ00366,04-27-2024,3,Could improve communication.,Published,NO
356,CUS001103,PROJ01783,29-06-2024,2,Could improve communication.,Published,Maybe
357,CUS000255,PROJ01296,23-01-2025,5,Excellent workmanship.,published,YES
358,CUS000565,PROJ00955,08-17-2025,2,null,published,NO
359,CUS001014,PROJ04940,28-06-2025,5,Good value.,published,YES
360,CUS003333,PROJ00505,28-11-2025,3,Good value.,PUBLISHED,Yes
361,CUS004875,PROJ04318,19-08-2025,5,Good value.,published,No
362,CUS002020,PROJ01489,04-03-2024,5,Excellent workmanship.,pending,No
363,CUS001206,PROJ04029,22-04-2024,2,Good value.,pending,NO
364,CUS004873,PROJ00590,02-10-2025,4,Good value.,Pending,Maybe
365,CUS001973,PROJ00412,08-04-2024,2,Loved the final outcome.,pending,NO
366,CUS004498,PROJ00561,03-01-2025,2,Loved the final outcome.,Published,Yes
