project_id,customer_id,designer_id,city_id,project_type,start_date,completion_date,project_status,project_budget
PROJ00056,CUS000165,DES129,C069,2BHK,2024-09-17,2025-05-08,completed,1253860
PROJ00057,CUS002530,DES150,C128,Villa,2024-10-23,2025-08-01,Completed,811245
PROJ00058,CUS004075,DES147,C117,Office,2024-08-24,2025-05-27,completed,3323266
PROJ00059,CUS002392,DES103,C048,3BHK,2024-08-02,2025-05-06,Installation,4389332
PROJ00060,CUS003981,DES096,C090,Kitchen,22/08/2024,2025-05-11,Installation,3228019
PROJ00061,CUS000658,DES057,C111,2BHK,2024-04-04,2025-02-17,Planning,1377513
PROJ00062,CUS000809,DES121,C077,3BHK,2024-02-10,2025-03-20,Delayed,2956110
PROJ00063,CUS000603,DES030,C005,Kitchen,2024-08-04,2025-01-19,Installation,1743287
PROJ00064,CUS001107,DES146,C010,2BHK,2024-04-17,2025-05-22,Installation,3083525
PROJ00065,CUS003511,DES017,C161,Office,2024-01-14,2025-02-21,Delayed,3664233
PROJ00066,CUS004490,DES011,C048,Office,2024-02-03,2025-02-13,Design Phase,1706282
PROJ00067,CUS001951,DES041,C188,Villa,2024-10-13,2025-12-27,Design Phase,3632215
PROJ00068,CUS003767,DES067,C161,Kitchen,2024-05-21,2025-05-14,Design Phase,2878820
PROJ00069,CUS000101,DES034,C238,Office,2024-08-15,2025-09-20,Delayed,1313868
PROJ00070,CUS000498,DES009,C148,3BHK,2024-10-28,2025-07-18,Installation,2626936
PROJ00071,CUS001447,DES020,C158,3BHK,2024-10-04,2025-03-06,Delayed,3684651
PROJ00072,CUS004225,DES055,C219,Villa,2024-04-10,2025-04-14,Planning,3699468
PROJ00073,CUS002211,DES077,C188,2BHK,2024-09-20,2025-10-02,completed,1381130
PROJ00074,CUS004733,DES121,C190,Kitchen,2024-06-15,2025-05-08,Planning,4025282
PROJ00075,CUS004995,DES128,C157,Office,2024-07-26,2025-08-24,Design Phase,290540
PROJ00076,CUS001530,DES038,C031,Villa,2024-11-19,2025-08-22,Design Phase,2372716
PROJ00077,CUS004113,DES075,C240,2BHK,2024-02-18,2025-09-01,Installation,2455205
PROJ00078,CUS004727,DES051,C077,Villa,2024-09-22,2025-11-23,Planning,2973825
PROJ00079,CUS002211,DES111,C078,Kitchen,2024-11-17,2025-06-17,completed,325780
PROJ00080,CUS001090,DES021,C195,Office,2024-03-28,2025-04-27,Delayed,2694948
PROJ00081,CUS001969,DES004,C237,Villa,2024-02-07,2025-07-24,Installation,455748
PROJ00082,CUS004253,DES112,C242,Kitchen,2024-10-27,,Delayed,2020455
PROJ00083,CUS000276,DES137,C238,2BHK,2024-01-14,2025-05-21,Design Phase,4775356
PROJ00084,CUS000933,DES128,C233,Kitchen,2024-12-24,2025-11-06,Delayed,1596965
PROJ00085,CUS003929,DES097,C192,Kitchen,2024-03-21,,Installation,2038653
PROJ00086,CUS004292,DES010,C211,3BHK,2024-06-01,,Completed,4937743
PROJ00087,CUS001619,DES052,C238,Villa,2024-11-10,,Planning,2465601
PROJ00088,CUS000244,DES109,C113,Kitchen,2024-06-04,2025-09-14,Installation,4710017
PROJ00089,CUS003566,DES032,C206,Kitchen,2024-07-01,2025-11-12,Planning,1172674
PROJ00090,CUS004323,DES082,C051,Villa,11/06/2024,2025-03-14,Delayed,3923564
PROJ00091,CUS002976,DES073,C085,Office,2024-07-03,2025-04-06,Design Phase,4527662
PROJ00092,CUS004053,DES114,C002,Kitchen,2024-10-28,2025-05-23,completed,1700433
PROJ00093,CUS000992,DES071,C050,Kitchen,2024-06-28,2025-05-17,completed,3096909
PROJ00094,CUS001425,DES143,C185,3BHK,2024-07-22,2025-04-06,completed,4153091
PROJ00095,CUS000428,DES078,C015,3BHK,2024-05-23,2025-02-18,Delayed,2212444
PROJ00096,CUS001717,DES054,C013,Kitchen,2024-01-10,2025-06-05,Installation,1989665
PROJ00097,CUS002633,DES078,C085,3BHK,2024-12-25,2025-08-03,Installation,288231
PROJ00098,CUS000151,DES083,C140,3BHK,2024-07-08,2025-12-24,completed,2753002
PROJ00099,CUS004376,DES054,C142,2BHK,2024-01-15,2025-02-19,Planning,4885010
PROJ00100,CUS001990,DES119,C163,3BHK,2024-05-12,2025-09-22,Installation,2630369
PROJ00101,CUS004116,DES001,C228,Kitchen,2024-12-10,,Delayed,3186033
PROJ00102,CUS003074,DES117,C058,Kitchen,2024-08-13,2025-02-02,Completed,4702418
PROJ00103,CUS002859,DES024,C190,Villa,2024-02-10,2025-07-05,Delayed,3620311
PROJ00104,CUS004293,DES064,C133,Villa,2024-10-01,,Design Phase,2980300
PROJ00105,CUS004309,DES097,C229,Office,2024-01-13,2025-12-17,completed,1444604
PROJ00106,CUS004553,DES060,C058,3BHK,2024-01-27,2025-09-05,completed,1742276
PROJ00107,CUS002315,DES058,C101,2BHK,2024-04-21,2025-11-08,Completed,4866765
PROJ00108,CUS004715,DES086,C186,Office,2024-10-11,,Planning,3221704
PROJ00109,CUS004811,DES088,C209,3BHK,2024-05-07,2025-11-22,Design Phase,2075488
PROJ00110,CUS001428,DES138,C031,Villa,2024-07-04,2025-05-04,Installation,2669531
PROJ00111,CUS004420,DES069,C044,2BHK,2024-01-05,2025-07-20,Delayed,1249767
PROJ00112,CUS001689,DES071,C025,3BHK,2024-05-09,2025-03-16,Planning,2837638
PROJ00113,CUS004230,DES106,C197,Kitchen,2024-11-27,,Delayed,3196371
PROJ00114,CUS004028,DES074,C017,2BHK,2024-11-22,2025-03-16,Delayed,3164933
PROJ00115,CUS003677,DES122,C244,3BHK,2024-05-03,,Planning,1752559
PROJ00116,CUS001192,DES039,C224,Office,2024-11-08,2025-02-04,Delayed,1056244
PROJ00117,CUS001073,DES003,C143,3BHK,2024-12-10,2025-05-16,Delayed,1174621
PROJ00118,CUS000284,DES035,C200,Office,2024-01-10,2025-07-24,Delayed,1346755
PROJ00119,CUS003067,DES089,C240,Villa,2024-12-25,2025-04-09,completed,1061769
PROJ00120,CUS001335,DES021,C213,Villa,27/06/2024,2025-07-11,Planning,1199627
PROJ00121,CUS001636,DES061,C227,2BHK,2024-02-15,2025-06-16,Delayed,1922635
PROJ00122,CUS001762,DES076,C041,Office,2024-01-16,2025-06-12,Planning,1261559
PROJ00123,CUS000364,DES005,C248,2BHK,2024-06-25,2025-02-14,Delayed,4843187
PROJ00124,CUS004210,DES083,C035,Kitchen,2024-04-27,2025-02-15,Completed,826317
PROJ00125,CUS004616,DES014,C211,Office,2024-06-08,2025-04-08,completed,3205138
PROJ00126,CUS002741,DES039,C115,Villa,2024-03-17,2025-08-19,Completed,2277726
PROJ00127,CUS003628,DES087,C161,3BHK,2024-11-27,,completed,2543947
PROJ00128,CUS003285,DES013,C186,Villa,2024-04-28,,Design Phase,1604888
PROJ00129,CUS001609,DES003,C120,3BHK,2024-02-26,,completed,688184
PROJ00130,CUS004252,DES035,C063,3BHK,2024-09-05,2025-10-17,Planning,440372
PROJ00131,CUS004559,DES098,C049,Office,2024-10-14,2025-08-06,completed,2323235
PROJ00132,CUS002337,DES006,C167,Villa,2024-04-01,,Design Phase,1605127
PROJ00133,CUS002618,DES003,C228,Villa,2024-11-05,,Installation,3133477
PROJ00134,CUS001453,DES010,C190,3BHK,2024-04-20,,Installation,3773413
PROJ00135,CUS001636,DES136,C167,Kitchen,2024-05-02,2025-09-04,Delayed,419156
PROJ00136,CUS003501,DES114,C047,Villa,2024-04-06,2025-10-06,completed,1041887
PROJ00137,CUS000856,DES063,C170,3BHK,2024-04-28,2025-07-12,Delayed,1159207
PROJ00138,CUS002130,DES011,C037,2BHK,2024-01-04,2025-07-28,Completed,971998
PROJ00139,CUS004726,DES041,C222,3BHK,2024-12-07,2025-11-05,Delayed,3798095
PROJ00140,CUS002005,DES051,C231,Office,2024-04-10,2025-06-17,Delayed,1730278
PROJ00141,CUS003195,DES120,C236,Office,2024-08-07,2025-07-07,Completed,765877
PROJ00142,CUS003920,DES016,C073,2BHK,2024-05-06,2025-07-18,Design Phase,4539153
PROJ00143,CUS004995,DES142,C157,Villa,2024-08-09,2025-03-15,Planning,3263907
PROJ00144,CUS001184,DES101,C136,Kitchen,2024-07-02,,completed,2682530
PROJ00145,CUS002222,DES116,C156,Villa,2024-04-16,2025-10-26,Design Phase,1692953
PROJ00146,CUS004586,DES145,C231,3BHK,2024-09-27,2025-10-06,Delayed,2635900
PROJ00147,CUS003224,DES136,C237,2BHK,2024-05-25,,Delayed,1046817
PROJ00148,CUS004831,DES096,C041,3BHK,2024-03-04,2025-12-07,Completed,1806368
PROJ00149,CUS002936,DES015,C020,3BHK,2024-12-10,2025-06-13,Installation,4976469
PROJ00150,CUS001449,DES145,C206,3BHK,23/07/2024,,Installation,2406302
PROJ00151,CUS004907,DES149,C136,3BHK,2024-03-18,2025-12-11,Completed,1189729
PROJ00152,CUS002938,DES032,C149,Kitchen,2024-05-17,,Planning,3697721
PROJ00153,CUS002579,DES087,C017,Kitchen,2024-11-07,,completed,1268165
PROJ00154,CUS002590,DES061,C202,Kitchen,2024-12-09,2025-05-17,Design Phase,3638943
PROJ00155,CUS002844,DES036,C102,2BHK,2024-05-12,,Installation,3600576
PROJ00156,CUS000062,DES022,C062,Office,2024-09-12,2025-05-19,Planning,1142403
PROJ00157,CUS004144,DES064,C034,2BHK,2024-11-19,,Installation,1092026
PROJ00158,CUS001304,DES125,C019,Villa,2024-05-20,2025-12-06,Delayed,985568
PROJ00159,CUS003040,DES126,C007,Office,2024-06-06,2025-05-21,Planning,4385543
PROJ00160,CUS004447,DES087,C021,3BHK,2024-02-18,,Design Phase,3848811
PROJ00161,CUS001072,DES066,C225,3BHK,2024-04-12,2025-02-01,Planning,3899443
PROJ00162,CUS002021,DES134,C203,2BHK,2024-01-09,2025-03-04,Completed,4324379
PROJ00163,CUS000304,DES132,C085,Villa,2024-02-06,2025-07-10,Completed,3114935
PROJ00164,CUS001193,DES116,C182,Office,2024-07-18,2025-10-01,Delayed,1712662
PROJ00165,CUS001445,DES127,C138,Kitchen,2024-10-10,2025-02-13,Installation,2706460
PROJ00166,CUS002020,DES029,C194,Office,2024-11-16,2025-07-03,Installation,556447
PROJ00167,CUS004097,DES015,C072,2BHK,2024-09-11,2025-09-25,Design Phase,1594629
PROJ00168,CUS001991,DES003,C054,Villa,2024-11-19,2025-06-09,Completed,3472999
PROJ00169,CUS003940,DES123,C011,Villa,2024-01-03,,Installation,2689990
PROJ00170,CUS003857,DES129,C097,Office,2024-03-07,2025-12-27,Installation,1863477
PROJ00171,CUS001414,DES051,C128,Office,2024-02-25,2025-09-28,Design Phase,4785901
PROJ00172,CUS002637,DES104,C091,3BHK,2024-04-25,2025-10-20,completed,1270807
PROJ00173,CUS003228,DES129,C160,3BHK,2024-02-06,2025-12-19,Delayed,671318
PROJ00174,CUS002870,DES145,C037,Office,2024-07-17,2025-06-12,Planning,929773
PROJ00175,CUS002592,DES085,C100,Villa,2024-11-22,2025-02-02,completed,4477101
PROJ00176,CUS004422,DES045,C132,Villa,2024-10-24,2025-04-20,Completed,3552273
PROJ00177,CUS000521,DES052,C247,Villa,2024-10-23,2025-07-22,Installation,1076776
PROJ00178,CUS004568,DES102,C180,Kitchen,2024-08-22,2025-02-08,completed,2492080
PROJ00179,CUS000715,DES033,C055,2BHK,2024-05-12,2025-05-05,completed,3102377
PROJ00180,CUS000731,DES141,C206,Office,23/10/2024,2025-02-15,Design Phase,4367176
PROJ00181,CUS003327,DES102,C077,3BHK,2024-06-21,2025-04-02,Planning,584333
PROJ00182,CUS003957,DES146,C095,Kitchen,2024-09-02,2025-09-20,Installation,2009544
PROJ00183,CUS004985,DES116,C121,Office,2024-03-03,2025-04-11,Design Phase,582278
PROJ00184,CUS000583,DES038,C079,Villa,2024-02-03,2025-02-05,completed,3859719
PROJ00185,CUS003448,DES022,C225,3BHK,2024-01-21,2025-02-24,Delayed,4561128
PROJ00186,CUS004876,DES041,C246,3BHK,2024-05-12,2025-04-21,Completed,2994255
PROJ00187,CUS002674,DES090,C066,Office,2024-02-09,2025-10-03,Installation,1124262
PROJ00188,CUS001331,DES020,C117,Kitchen,2024-05-14,2025-05-28,completed,4770958
PROJ00189,CUS004912,DES048,C109,Kitchen,2024-08-28,2025-05-17,Installation,4996034
PROJ00190,CUS003406,DES027,C132,3BHK,2024-05-14,2025-02-28,Completed,4476336
PROJ00191,CUS001601,DES019,C204,Villa,2024-06-15,,completed,1651135
PROJ00192,CUS003862,DES052,C176,Office,2024-08-05,,Design Phase,1984185
PROJ00193,CUS002046,DES043,C136,Villa,2024-12-07,2025-03-23,Delayed,3191677
PROJ00194,CUS003715,DES093,C147,3BHK,2024-01-24,2025-09-28,Installation,2883438
PROJ00195,CUS003035,DES045,C073,2BHK,2024-03-04,2025-11-22,Delayed,365993
PROJ00196,CUS001240,DES066,C050,Villa,2024-01-20,2025-06-23,Completed,230682
PROJ00197,CUS002764,DES124,C206,3BHK,2024-11-21,,Installation,2770488
PROJ00198,CUS000187,DES132,C194,Villa,2024-08-06,2025-09-09,Delayed,4932412
PROJ00199,CUS004642,DES105,C185,Villa,2024-04-28,2025-07-16,Design Phase,4675483
PROJ00200,CUS004158,DES109,C097,Office,2024-02-08,2025-02-22,Completed,2232417
PROJ00201,CUS001020,DES131,C204,Villa,2024-12-08,,Design Phase,2460594
PROJ00202,CUS001967,DES026,C019,2BHK,2024-12-10,,Design Phase,3877966
PROJ00203,CUS004874,DES003,C002,Office,2024-09-23,2025-09-20,Completed,228522
PROJ00204,CUS004894,DES008,C234,Office,2024-10-04,2025-08-23,Installation,3047625
PROJ00205,CUS000702,DES073,C008,Office,2024-02-04,2025-10-20,completed,1609132
PROJ00206,CUS001734,DES124,C119,Kitchen,2024-03-19,2025-08-13,Planning,3397244
PROJ00207,CUS002644,DES062,C069,2BHK,2024-07-16,2025-02-02,Installation,3608307
PROJ00208,CUS002305,DES079,C194,Villa,2024-02-16,,Design Phase,4109392
PROJ00209,CUS001472,DES011,C078,Office,2024-06-24,,Delayed,1820848
PROJ00210,CUS000398,DES010,C123,2BHK,02/04/2024,,completed,4126944
PROJ00211,CUS003386,DES055,C044,Kitchen,2024-09-01,,completed,818732
PROJ00212,CUS002296,DES096,C245,3BHK,2024-07-23,2025-05-26,completed,378489
PROJ00213,CUS001648,DES116,C091,Office,2024-05-05,2025-07-23,Completed,4784855
PROJ00214,CUS002804,DES016,C126,3BHK,2024-02-28,2025-10-08,Delayed,1965455
PROJ00215,CUS000180,DES075,C006,Kitchen,2024-12-11,,completed,4498089
PROJ00216,CUS004232,DES024,C105,Office,2024-09-21,2025-12-06,Delayed,3460228
PROJ00217,CUS001635,DES099,C189,Office,2024-06-03,2025-07-15,Planning,3632273
PROJ00218,CUS002205,DES083,C007,Office,2024-02-12,2025-06-01,Completed,1999729
PROJ00219,CUS002847,DES137,C215,3BHK,2024-05-28,,Installation,4230026
PROJ00220,CUS003343,DES005,C230,3BHK,2024-08-04,2025-08-14,Planning,3091715
PROJ00221,CUS004982,DES023,C074,2BHK,2024-05-26,2025-05-13,Completed,2069003
PROJ00222,CUS000827,DES032,C243,3BHK,2024-02-26,2025-11-11,Design Phase,2229354
PROJ00223,CUS002107,DES100,C204,2BHK,2024-02-20,2025-05-13,Design Phase,1794733
PROJ00224,CUS004815,DES119,C154,Kitchen,2024-10-27,2025-09-05,Delayed,725014
PROJ00225,CUS002597,DES115,C192,Villa,2024-10-17,2025-04-08,Design Phase,314642
PROJ00226,CUS003462,DES116,C034,Kitchen,2024-03-03,2025-08-18,Installation,1823366
PROJ00227,CUS000180,DES016,C108,Villa,2024-03-11,2025-12-11,completed,4335537
PROJ00228,CUS002295,DES107,C096,Villa,2024-03-12,,Delayed,3861645
PROJ00229,CUS004242,DES147,C070,Villa,2024-12-19,2025-02-28,Delayed,1955924
PROJ00230,CUS004294,DES051,C210,Kitchen,2024-06-25,,completed,2293012
PROJ00231,CUS000407,DES004,C164,Kitchen,2024-05-12,2025-01-25,Completed,397259
PROJ00232,CUS002953,DES127,C200,Kitchen,2024-08-07,2025-02-10,Design Phase,1015034
PROJ00233,CUS002075,DES037,C199,Villa,2024-08-15,2025-08-26,Design Phase,496508
PROJ00234,CUS000657,DES116,C024,Kitchen,2024-03-16,2025-04-13,Design Phase,4066836
PROJ00235,CUS000591,DES146,C199,Villa,2024-08-28,2025-06-25,completed,2260444
PROJ00236,CUS001686,DES093,C121,Kitchen,2024-03-20,2025-11-13,Delayed,3558709
PROJ00237,CUS002152,DES042,C250,2BHK,2024-05-28,2025-02-01,Planning,4143818
PROJ00238,CUS001994,DES004,C151,Villa,2024-10-07,2025-07-16,Installation,561595
PROJ00239,CUS004186,DES098,C004,3BHK,2024-08-25,2025-04-07,Planning,329524
PROJ00240,CUS000956,DES104,C205,Villa,08/05/2024,2025-04-10,Delayed,2996477
PROJ00241,CUS001732,DES103,C117,Villa,2024-05-07,2025-10-18,Installation,2412629
PROJ00242,CUS004908,DES083,C134,2BHK,2024-05-26,2025-05-21,Delayed,4563507
PROJ00243,CUS001426,DES034,C148,Villa,2024-10-24,2025-07-20,Delayed,3416848
PROJ00244,CUS001304,DES050,C155,Kitchen,2024-04-16,2025-03-21,Planning,996857
PROJ00245,CUS003677,DES095,C178,3BHK,2024-05-04,2025-09-13,Delayed,898697
PROJ00246,CUS004910,DES080,C091,Office,2024-05-09,,Design Phase,1259748
PROJ00247,CUS001053,DES116,C028,2BHK,2024-12-10,2025-05-24,Installation,3816958
PROJ00248,CUS004582,DES137,C132,Kitchen,2024-01-26,2025-04-17,Design Phase,3013928
PROJ00249,CUS002755,DES120,C173,Office,2024-07-11,2025-04-14,Design Phase,3954296
PROJ00250,CUS000205,DES094,C149,Kitchen,2024-04-03,2025-04-26,Installation,1035113
PROJ00251,CUS003661,DES037,C033,2BHK,2024-11-22,2025-01-06,Design Phase,4345987
PROJ00252,CUS002488,DES057,C212,Kitchen,2024-06-27,2025-10-19,Completed,2113030
PROJ00253,CUS000027,DES082,C028,Office,2024-01-21,2025-01-27,Delayed,1881884
PROJ00254,CUS002378,DES109,C053,Villa,2024-04-18,2025-02-04,Installation,2673065
PROJ00255,CUS001067,DES050,C141,Office,2024-02-09,2025-12-09,Delayed,4415401
PROJ00256,CUS003679,DES127,C198,2BHK,2024-05-25,2025-10-05,Delayed,1208957
PROJ00257,CUS001432,DES123,C092,Office,2024-12-19,2025-02-04,Installation,1386418
PROJ00258,CUS001817,DES085,C219,Villa,2024-12-02,2025-08-04,Design Phase,2755150
PROJ00259,CUS004908,DES144,C012,3BHK,2024-06-22,2025-08-24,Delayed,573110
PROJ00260,CUS003177,DES108,C070,3BHK,2024-01-06,2025-05-15,Design Phase,2136777
PROJ00261,CUS001943,DES065,C225,Office,2024-02-10,2025-03-19,Design Phase,920129
PROJ00262,CUS004337,DES049,C100,Office,2024-09-04,2025-04-17,Delayed,1291950
PROJ00263,CUS002094,DES043,C090,Kitchen,2024-11-18,2025-09-18,Completed,3544745
PROJ00264,CUS000736,DES049,C189,3BHK,2024-10-15,2025-02-11,Design Phase,728294
PROJ00265,CUS000051,DES141,C090,Villa,2024-04-12,2025-04-03,Installation,901325
PROJ00266,CUS001353,DES045,C021,Office,2024-02-14,2025-07-23,Completed,1397393
PROJ00267,CUS001083,DES030,C004,2BHK,2024-12-06,2025-03-23,Delayed,2368367
PROJ00268,CUS002565,DES020,C062,Villa,2024-02-09,2025-05-11,completed,4026036
PROJ00269,CUS000330,DES045,C149,Villa,2024-03-16,2025-11-26,Delayed,821770
PROJ00270,CUS001842,DES013,C185,Office,20/09/2024,2025-11-03,Design Phase,1492132
PROJ00271,CUS003081,DES146,C109,3BHK,2024-01-10,,completed,532255
PROJ00272,CUS003624,DES011,C165,Kitchen,2024-01-21,,completed,2845903
PROJ00273,CUS001823,DES103,C121,Office,2024-04-13,2025-08-22,Delayed,4744556
PROJ00274,CUS000231,DES035,C034,Office,2024-09-11,,Planning,4903685
PROJ00275,CUS001563,DES134,C045,Kitchen,2024-11-10,2025-06-24,Delayed,3290091
PROJ00276,CUS001955,DES142,C105,Kitchen,2024-08-23,,Delayed,2385793
PROJ00277,CUS004272,DES070,C053,Kitchen,2024-10-21,2025-11-05,Design Phase,4749534
PROJ00278,CUS004415,DES122,C094,Office,2024-12-12,,Installation,3536646
PROJ00279,CUS001365,DES006,C242,2BHK,2024-08-27,2025-05-22,Planning,2606516
PROJ00280,CUS004340,DES125,C237,2BHK,2024-08-05,,Delayed,2399693
PROJ00281,CUS000033,DES118,C177,3BHK,2024-02-23,2025-07-16,Planning,2616643
PROJ00282,CUS004746,DES009,C202,3BHK,2024-12-11,2025-12-28,Planning,3264978
PROJ00283,CUS004590,DES066,C093,Kitchen,2024-04-04,2025-11-25,Completed,1529198
PROJ00284,CUS001363,DES023,C113,3BHK,2024-11-10,2025-04-20,Delayed,4895583
PROJ00285,CUS001584,DES035,C156,2BHK,2024-04-18,2025-02-02,Completed,4021482
PROJ00286,CUS003234,DES008,C064,2BHK,2024-05-21,2025-03-19,Design Phase,1083154
PROJ00287,CUS000910,DES028,C151,Kitchen,2024-10-13,2025-05-19,Design Phase,1386896
PROJ00288,CUS001443,DES110,C177,Villa,2024-06-04,2025-02-09,Delayed,892160
PROJ00289,CUS001869,DES142,C138,2BHK,2024-04-03,2025-10-24,Installation,1419425
PROJ00290,CUS001970,DES025,C237,Kitchen,2024-07-21,2025-09-16,completed,867906
PROJ00291,CUS002010,DES030,C131,Office,2024-06-05,,completed,1406178
PROJ00292,CUS002332,DES005,C024,2BHK,2024-01-11,,Delayed,3858747
PROJ00293,CUS003434,DES124,C235,2BHK,2024-01-05,2025-07-14,Completed,2515013
PROJ00294,CUS003786,DES025,C115,2BHK,2024-06-05,,Completed,270329
PROJ00295,CUS004204,DES065,C150,3BHK,2024-07-08,2025-12-18,completed,3421314
PROJ00296,CUS004045,DES031,C068,2BHK,2024-11-25,2025-12-19,Completed,1647961
PROJ00297,CUS000713,DES064,C217,2BHK,2024-06-10,2025-01-15,Delayed,3528590
PROJ00298,CUS003434,DES042,C141,Office,2024-02-22,,Design Phase,2883405
PROJ00299,CUS001125,DES117,C104,3BHK,2024-07-22,2025-05-23,Installation,4657924
PROJ00300,CUS000214,DES053,C096,3BHK,25/07/2024,,completed,1344573
PROJ00301,CUS002086,DES117,C243,Villa,2024-04-14,,Delayed,3133345
PROJ00302,CUS004009,DES069,C087,Office,2024-07-08,2025-08-28,completed,4465342
PROJ00303,CUS001503,DES135,C216,3BHK,2024-11-11,2025-06-23,Installation,1117353
PROJ00304,CUS003782,DES117,C238,3BHK,2024-02-09,2025-06-04,Design Phase,2907495
